"geo","time","newborn_mortality_rate_per_1000"
"bdi",1964,51.1
"bdi",1965,50.9
"bdi",1966,51.1
"bdi",1967,50.9
"bdi",1968,50.8
"bdi",1969,50.5
"bdi",1970,50.3
"bdi",1971,50
"bdi",1972,49.7
"bdi",1973,49.4
"bdi",1974,49.1
"bdi",1975,48.8
"bdi",1976,48.4
"bdi",1977,47.9
"bdi",1978,47.3
"bdi",1979,46.6
"bdi",1980,45.9
"bdi",1981,45.1
"bdi",1982,44.4
"bdi",1983,43.6
"bdi",1984,42.8
"bdi",1985,42.3
"bdi",1986,41.9
"bdi",1987,41.6
"bdi",1988,41.6
"bdi",1989,41.8
"bdi",1990,42
"bdi",1991,42.1
"bdi",1992,42.1
"bdi",1993,42
"bdi",1994,41.9
"bdi",1995,41.7
"bdi",1996,41.3
"bdi",1997,40.9
"bdi",1998,40.5
"bdi",1999,39.9
"bdi",2000,39.4
"bdi",2001,38.9
"bdi",2002,38.3
"bdi",2003,37.7
"bdi",2004,36.9
"bdi",2005,36
"bdi",2006,35.2
"bdi",2007,34.2
"bdi",2008,33.3
"bdi",2009,32.3
"bdi",2010,31.7
"bdi",2011,31
"bdi",2012,30.4
"bdi",2013,29.8
"bdi",2014,29.3
"bdi",2015,28.6
"cod",1984,44.3
"cod",1985,44
"cod",1986,43.4
"cod",1987,43
"cod",1988,42.6
"cod",1989,42
"cod",1990,41.6
"cod",1991,41.3
"cod",1992,41
"cod",1993,40.7
"cod",1994,40.4
"cod",1995,40.2
"cod",1996,40
"cod",1997,39.8
"cod",1998,39.3
"cod",1999,39
"cod",2000,38.7
"cod",2001,38.4
"cod",2002,38
"cod",2003,37.6
"cod",2004,37.1
"cod",2005,36.5
"cod",2006,35.7
"cod",2007,35
"cod",2008,34.3
"cod",2009,33.6
"cod",2010,32.9
"cod",2011,32.3
"cod",2012,31.7
"cod",2013,31.2
"cod",2014,30.6
"cod",2015,30.1
"ken",1954,58
"ken",1955,56.3
"ken",1956,54.6
"ken",1957,52.8
"ken",1958,51.2
"ken",1959,49.5
"ken",1960,47.6
"ken",1961,45.9
"ken",1962,44.3
"ken",1963,42.9
"ken",1964,41.7
"ken",1965,40.6
"ken",1966,40
"ken",1967,39.6
"ken",1968,39.3
"ken",1969,38.9
"ken",1970,38.4
"ken",1971,37.7
"ken",1972,36.9
"ken",1973,36.2
"ken",1974,35.4
"ken",1975,34.7
"ken",1976,34.2
"ken",1977,33.7
"ken",1978,33.2
"ken",1979,32.8
"ken",1980,32.5
"ken",1981,32.1
"ken",1982,31.7
"ken",1983,31.3
"ken",1984,30.9
"ken",1985,30.4
"ken",1986,29.8
"ken",1987,29.1
"ken",1988,28.4
"ken",1989,27.9
"ken",1990,27.4
"ken",1991,27.2
"ken",1992,27.2
"ken",1993,27.1
"ken",1994,27.1
"ken",1995,27.3
"ken",1996,27.6
"ken",1997,28
"ken",1998,28.4
"ken",1999,28.8
"ken",2000,29.1
"ken",2001,29.3
"ken",2002,29.3
"ken",2003,29.3
"ken",2004,29.2
"ken",2005,29
"ken",2006,28.5
"ken",2007,28
"ken",2008,27.3
"ken",2009,26.6
"ken",2010,25.9
"ken",2011,25.1
"ken",2012,24.3
"ken",2013,23.6
"ken",2014,22.9
"ken",2015,22.2
"rwa",1960,60.8
"rwa",1961,60.1
"rwa",1962,59.6
"rwa",1963,59.3
"rwa",1964,59.2
"rwa",1965,59.1
"rwa",1966,59
"rwa",1967,59.1
"rwa",1968,59
"rwa",1969,58.9
"rwa",1970,59
"rwa",1971,59.1
"rwa",1972,59.4
"rwa",1973,59.8
"rwa",1974,60.4
"rwa",1975,61.2
"rwa",1976,61.8
"rwa",1977,62.1
"rwa",1978,61.6
"rwa",1979,60.3
"rwa",1980,58.3
"rwa",1981,55.9
"rwa",1982,53.3
"rwa",1983,50.8
"rwa",1984,48.7
"rwa",1985,46.7
"rwa",1986,44.8
"rwa",1987,43.1
"rwa",1988,41.8
"rwa",1989,41
"rwa",1990,40.8
"rwa",1991,41.2
"rwa",1992,42
"rwa",1993,43.3
"rwa",1994,46
"rwa",1995,46.1
"rwa",1996,45.4
"rwa",1997,45.8
"rwa",1998,45.6
"rwa",1999,44
"rwa",2000,42.3
"rwa",2001,40.3
"rwa",2002,38
"rwa",2003,35.7
"rwa",2004,33.4
"rwa",2005,31.2
"rwa",2006,29.5
"rwa",2007,28
"rwa",2008,26.7
"rwa",2009,25.5
"rwa",2010,24.3
"rwa",2011,22.9
