"geo","time","newly_hiv_infected_number_all_ages"
"bdi",1990,16000
"bdi",1991,20000
"bdi",1992,26000
"bdi",1993,30000
"bdi",1994,32000
"bdi",1995,27000
"bdi",1996,19000
"bdi",1997,14000
"bdi",1998,9800
"bdi",1999,8100
"bdi",2000,7300
"bdi",2001,6900
"bdi",2002,6900
"bdi",2003,7200
"bdi",2004,7400
"bdi",2005,6900
"bdi",2006,6000
"bdi",2007,5100
"bdi",2008,4400
"bdi",2009,3700
"bdi",2010,3200
"bdi",2011,3000
"ken",1990,120000
"ken",1991,170000
"ken",1992,240000
"ken",1993,280000
"ken",1994,280000
"ken",1995,250000
"ken",1996,210000
"ken",1997,170000
"ken",1998,150000
"ken",1999,140000
"ken",2000,140000
"ken",2001,140000
"ken",2002,130000
"ken",2003,130000
"ken",2004,130000
"ken",2005,120000
"ken",2006,120000
"ken",2007,130000
"ken",2008,120000
"ken",2009,120000
"ken",2010,110000
"ken",2011,100000
"rwa",1990,21000
"rwa",1991,24000
"rwa",1992,25000
"rwa",1993,24000
"rwa",1994,22000
"rwa",1995,20000
"rwa",1996,21000
"rwa",1997,21000
"rwa",1998,21000
"rwa",1999,22000
"rwa",2000,21000
"rwa",2001,19000
"rwa",2002,18000
"rwa",2003,18000
"rwa",2004,18000
"rwa",2005,17000
"rwa",2006,14000
"rwa",2007,14000
"rwa",2008,14000
"rwa",2009,13000
"rwa",2010,12000
"rwa",2011,10000
"ssd",2011,16000
"tza",1990,180000
"tza",1991,200000
"tza",1992,200000
"tza",1993,200000
"tza",1994,190000
"tza",1995,170000
"tza",1996,160000
"tza",1997,150000
"tza",1998,140000
"tza",1999,140000
"tza",2000,140000
"tza",2001,140000
"tza",2002,140000
"tza",2003,140000
"tza",2004,140000
"tza",2005,140000
"tza",2006,140000
"tza",2007,140000
"tza",2008,140000
"tza",2009,140000
"tza",2010,140000
"tza",2011,150000
"uga",1990,130000
"uga",1991,120000
"uga",1992,110000
"uga",1993,110000
"uga",1994,98000
"uga",1995,92000
"uga",1996,88000
"uga",1997,87000
"uga",1998,87000
"uga",1999,89000
"uga",2000,94000
"uga",2001,99000
"uga",2002,100000
"uga",2003,110000
"uga",2004,120000
"uga",2005,120000
"uga",2006,130000
"uga",2007,140000
"uga",2008,150000
"uga",2009,150000
"uga",2010,150000
"uga",2011,150000
