"geo","time","newly_hiv_infected_percent_age_15_49"
"bdi",1990,0.56
"bdi",1991,0.68
"bdi",1992,0.87
"bdi",1993,1.03
"bdi",1994,1.04
"bdi",1995,0.85
"bdi",1996,0.52
"bdi",1997,0.33
"bdi",1998,0.19
"bdi",1999,0.13
"bdi",2000,0.1
"bdi",2001,0.06
"bdi",2002,0.06
"bdi",2003,0.11
"bdi",2004,0.12
"bdi",2005,0.11
"bdi",2006,0.06
"bdi",2007,0.06
"bdi",2008,0.06
"bdi",2009,0.06
"bdi",2010,0.06
"bdi",2011,0.06
"ken",1990,1.07
"ken",1991,1.53
"ken",1992,1.99
"ken",1993,2.24
"ken",1994,2.15
"ken",1995,1.8
"ken",1996,1.4
"ken",1997,1.07
"ken",1998,0.84
"ken",1999,0.7
"ken",2000,0.72
"ken",2001,0.66
"ken",2002,0.61
"ken",2003,0.58
"ken",2004,0.55
"ken",2005,0.53
"ken",2006,0.52
"ken",2007,0.53
"ken",2008,0.54
"ken",2009,0.5
"ken",2010,0.47
"ken",2011,0.45
"rwa",1990,0.55
"rwa",1991,0.64
"rwa",1992,0.67
"rwa",1993,0.64
"rwa",1994,0.57
"rwa",1995,0.51
"rwa",1996,0.52
"rwa",1997,0.49
"rwa",1998,0.45
"rwa",1999,0.42
"rwa",2000,0.38
"rwa",2001,0.31
"rwa",2002,0.29
"rwa",2003,0.28
"rwa",2004,0.27
"rwa",2005,0.25
"rwa",2006,0.21
"rwa",2007,0.21
"rwa",2008,0.21
"rwa",2009,0.2
"rwa",2010,0.17
"rwa",2011,0.15
"ssd",2011,0.33
"tza",1990,1.41
"tza",1991,1.48
"tza",1992,1.47
"tza",1993,1.37
"tza",1994,1.22
"tza",1995,1.06
"tza",1996,0.92
"tza",1997,0.81
"tza",1998,0.73
"tza",1999,0.67
"tza",2000,0.64
"tza",2001,0.62
"tza",2002,0.61
"tza",2003,0.6
"tza",2004,0.6
"tza",2005,0.6
"tza",2006,0.6
"tza",2007,0.59
"tza",2008,0.58
"tza",2009,0.6
"tza",2010,0.59
"tza",2011,0.59
"uga",1990,1.34
"uga",1991,1.19
"uga",1992,1.04
"uga",1993,0.91
"uga",1994,0.79
"uga",1995,0.7
"uga",1996,0.64
"uga",1997,0.62
"uga",1998,0.62
"uga",1999,0.63
"uga",2000,0.66
"uga",2001,0.69
"uga",2002,0.72
"uga",2003,0.78
"uga",2004,0.81
"uga",2005,0.82
"uga",2006,0.83
"uga",2007,0.87
"uga",2008,0.89
"uga",2009,0.9
"uga",2010,0.88
"uga",2011,0.84
