"geo","time","nuclear_power_generation_total"
"cod",1971,0
"cod",1972,0
"cod",1973,0
"cod",1974,0
"cod",1975,0
"cod",1976,0
"cod",1977,0
"cod",1978,0
"cod",1979,0
"cod",1980,0
"cod",1981,0
"cod",1982,0
"cod",1983,0
"cod",1984,0
"cod",1985,0
"cod",1986,0
"cod",1987,0
"cod",1988,0
"cod",1989,0
"cod",1990,0
"cod",1991,0
"cod",1992,0
"cod",1993,0
"cod",1994,0
"cod",1995,0
"cod",1996,0
"cod",1997,0
"cod",1998,0
"cod",1999,0
"cod",2000,0
"cod",2001,0
"cod",2002,0
"cod",2003,0
"cod",2004,0
"cod",2005,0
"cod",2006,0
"cod",2007,0
"cod",2008,0
"cod",2009,0
"cod",2010,0
"ken",1971,0
"ken",1972,0
"ken",1973,0
"ken",1974,0
"ken",1975,0
"ken",1976,0
"ken",1977,0
"ken",1978,0
"ken",1979,0
"ken",1980,0
"ken",1981,0
"ken",1982,0
"ken",1983,0
"ken",1984,0
"ken",1985,0
"ken",1986,0
"ken",1987,0
"ken",1988,0
"ken",1989,0
"ken",1990,0
"ken",1991,0
"ken",1992,0
"ken",1993,0
"ken",1994,0
"ken",1995,0
"ken",1996,0
"ken",1997,0
"ken",1998,0
"ken",1999,0
"ken",2000,0
"ken",2001,0
"ken",2002,0
"ken",2003,0
"ken",2004,0
"ken",2005,0
"ken",2006,0
"ken",2007,0
"ken",2008,0
"ken",2009,0
"ken",2010,0
"tza",1971,0
"tza",1972,0
"tza",1973,0
"tza",1974,0
"tza",1975,0
"tza",1976,0
"tza",1977,0
"tza",1978,0
"tza",1979,0
"tza",1980,0
"tza",1981,0
"tza",1982,0
"tza",1983,0
"tza",1984,0
"tza",1985,0
"tza",1986,0
"tza",1987,0
"tza",1988,0
"tza",1989,0
"tza",1990,0
"tza",1991,0
"tza",1992,0
"tza",1993,0
"tza",1994,0
"tza",1995,0
"tza",1996,0
"tza",1997,0
"tza",1998,0
"tza",1999,0
"tza",2000,0
"tza",2001,0
"tza",2002,0
"tza",2003,0
"tza",2004,0
"tza",2005,0
"tza",2006,0
"tza",2007,0
"tza",2008,0
"tza",2009,0
"tza",2010,0
