"geo","time","number_of_child_deaths"
"bdi",1800,17860
"bdi",1801,17860
"bdi",1802,17860
"bdi",1803,17860
"bdi",1804,17860
"bdi",1805,17860
"bdi",1806,17860
"bdi",1807,17860
"bdi",1808,17860
"bdi",1809,17860
"bdi",1810,17860
"bdi",1811,17870
"bdi",1812,17880
"bdi",1813,17900
"bdi",1814,17930
"bdi",1815,17960
"bdi",1816,18000
"bdi",1817,18050
"bdi",1818,18110
"bdi",1819,18170
"bdi",1820,18240
"bdi",1821,18310
"bdi",1822,18390
"bdi",1823,18480
"bdi",1824,18580
"bdi",1825,18690
"bdi",1826,18800
"bdi",1827,18920
"bdi",1828,19040
"bdi",1829,19180
"bdi",1830,19320
"bdi",1831,19470
"bdi",1832,19620
"bdi",1833,19780
"bdi",1834,19930
"bdi",1835,20080
"bdi",1836,20240
"bdi",1837,20400
"bdi",1838,20550
"bdi",1839,20710
"bdi",1840,20870
"bdi",1841,21040
"bdi",1842,21200
"bdi",1843,21360
"bdi",1844,21530
"bdi",1845,21700
"bdi",1846,21870
"bdi",1847,22040
"bdi",1848,22210
"bdi",1849,22380
"bdi",1850,22550
"bdi",1851,22700
"bdi",1852,22860
"bdi",1853,23020
"bdi",1854,23170
"bdi",1855,23330
"bdi",1856,23490
"bdi",1857,23650
"bdi",1858,23810
"bdi",1859,23970
"bdi",1860,24130
"bdi",1861,24300
"bdi",1862,24460
"bdi",1863,24660
"bdi",1864,24830
"bdi",1865,25000
"bdi",1866,25160
"bdi",1867,25340
"bdi",1868,25510
"bdi",1869,25680
"bdi",1870,25860
"bdi",1871,26030
"bdi",1872,26210
"bdi",1873,26380
"bdi",1874,26560
"bdi",1875,26740
"bdi",1876,26920
"bdi",1877,27100
"bdi",1878,27280
"bdi",1879,27460
"bdi",1880,27650
"bdi",1881,27830
"bdi",1882,28020
"bdi",1883,28210
"bdi",1884,28400
"bdi",1885,28590
"bdi",1886,28780
"bdi",1887,28970
"bdi",1888,29170
"bdi",1889,29370
"bdi",1890,29560
"bdi",1891,29760
"bdi",1892,29970
"bdi",1893,30170
"bdi",1894,30370
"bdi",1895,30570
"bdi",1896,30780
"bdi",1897,30980
"bdi",1898,31170
"bdi",1899,31370
"bdi",1900,31560
"bdi",1901,31740
"bdi",1902,31920
"bdi",1903,32100
"bdi",1904,32270
"bdi",1905,32440
"bdi",1906,32600
"bdi",1907,32760
"bdi",1908,32920
"bdi",1909,33070
"bdi",1910,33220
"bdi",1911,33360
"bdi",1912,33510
"bdi",1913,33650
"bdi",1914,33800
"bdi",1915,33940
"bdi",1916,34090
"bdi",1917,34230
"bdi",1918,34430
"bdi",1919,34610
"bdi",1920,34790
"bdi",1921,34980
"bdi",1922,35160
"bdi",1923,35350
"bdi",1924,35540
"bdi",1925,35700
"bdi",1926,35870
"bdi",1927,36040
"bdi",1928,36210
"bdi",1929,36380
"bdi",1930,36750
"bdi",1931,37110
"bdi",1932,37470
"bdi",1933,37830
"bdi",1934,38180
"bdi",1935,38530
"bdi",1936,38880
"bdi",1937,39220
"bdi",1938,39570
"bdi",1939,39910
"bdi",1940,40240
"bdi",1941,40580
"bdi",1942,40910
"bdi",1943,41240
"bdi",1944,41570
"bdi",1945,41890
"bdi",1946,40420
"bdi",1947,38980
"bdi",1948,37550
"bdi",1949,36270
"bdi",1950,35770
"bdi",1951,35070
"bdi",1952,34580
"bdi",1953,34140
"bdi",1954,33750
"bdi",1955,33410
"bdi",1956,33100
"bdi",1957,32840
"bdi",1958,32610
"bdi",1959,32410
"bdi",1960,32880
"bdi",1961,33400
"bdi",1962,33930
"bdi",1963,34530
"bdi",1964,32900
"bdi",1965,34230
"bdi",1966,35530
"bdi",1967,36660
"bdi",1968,37550
"bdi",1969,38230
"bdi",1970,38710
"bdi",1971,39170
"bdi",1972,39370
"bdi",1973,39520
"bdi",1974,39920
"bdi",1975,40760
"bdi",1976,41540
"bdi",1977,42340
"bdi",1978,42970
"bdi",1979,43340
"bdi",1980,43330
"bdi",1981,42990
"bdi",1982,42190
"bdi",1983,41250
"bdi",1984,40610
"bdi",1985,40460
"bdi",1986,40810
"bdi",1987,41760
"bdi",1988,43110
"bdi",1989,44520
"bdi",1990,45710
"bdi",1991,46870
"bdi",1992,47420
"bdi",1993,47420
"bdi",1994,46960
"bdi",1995,46220
"bdi",1996,45340
"bdi",1997,44320
"bdi",1998,43260
"bdi",1999,42450
"bdi",2000,42010
"bdi",2001,41280
"bdi",2002,40820
"bdi",2003,40550
"bdi",2004,40380
"bdi",2005,40160
"bdi",2006,39880
"bdi",2007,39540
"bdi",2008,39260
"bdi",2009,39070
"bdi",2010,38780
"bdi",2011,38670
"bdi",2012,38300
"bdi",2013,37830
"bdi",2014,37340
"bdi",2015,36970
"cod",1800,91070
"cod",1801,91070
"cod",1802,91070
"cod",1803,91070
"cod",1804,91070
"cod",1805,91070
"cod",1806,91070
"cod",1807,91070
"cod",1808,91070
"cod",1809,91070
"cod",1810,91070
"cod",1811,91100
"cod",1812,91160
"cod",1813,91240
"cod",1814,91360
"cod",1815,91500
"cod",1816,91680
"cod",1817,91880
"cod",1818,92120
"cod",1819,92390
"cod",1820,92680
"cod",1821,93010
"cod",1822,93370
"cod",1823,93760
"cod",1824,94180
"cod",1825,94630
"cod",1826,95110
"cod",1827,95620
"cod",1828,96170
"cod",1829,96750
"cod",1830,97360
"cod",1831,98010
"cod",1832,98660
"cod",1833,99310
"cod",1834,99970
"cod",1835,100600
"cod",1836,101300
"cod",1837,102000
"cod",1838,102600
"cod",1839,103300
"cod",1840,104000
"cod",1841,104700
"cod",1842,105400
"cod",1843,106100
"cod",1844,106800
"cod",1845,107500
"cod",1846,108200
"cod",1847,108900
"cod",1848,109700
"cod",1849,110400
"cod",1850,111100
"cod",1851,111800
"cod",1852,112600
"cod",1853,113300
"cod",1854,114100
"cod",1855,114800
"cod",1856,115600
"cod",1857,116300
"cod",1858,117100
"cod",1859,117800
"cod",1860,118600
"cod",1861,119400
"cod",1862,120200
"cod",1863,121000
"cod",1864,121700
"cod",1865,122500
"cod",1866,123300
"cod",1867,124200
"cod",1868,125000
"cod",1869,125800
"cod",1870,126600
"cod",1871,127400
"cod",1872,128300
"cod",1873,129100
"cod",1874,129900
"cod",1875,130800
"cod",1876,131700
"cod",1877,132500
"cod",1878,133400
"cod",1879,134200
"cod",1880,135100
"cod",1881,136000
"cod",1882,136900
"cod",1883,137800
"cod",1884,138700
"cod",1885,139600
"cod",1886,140500
"cod",1887,141400
"cod",1888,142300
"cod",1889,143300
"cod",1890,144200
"cod",1891,145100
"cod",1892,146100
"cod",1893,147000
"cod",1894,148000
"cod",1895,149000
"cod",1896,149900
"cod",1897,150900
"cod",1898,151800
"cod",1899,152700
"cod",1900,153600
"cod",1901,154500
"cod",1902,155300
"cod",1903,156100
"cod",1904,157000
"cod",1905,157700
"cod",1906,158500
"cod",1907,159200
"cod",1908,160000
"cod",1909,160700
"cod",1910,161400
"cod",1911,162000
"cod",1912,162700
"cod",1913,163400
"cod",1914,164100
"cod",1915,164800
"cod",1916,165400
"cod",1917,166100
"cod",1918,166800
"cod",1919,167500
"cod",1920,168200
"cod",1921,168900
"cod",1922,169600
"cod",1923,170300
"cod",1924,171000
"cod",1925,171700
"cod",1926,172400
"cod",1927,173100
"cod",1928,173900
"cod",1929,174600
"cod",1930,176200
"cod",1931,177800
"cod",1932,179400
"cod",1933,180900
"cod",1934,182500
"cod",1935,184000
"cod",1936,185500
"cod",1937,187000
"cod",1938,188500
"cod",1939,189900
"cod",1940,191300
"cod",1941,188600
"cod",1942,186500
