"geo","time","out_of_pocket_share_of_total_health_spending_percent"
"bdi",1995,49.18
"bdi",1996,43.11
"bdi",1997,47.47
"bdi",1998,47.66
"bdi",1999,47.22
"bdi",2000,50.39
"bdi",2001,48.04
"bdi",2002,51.34
"bdi",2003,53.3
"bdi",2004,41.85
"bdi",2005,40.2
"bdi",2006,39.02
"bdi",2007,37.68
"bdi",2008,38.43
"bdi",2009,39.31
"bdi",2010,37.94
"cod",1995,67.3
"cod",1996,69.81
"cod",1997,67.93
"cod",1998,71.6
"cod",1999,68.51
"cod",2000,72.36
"cod",2001,68.28
"cod",2002,67.04
"cod",2003,56.75
"cod",2004,57.62
"cod",2005,51.15
"cod",2006,50.41
"cod",2007,47.7
"cod",2008,39.17
"cod",2009,35.82
"cod",2010,35.91
"ken",1995,41.99
"ken",1996,47.38
"ken",1997,48.43
"ken",1998,44.69
"ken",1999,48.38
"ken",2000,43.2
"ken",2001,44.48
"ken",2002,44.76
"ken",2003,44.8
"ken",2004,45.5
"ken",2005,44.7
"ken",2006,43.14
"ken",2007,44.11
"ken",2008,46.16
"ken",2009,43.47
"ken",2010,42.7
"rwa",1995,26.3
"rwa",1996,24.69
"rwa",1997,24.86
"rwa",1998,21.34
"rwa",1999,22.43
"rwa",2000,24.78
"rwa",2001,23.61
"rwa",2002,24.69
"rwa",2003,17.4
"rwa",2004,17.35
"rwa",2005,16.45
"rwa",2006,20.72
"rwa",2007,23.5
"rwa",2008,23.34
"rwa",2009,22.79
"rwa",2010,22.16
"tza",1995,47.73
"tza",1996,50.04
"tza",1997,47.15
"tza",1998,48.88
"tza",1999,50.22
"tza",2000,47.26
"tza",2001,46.74
"tza",2002,48.49
"tza",2003,44.11
"tza",2004,45.5
"tza",2005,37.29
"tza",2006,22.33
"tza",2007,14.94
"tza",2008,15.95
"tza",2009,14.11
"tza",2010,13.61
"uga",1995,52.41
"uga",1996,52.08
"uga",1997,49.71
"uga",1998,50.73
"uga",1999,42.73
"uga",2000,41.49
"uga",2001,37.65
"uga",2002,36.73
"uga",2003,37.1
"uga",2004,42.17
"uga",2005,45.29
"uga",2006,50.22
"uga",2007,51.17
"uga",2008,52.68
"uga",2009,49.76
"uga",2010,49.77
