"geo","time","pab_immunized_percent_of_newborns"
"bdi",1983,11
"bdi",1984,16
"bdi",1985,21
"bdi",1986,35
"bdi",1987,53
"bdi",1988,59
"bdi",1989,65
"bdi",1990,67
"bdi",1991,69
"bdi",1992,70
"bdi",1993,67
"bdi",1994,71
"bdi",1995,61
"bdi",1996,61
"bdi",1997,60
"bdi",1998,44
"bdi",1999,35
"bdi",2000,51
"bdi",2001,55
"bdi",2002,63
"bdi",2003,65
"bdi",2004,66
"bdi",2005,65
"bdi",2006,66
"bdi",2007,76
"bdi",2008,78
"bdi",2009,94
"bdi",2010,94
"bdi",2011,80
"cod",1984,25
"cod",1985,37
"cod",1986,37
"cod",1987,36
"cod",1988,51
"cod",1989,52
"cod",1990,53
"cod",1991,35
"cod",1992,38
"cod",1993,43
"cod",1994,52
"cod",1995,42
"cod",1996,43
"cod",1997,33
"cod",1998,50
"cod",1999,33
"cod",2000,45
"cod",2001,43
"cod",2002,61
"cod",2003,66
"cod",2004,67
"cod",2005,67
"cod",2006,66
"cod",2007,70
"cod",2008,75
"cod",2009,85
"cod",2010,77
"cod",2011,70
"ken",1985,36
"ken",1986,52
"ken",1987,66
"ken",1988,51
"ken",1989,59
"ken",1990,60
"ken",1991,57
"ken",1992,61
"ken",1993,64
"ken",1994,62
"ken",1995,61
"ken",1996,47
"ken",1997,61
"ken",1998,74
"ken",1999,68
"ken",2000,68
"ken",2001,69
"ken",2002,72
"ken",2003,73
"ken",2004,73
"ken",2005,73
"ken",2006,74
"ken",2007,74
"ken",2008,78
"ken",2009,78
"ken",2010,78
"ken",2011,73
"rwa",1981,5
"rwa",1982,10
"rwa",1983,16
"rwa",1984,22
"rwa",1985,28
"rwa",1986,35
"rwa",1987,47
"rwa",1988,55
"rwa",1989,60
"rwa",1990,85
"rwa",1991,86
"rwa",1992,88
"rwa",1993,69
"rwa",1994,80
"rwa",1995,89
"rwa",1996,74
"rwa",1997,79
"rwa",1998,84
"rwa",1999,89
"rwa",2000,81
"rwa",2001,71
"rwa",2002,79
"rwa",2003,77
"rwa",2004,77
"rwa",2005,79
"rwa",2006,82
"rwa",2007,82
"rwa",2008,85
"rwa",2009,85
"rwa",2010,85
"rwa",2011,85
"ssd",2011,44
"tza",1980,37
"tza",1981,38
"tza",1982,41
"tza",1983,43
"tza",1984,44
"tza",1985,51
"tza",1986,59
"tza",1987,64
"tza",1988,65
"tza",1989,75
"tza",1990,77
"tza",1991,81
"tza",1992,82
"tza",1993,83
"tza",1994,84
"tza",1995,85
"tza",1996,85
"tza",1997,81
"tza",1998,81
"tza",1999,81
"tza",2000,79
"tza",2001,80
"tza",2002,80
"tza",2003,80
"tza",2004,80
"tza",2005,81
"tza",2006,81
"tza",2007,81
"tza",2008,81
"tza",2009,90
"tza",2010,83
"tza",2011,88
"uga",1981,18
"uga",1982,19
"uga",1983,19
"uga",1984,16
"uga",1985,12
"uga",1986,13
"uga",1987,19
"uga",1988,22
"uga",1989,29
"uga",1990,41
"uga",1991,50
"uga",1992,82
"uga",1993,84
"uga",1994,83
"uga",1995,82
"uga",1996,77
"uga",1997,72
"uga",1998,68
"uga",1999,69
"uga",2000,70
"uga",2001,72
"uga",2002,78
"uga",2003,78
"uga",2004,82
"uga",2005,85
"uga",2006,83
"uga",2007,85
"uga",2008,85
"uga",2009,89
"uga",2010,85
"uga",2011,85
