"geo","time","patent_applications_total"
"bdi",1984,7
"bdi",1986,2
"bdi",1989,2
"bdi",1990,3
"bdi",1992,2
"bdi",1993,1
"bdi",1994,4
"bdi",1995,1
"bdi",1996,5
"cod",1984,94
"cod",1986,86
"cod",1988,74
"cod",1994,55
"cod",1995,18
"cod",1996,29
"ken",1984,122
"ken",1985,107
"ken",1986,144
"ken",1987,129
"ken",1988,90
"ken",1989,107
"ken",1990,68
"ken",1991,131
"ken",1992,110
"ken",1993,175
"ken",1994,8963
"ken",1995,28730
"ken",1996,39050
"ken",1997,49960
"ken",1998,67830
"ken",1999,80540
"ken",2000,115900
"ken",2001,150400
"ken",2002,177600
"rwa",1984,6
"rwa",1985,1
"rwa",1986,1
"rwa",1987,2
"rwa",1988,6
"rwa",1989,1
"rwa",1990,4
"rwa",1991,1
"rwa",1992,2
"rwa",1994,3
"rwa",1999,4
"tza",1985,30
"tza",1988,37
"tza",1989,23
"tza",1999,14470
"tza",2000,108900
"tza",2001,148700
"tza",2002,176800
"uga",1984,28
"uga",1985,33
"uga",1986,33
"uga",1987,37
"uga",1988,47
"uga",1989,46
"uga",1990,59
"uga",1991,74
"uga",1992,96
"uga",1993,104
"uga",1994,80
"uga",1995,20840
"uga",1996,38500
"uga",1997,49760
"uga",1998,67610
"uga",1999,80420
"uga",2000,115900
"uga",2001,150400
"uga",2002,177300
