"geo","time","patents_granted_total"
"bdi",1984,7
"bdi",1986,2
"bdi",1989,2
"bdi",1990,2
"bdi",1992,2
"bdi",1994,4
"bdi",1995,1
"bdi",1996,5
"cod",1984,93
"cod",1986,85
"cod",1988,74
"cod",1994,55
"cod",1995,18
"cod",1996,14
"ken",1984,122
"ken",1985,98
"ken",1986,107
"ken",1987,113
"ken",1988,76
"ken",1989,97
"ken",1990,38
"ken",1991,47
"ken",1992,58
"ken",1993,54
"ken",1994,75
"ken",1995,59
"ken",1996,132
"ken",1997,79
"ken",1998,101
"ken",1999,94
"ken",2000,117
"ken",2001,100
"rwa",1984,6
"rwa",1985,1
"rwa",1986,1
"rwa",1987,2
"rwa",1988,6
"rwa",1989,1
"rwa",1990,4
"rwa",1991,1
"rwa",1992,2
"rwa",1994,3
"rwa",1999,4
"tza",1985,30
"tza",1988,37
"tza",1989,23
"tza",1998,10
"tza",1999,8
"uga",1984,28
"uga",1985,27
"uga",1986,1
"uga",1987,28
"uga",1988,39
"uga",1989,36
"uga",1990,41
"uga",1991,42
"uga",1992,42
"uga",1993,38
"uga",1994,56
"uga",1995,47
"uga",1996,102
"uga",1997,30
"uga",1998,66
"uga",1999,74
"uga",2000,112
"uga",2001,92
