"geo","time","patents_in_force_total"
"bdi",1984,110
"bdi",1986,121
"bdi",1989,9
"bdi",1990,129
"bdi",1991,129
"bdi",1992,14
"bdi",1993,15
"bdi",1994,70
"bdi",1995,64
"bdi",1996,60
"cod",1984,2442
"cod",1986,2494
"cod",1988,2639
"cod",1994,1717
"cod",1995,615
"cod",1996,644
"ken",1984,1831
"ken",1985,1929
"ken",1986,2036
"ken",1987,2144
"ken",1988,2200
"ken",1989,2265
"ken",1991,1777
"ken",1996,384
"ken",1997,136
"rwa",1984,96
"rwa",1985,113
"rwa",1986,114
"rwa",1987,116
"rwa",1988,122
"rwa",1989,123
"rwa",1990,81
"rwa",1991,82
"rwa",1992,69
"rwa",1994,55
"rwa",1999,47
"tza",1985,2406
"tza",1988,2074
"uga",1984,28
"uga",1985,1553
"uga",1987,1592
"uga",1988,1606
"uga",1989,1645
"uga",1990,1675
"uga",1991,1679
