"geo","time","people_living_with_hiv_number_all_ages"
"bdi",1979,383
"bdi",1990,61000
"bdi",1991,76000
"bdi",1992,96000
"bdi",1993,120000
"bdi",1994,140000
"bdi",1995,160000
"bdi",1996,160000
"bdi",1997,160000
"bdi",1998,160000
"bdi",1999,150000
"bdi",2000,140000
"bdi",2001,130000
"bdi",2002,130000
"bdi",2003,120000
"bdi",2004,110000
"bdi",2005,110000
"bdi",2006,100000
"bdi",2007,99000
"bdi",2008,94000
"bdi",2009,89000
"bdi",2010,84000
"bdi",2011,80000
"ken",1979,4713
"ken",1990,280000
"ken",1991,450000
"ken",1992,660000
"ken",1993,910000
"ken",1994,1100000
"ken",1995,1300000
"ken",1996,1500000
"ken",1997,1600000
"ken",1998,1600000
"ken",1999,1600000
"ken",2000,1600000
"ken",2001,1600000
"ken",2002,1600000
"ken",2003,1600000
"ken",2004,1500000
"ken",2005,1500000
"ken",2006,1500000
"ken",2007,1500000
"ken",2008,1500000
"ken",2009,1600000
"ken",2010,1600000
"ken",2011,1600000
"rwa",1979,220
"rwa",1990,200000
"rwa",1991,200000
"rwa",1992,200000
"rwa",1993,200000
"rwa",1994,200000
"rwa",1995,200000
"rwa",1996,200000
"rwa",1997,210000
"rwa",1998,220000
"rwa",1999,220000
"rwa",2000,230000
"rwa",2001,220000
"rwa",2002,220000
"rwa",2003,210000
"rwa",2004,210000
"rwa",2005,200000
"rwa",2006,200000
"rwa",2007,200000
"rwa",2008,200000
"rwa",2009,200000
"rwa",2010,210000
"rwa",2011,210000
"ssd",2011,150000
"tza",1979,770
"tza",1990,660000
"tza",1991,820000
"tza",1992,980000
"tza",1993,1100000
"tza",1994,1200000
"tza",1995,1300000
"tza",1996,1400000
"tza",1997,1400000
"tza",1998,1400000
"tza",1999,1500000
"tza",2000,1500000
"tza",2001,1400000
"tza",2002,1400000
"tza",2003,1400000
"tza",2004,1400000
"tza",2005,1400000
"tza",2006,1400000
"tza",2007,1400000
"tza",2008,1400000
"tza",2009,1500000
"tza",2010,1500000
"tza",2011,1600000
"uga",1979,510
"uga",1990,1200000
"uga",1991,1200000
"uga",1992,1200000
"uga",1993,1200000
"uga",1994,1200000
"uga",1995,1200000
"uga",1996,1100000
"uga",1997,1100000
"uga",1998,1100000
"uga",1999,1000000
"uga",2000,1000000
"uga",2001,990000
"uga",2002,980000
"uga",2003,990000
"uga",2004,1000000
"uga",2005,1000000
"uga",2006,1100000
"uga",2007,1100000
"uga",2008,1200000
"uga",2009,1300000
"uga",2010,1300000
"uga",2011,1400000
