"geo","time","personal_computers_total"
"bdi",2000,4000
"bdi",2001,4000
"bdi",2002,4200
"bdi",2003,13000
"bdi",2004,34000
"bdi",2005,55000
"bdi",2006,65000
"cod",2001,7000
"cod",2002,8000
"cod",2003,10000
"cod",2004,11000
"cod",2005,12000
"ken",1990,8000
"ken",1991,10000
"ken",1992,12000
"ken",1993,14000
"ken",1994,16000
"ken",1995,18000
"ken",1996,50000
"ken",1997,75000
"ken",1998,100000
"ken",1999,125000
"ken",2000,150000
"ken",2001,175000
"ken",2002,204000
"ken",2003,300000
"ken",2004,396000
"ken",2005,492000
"rwa",2001,9950
"rwa",2002,10720
"rwa",2003,12090
"rwa",2004,15080
"rwa",2005,19210
"rwa",2006,28000
"tza",1997,50000
"tza",1998,55000
"tza",1999,80000
"tza",2000,100000
"tza",2001,120000
"tza",2002,144000
"tza",2003,200000
"tza",2004,278000
"tza",2005,356000
"uga",1995,10000
"uga",1996,20000
"uga",1997,30000
"uga",1998,40000
"uga",1999,55000
"uga",2000,60000
"uga",2001,70000
"uga",2002,82000
"uga",2003,102500
"uga",2004,120500
"uga",2005,300000
"uga",2006,500000
