"geo","time","planted_forest_area_ha"
"bdi",1990,186000
"bdi",1991,176000
"bdi",1992,166000
"bdi",1993,156000
"bdi",1994,146000
"bdi",1995,136000
"bdi",1996,126000
"bdi",1997,116000
"bdi",1998,106000
"bdi",1999,96000
"bdi",2000,86000
"bdi",2001,84400
"bdi",2002,82800
"bdi",2003,81200
"bdi",2004,79600
"bdi",2005,78000
"bdi",2006,85000
"bdi",2007,92000
"bdi",2008,99000
"bdi",2009,106000
"bdi",2010,113000
"bdi",2011,114400
"bdi",2012,115800
"bdi",2013,117200
"bdi",2014,118600
"bdi",2015,120000
"cod",1990,55700
"cod",1991,55800
"cod",1992,55900
"cod",1993,56000
"cod",1994,56100
"cod",1995,56200
"cod",1996,56300
"cod",1997,56400
"cod",1998,56500
"cod",1999,56600
"cod",2000,56700
"cod",2001,56800
"cod",2002,56900
"cod",2003,57000
"cod",2004,57100
"cod",2005,57200
"cod",2006,57520
"cod",2007,57830
"cod",2008,58150
"cod",2009,58460
"cod",2010,58780
"cod",2011,59100
"cod",2012,59410
"cod",2013,59730
"cod",2014,60040
"cod",2015,60360
"ken",1990,163000
"ken",1991,158700
"ken",1992,154400
"ken",1993,150100
"ken",1994,145800
"ken",1995,141500
"ken",1996,137200
"ken",1997,132900
"ken",1998,128600
"ken",1999,124300
"ken",2000,120000
"ken",2001,129200
"ken",2002,138400
"ken",2003,147600
"ken",2004,156800
"ken",2005,166000
"ken",2006,171400
"ken",2007,176800
"ken",2008,182200
"ken",2009,187600
"ken",2010,193000
"ken",2011,198400
"ken",2012,203800
"ken",2013,209200
"ken",2014,214600
"ken",2015,220000
"rwa",1990,248000
"rwa",1991,251400
"rwa",1992,254800
"rwa",1993,258200
"rwa",1994,261600
"rwa",1995,265000
"rwa",1996,268400
"rwa",1997,271800
"rwa",1998,275200
"rwa",1999,278600
"rwa",2000,282000
"rwa",2001,290200
"rwa",2002,298400
"rwa",2003,306600
"rwa",2004,314800
"rwa",2005,323000
"rwa",2006,335200
"rwa",2007,347400
"rwa",2008,359600
"rwa",2009,371800
"rwa",2010,384000
"rwa",2011,390800
"rwa",2012,397600
"rwa",2013,404400
"rwa",2014,411200
"rwa",2015,418000
"ssd",2011,0
"ssd",2012,0
"ssd",2013,0
"ssd",2014,0
"ssd",2015,0
"tza",1990,150000
"tza",1991,155000
"tza",1992,160000
"tza",1993,165000
"tza",1994,170000
"tza",1995,175000
"tza",1996,180000
"tza",1997,185000
"tza",1998,190000
"tza",1999,195000
"tza",2000,200000
"tza",2001,206000
"tza",2002,212000
"tza",2003,218000
"tza",2004,224000
"tza",2005,230000
"tza",2006,232000
"tza",2007,234000
"tza",2008,236000
"tza",2009,238000
"tza",2010,240000
"tza",2011,250000
"tza",2012,260000
"tza",2013,270000
"tza",2014,280000
"tza",2015,290000
"uga",1990,34000
"uga",1991,33800
"uga",1992,33600
"uga",1993,33400
"uga",1994,33200
"uga",1995,33000
"uga",1996,32800
"uga",1997,32600
"uga",1998,32400
"uga",1999,32200
"uga",2000,32000
"uga",2001,31800
"uga",2002,31600
"uga",2003,31400
"uga",2004,31200
"uga",2005,31000
"uga",2006,35800
"uga",2007,40600
"uga",2008,45400
"uga",2009,50200
"uga",2010,55000
"uga",2011,56000
"uga",2012,57000
"uga",2013,58000
"uga",2014,59000
"uga",2015,60000
