"geo","time","poisonings_deaths_per_100000_people"
"bdi",1990,7
"bdi",1991,6.92
"bdi",1992,6.83
"bdi",1993,6.76
"bdi",1994,6.7
"bdi",1995,6.64
"bdi",1996,6.53
"bdi",1997,6.31
"bdi",1998,6.04
"bdi",1999,5.64
"bdi",2000,5.32
"bdi",2001,4.89
"bdi",2002,4.61
"bdi",2003,4.35
"bdi",2004,4.1
"bdi",2005,3.94
"bdi",2006,3.72
"bdi",2007,3.57
"bdi",2008,3.45
"bdi",2009,3.33
"bdi",2010,3.22
"bdi",2011,3.19
"bdi",2012,3.17
"bdi",2013,3.17
"bdi",2014,3.15
"bdi",2015,3.15
"bdi",2016,3.13
"cod",1990,2.66
"cod",1991,2.65
"cod",1992,2.61
"cod",1993,2.55
"cod",1994,2.54
"cod",1995,2.54
"cod",1996,2.61
"cod",1997,2.53
"cod",1998,2.53
"cod",1999,2.51
"cod",2000,2.55
"cod",2001,2.52
"cod",2002,2.47
"cod",2003,2.48
"cod",2004,2.39
"cod",2005,2.33
"cod",2006,2.31
"cod",2007,2.29
"cod",2008,2.27
"cod",2009,2.24
"cod",2010,2.22
"cod",2011,2.19
"cod",2012,2.18
"cod",2013,2.13
"cod",2014,2.09
"cod",2015,2.06
"cod",2016,2.01
"ken",1990,2.66
"ken",1991,2.63
"ken",1992,2.62
"ken",1993,2.58
"ken",1994,2.54
"ken",1995,2.48
"ken",1996,2.44
"ken",1997,2.4
"ken",1998,2.36
"ken",1999,2.27
"ken",2000,2.65
"ken",2001,2.14
"ken",2002,2.09
"ken",2003,2.08
"ken",2004,2.01
"ken",2005,1.95
"ken",2006,1.89
"ken",2007,1.84
"ken",2008,1.8
"ken",2009,1.73
"ken",2010,1.75
"ken",2011,1.74
"ken",2012,1.71
"ken",2013,1.67
"ken",2014,1.63
"ken",2015,1.58
"ken",2016,1.56
"rwa",1990,5.2
"rwa",1991,5.32
"rwa",1992,5.45
"rwa",1993,5.6
"rwa",1994,5.82
"rwa",1995,5.98
"rwa",1996,5.94
"rwa",1997,5.78
"rwa",1998,5.49
"rwa",1999,5.05
"rwa",2000,4.59
"rwa",2001,4.11
"rwa",2002,3.72
"rwa",2003,3.4
"rwa",2004,3.21
"rwa",2005,2.98
"rwa",2006,2.77
"rwa",2007,2.61
"rwa",2008,2.48
"rwa",2009,2.37
"rwa",2010,2.3
"rwa",2011,2.24
"rwa",2012,2.19
"rwa",2013,2.15
"rwa",2014,2.12
"rwa",2015,2.09
"rwa",2016,2.05
"ssd",1990,4.73
"ssd",1991,4.62
"ssd",1992,4.59
"ssd",1993,4.56
"ssd",1994,4.52
"ssd",1995,4.47
"ssd",1996,4.36
"ssd",1997,4.18
"ssd",1998,4.1
"ssd",1999,3.96
"ssd",2000,3.85
"ssd",2001,3.64
"ssd",2002,3.5
"ssd",2003,3.46
"ssd",2004,3.45
"ssd",2005,3.49
"ssd",2006,3.54
"ssd",2007,3.54
"ssd",2008,3.53
"ssd",2009,3.47
"ssd",2010,3.38
"ssd",2011,3.3
"ssd",2012,3.23
"ssd",2013,3.23
"ssd",2014,3.21
"ssd",2015,3.21
"ssd",2016,3.19
"tza",1990,4.1
"tza",1991,4
"tza",1992,3.94
"tza",1993,3.86
"tza",1994,3.81
"tza",1995,3.68
"tza",1996,3.57
"tza",1997,3.88
"tza",1998,3.37
"tza",1999,3.26
"tza",2000,3.12
"tza",2001,2.98
"tza",2002,2.9
"tza",2003,2.89
"tza",2004,2.87
"tza",2005,2.83
"tza",2006,2.76
"tza",2007,2.75
"tza",2008,2.72
"tza",2009,2.66
"tza",2010,2.59
"tza",2011,2.55
"tza",2012,2.53
"tza",2013,2.5
"tza",2014,2.42
"tza",2015,2.36
"tza",2016,2.31
"uga",1990,4.55
"uga",1991,4.56
"uga",1992,4.45
"uga",1993,4.38
"uga",1994,4.32
"uga",1995,4.24
"uga",1996,4.16
"uga",1997,4.02
"uga",1998,3.91
"uga",1999,3.74
"uga",2000,3.64
"uga",2001,3.57
"uga",2002,3.42
"uga",2003,3.32
"uga",2004,3.23
"uga",2005,3.13
"uga",2006,3.08
"uga",2007,2.99
"uga",2008,2.89
"uga",2009,2.8
"uga",2010,2.73
"uga",2011,2.68
"uga",2012,2.67
"uga",2013,2.67
"uga",2014,2.62
"uga",2015,2.53
"uga",2016,2.49
