"geo","time","population_aged_0_4_years_male_percent"
"bdi",1950,16.79986
"bdi",1955,18.99236
"bdi",1960,18.7445
"bdi",1965,18.85436
"bdi",1970,18.75323
"bdi",1975,18.49172
"bdi",1980,19.3598
"bdi",1985,20.63912
"bdi",1990,20.63629
"bdi",1995,19.86199
"bdi",2000,18.4233
"bdi",2005,17.57054
"bdi",2010,18.35112
"bdi",2015,18.5882
"bdi",2020,17.95997
"bdi",2025,16.77368
"bdi",2030,15.63017
"bdi",2035,14.98952
"bdi",2040,14.61588
"bdi",2045,14.11879
"bdi",2050,13.39436
"bdi",2055,12.61088
"bdi",2060,11.92459
"bdi",2065,11.41707
"bdi",2070,11.00698
"bdi",2075,10.56497
"bdi",2080,10.07089
"bdi",2085,9.54207
"bdi",2090,9.09879
"bdi",2095,8.71099
"bdi",2100,8.37169
"cod",1950,18.7632
"cod",1955,18.26556
"cod",1960,18.4019
"cod",1965,18.55787
"cod",1970,18.62075
"cod",1975,18.60659
"cod",1980,18.59061
"cod",1985,18.67772
"cod",1990,18.69168
"cod",1995,18.8005
"cod",2000,18.65594
"cod",2005,18.88326
"cod",2010,19.0411
"cod",2015,18.73335
"cod",2020,17.87489
"cod",2025,16.98548
"cod",2030,16.17813
"cod",2035,15.35777
"cod",2040,14.48873
"cod",2045,13.56564
"cod",2050,12.67828
"cod",2055,11.86998
"cod",2060,11.12701
"cod",2065,10.47198
"cod",2070,9.82954
"cod",2075,9.23549
"cod",2080,8.69521
"cod",2085,8.19089
"cod",2090,7.75049
"cod",2095,7.35915
"cod",2100,7.01503
"ken",1950,17.29809
"ken",1955,19.36388
"ken",1960,19.83454
"ken",1965,20.13989
"ken",1970,20.37654
"ken",1975,20.81037
"ken",1980,20.77873
"ken",1985,20.42799
"ken",1990,19.23669
"ken",1995,17.29093
"ken",2000,17.50193
"ken",2005,17.11972
"ken",2010,16.53638
"ken",2015,15.05621
"ken",2020,14.11302
"ken",2025,13.32083
"ken",2030,12.6317
"ken",2035,11.93419
"ken",2040,11.20805
"ken",2045,10.51256
"ken",2050,9.90528
"ken",2055,9.34934
"ken",2060,8.84069
"ken",2065,8.36886
"ken",2070,7.92385
"ken",2075,7.49524
"ken",2080,7.11795
"ken",2085,6.80001
"ken",2090,6.51662
"ken",2095,6.26991
"ken",2100,6.04865
"rwa",1950,19.63396
"rwa",1955,20.16403
"rwa",1960,20.32745
"rwa",1965,19.72496
"rwa",1970,19.1617
"rwa",1975,19.84117
"rwa",1980,20.84423
"rwa",1985,21.29366
"rwa",1990,19.7826
"rwa",1995,12.44069
"rwa",2000,16.73991
"rwa",2005,16.51366
"rwa",2010,16.36525
"rwa",2015,15.25802
"rwa",2020,13.93934
"rwa",2025,12.7789
"rwa",2030,11.98298
"rwa",2035,11.42643
"rwa",2040,10.81126
"rwa",2045,10.03152
"rwa",2050,9.20718
"rwa",2055,8.49188
"rwa",2060,7.93615
"rwa",2065,7.47843
"rwa",2070,7.0732
"rwa",2075,6.66259
"rwa",2080,6.28779
"rwa",2085,5.97558
"rwa",2090,5.74193
"rwa",2095,5.56559
"rwa",2100,5.42744
"ssd",1950,17.74795
"ssd",1955,15.67173
"ssd",1960,17.00179
"ssd",1965,17.86482
"ssd",1970,18.37396
"ssd",1975,18.29752
"ssd",1980,18.18433
"ssd",1985,17.89182
"ssd",1990,18.3841
"ssd",1995,18.38591
"ssd",2000,18.07678
"ssd",2005,17.23808
"ssd",2010,16.68939
"ssd",2015,16.05156
"ssd",2020,15.45368
"ssd",2025,14.78723
"ssd",2030,14.03265
"ssd",2035,13.26115
"ssd",2040,12.55162
"ssd",2045,11.9405
"ssd",2050,11.37124
"ssd",2055,10.8192
"ssd",2060,10.27565
"ssd",2065,9.76665
"ssd",2070,9.3044
"ssd",2075,8.88307
"ssd",2080,8.49083
"ssd",2085,8.11466
"ssd",2090,7.77123
"ssd",2095,7.45012
"ssd",2100,7.16673
"tza",1950,19.35004
"tza",1955,18.92876
"tza",1960,19.25775
"tza",1965,19.34385
"tza",1970,19.37421
"tza",1975,19.34008
"tza",1980,19.26017
"tza",1985,18.90758
"tza",1990,18.57495
"tza",1995,18.20236
"tza",2000,17.80503
"tza",2005,18.19543
"tza",2010,18.24433
"tza",2015,17.88682
"tza",2020,16.95099
"tza",2025,16.21057
"tza",2030,15.60179
"tza",2035,14.99584
"tza",2040,14.34301
"tza",2045,13.66508
"tza",2050,12.98347
"tza",2055,12.36175
"tza",2060,11.7981
"tza",2065,11.2432
"tza",2070,10.72477
"tza",2075,10.21671
"tza",2080,9.73979
"tza",2085,9.30047
"tza",2090,8.90139
"tza",2095,8.5178
"tza",2100,8.14472
"uga",1950,18.50738
"uga",1955,19.22172
"uga",1960,19.18974
"uga",1965,19.31603
"uga",1970,19.57222
"uga",1975,19.53756
"uga",1980,19.63168
"uga",1985,19.77227
"uga",1990,20.01199
"uga",1995,20.49856
"uga",2000,20.51883
"uga",2005,20.45396
"uga",2010,19.87373
"uga",2015,18.99706
"uga",2020,18.10269
"uga",2025,17.27349
"uga",2030,16.42534
"uga",2035,15.52768
"uga",2040,14.62066
"uga",2045,13.76327
"uga",2050,12.96031
"uga",2055,12.21433
"uga",2060,11.50953
"uga",2065,10.83831
"uga",2070,10.21546
"uga",2075,9.63934
"uga",2080,9.10487
"uga",2085,8.61647
"uga",2090,8.16582
"uga",2095,7.75314
"uga",2100,7.36989
