"geo","time","population_aged_10_14_years_both_sexes_percent"
"bdi",1950,11.42374
"bdi",1955,11.09619
"bdi",1960,10.92073
"bdi",1965,12.29491
"bdi",1970,12.47411
"bdi",1975,12.82688
"bdi",1980,11.8536
"bdi",1985,11.01301
"bdi",1990,11.91299
"bdi",1995,13.4752
"bdi",2000,14.77267
"bdi",2005,13.78009
"bdi",2010,12.139
"bdi",2015,11.76022
"bdi",2020,12.45897
"bdi",2025,12.77365
"bdi",2030,12.73138
"bdi",2035,12.17659
"bdi",2040,11.51621
"bdi",2045,11.18204
"bdi",2050,11.08257
"bdi",2055,10.91984
"bdi",2060,10.56811
"bdi",2065,10.11266
"bdi",2070,9.69025
"bdi",2075,9.39123
"bdi",2080,9.17013
"bdi",2085,8.91974
"bdi",2090,8.60896
"bdi",2095,8.25193
"bdi",2100,7.95179
"cod",1950,11.85233
"cod",1955,12.12034
"cod",1960,12.11587
"cod",1965,11.66228
"cod",1970,11.78215
"cod",1975,11.95213
"cod",1980,12.0888
"cod",1985,12.11762
"cod",1990,12.16831
"cod",1995,12.26173
"cod",2000,12.3498
"cod",2005,12.37813
"cod",2010,12.30641
"cod",2015,12.54946
"cod",2020,12.87106
"cod",2025,12.95785
"cod",2030,12.64779
"cod",2035,12.2811
"cod",2040,11.9607
"cod",2045,11.61991
"cod",2050,11.21739
"cod",2055,10.72803
"cod",2060,10.22074
"cod",2065,9.73457
"cod",2070,9.27113
"cod",2075,8.86122
"cod",2080,8.43919
"cod",2085,8.03837
"cod",2090,7.66738
"cod",2095,7.31085
"cod",2100,6.99572
"ken",1950,10.75871
"ken",1955,9.76537
"ken",1960,11.31497
"ken",1965,12.63893
"ken",1970,12.8907
"ken",1975,12.98797
"ken",1980,13.04426
"ken",1985,13.3475
"ken",1990,13.60835
"ken",1995,13.86534
"ken",2000,13.53215
"ken",2005,12.36499
"ken",2010,12.5944
"ken",2015,12.49238
"ken",2020,12.32792
"ken",2025,11.45987
"ken",2030,10.93669
"ken",2035,10.49411
"ken",2040,10.12674
"ken",2045,9.74281
"ken",2050,9.30784
"ken",2055,8.86738
"ken",2060,8.4802
"ken",2065,8.12083
"ken",2070,7.78643
"ken",2075,7.47023
"ken",2080,7.16206
"ken",2085,6.85233
"ken",2090,6.57661
"ken",2095,6.34528
"ken",2100,6.13613
"rwa",1950,11.2378
"rwa",1955,10.57617
"rwa",1960,12.24155
"rwa",1965,13.3841
"rwa",1970,13.61562
"rwa",1975,12.68198
"rwa",1980,12.17663
"rwa",1985,12.43486
"rwa",1990,13.25951
"rwa",1995,15.12909
"rwa",2000,14.4901
"rwa",2005,11.74471
"rwa",2010,11.96462
"rwa",2015,12.03169
"rwa",2020,12.23259
"rwa",2025,11.70387
"rwa",2030,10.93013
"rwa",2035,10.1649
"rwa",2040,9.68349
"rwa",2045,9.40049
"rwa",2050,9.07319
"rwa",2055,8.58182
"rwa",2060,8.00779
"rwa",2065,7.49504
"rwa",2070,7.10266
"rwa",2075,6.78393
"rwa",2080,6.49997
"rwa",2085,6.19875
"rwa",2090,5.91509
"rwa",2095,5.67907
"rwa",2100,5.50761
"ssd",1950,11.82979
"ssd",1955,12.35655
"ssd",1960,12.114
"ssd",1965,10.57847
"ssd",1970,11.27135
"ssd",1975,11.79345
"ssd",1980,12.14786
"ssd",1985,12.18313
"ssd",1990,12.06753
"ssd",1995,11.78857
"ssd",2000,12.30833
"ssd",2005,12.56804
"ssd",2010,12.65246
"ssd",2015,12.30971
"ssd",2020,12.12054
"ssd",2025,11.85497
"ssd",2030,11.64523
"ssd",2035,11.3712
"ssd",2040,10.99998
"ssd",2045,10.58209
"ssd",2050,10.18388
"ssd",2055,9.83449
"ssd",2060,9.50598
"ssd",2065,9.17515
"ssd",2070,8.83539
"ssd",2075,8.50476
"ssd",2080,8.19764
"ssd",2085,7.9146
"ssd",2090,7.64491
"ssd",2095,7.37654
"ssd",2100,7.12514
"tza",1950,12.24732
"tza",1955,12.31562
"tza",1960,12.48445
"tza",1965,12.09347
"tza",1970,12.32484
"tza",1975,12.42514
"tza",1980,12.51305
"tza",1985,12.66275
"tza",1990,12.75521
"tza",1995,12.75507
"tza",2000,12.77238
"tza",2005,12.58888
"tza",2010,12.41177
"tza",2015,12.71882
"tza",2020,12.78012
"tza",2025,12.70562
"tza",2030,12.26739
"tza",2035,11.908
"tza",2040,11.63438
"tza",2045,11.3685
"tza",2050,11.05077
"tza",2055,10.69028
"tza",2060,10.30311
"tza",2065,9.94534
"tza",2070,9.61993
"tza",2075,9.29142
"tza",2080,8.98052
"tza",2085,8.66619
"tza",2090,8.36147
"tza",2095,8.07748
"tza",2100,7.81884
"uga",1950,10.74199
"uga",1955,11.76029
"uga",1960,11.90041
"uga",1965,12.47312
"uga",1970,12.41631
"uga",1975,12.51488
"uga",1980,12.70302
"uga",1985,12.65434
"uga",1990,12.77168
"uga",1995,12.98474
"uga",2000,13.23189
"uga",2005,13.46725
"uga",2010,13.43923
"uga",2015,13.53396
"uga",2020,13.40297
"uga",2025,13.0921
"uga",2030,12.77574
"uga",2035,12.4543
"uga",2040,12.10755
"uga",2045,11.69548
"uga",2050,11.2364
"uga",2055,10.77986
"uga",2060,10.33617
"uga",2065,9.91222
"uga",2070,9.49451
"uga",2075,9.08266
"uga",2080,8.69216
"uga",2085,8.32436
"uga",2090,7.97656
"uga",2095,7.65251
"uga",2100,7.34716
