"geo","time","population_aged_40_59_years_female_percent"
"bdi",1950,15.08461
"bdi",1955,15.16837
"bdi",1960,15.02636
"bdi",1965,14.73445
"bdi",1970,14.13673
"bdi",1975,13.39439
"bdi",1980,12.70485
"bdi",1985,11.98352
"bdi",1990,11.26535
"bdi",1995,11.55043
"bdi",2000,11.37287
"bdi",2005,11.94493
"bdi",2010,12.47221
"bdi",2015,11.8361
"bdi",2020,11.53294
"bdi",2025,12.28314
"bdi",2030,13.72369
"bdi",2035,15.13377
"bdi",2040,15.73871
"bdi",2045,15.90768
"bdi",2050,16.28781
"bdi",2055,17.12086
"bdi",2060,18.38275
"bdi",2065,19.50859
"bdi",2070,20.15163
"bdi",2075,20.59782
"bdi",2080,21.07963
"bdi",2085,21.71458
"bdi",2090,22.39211
"bdi",2095,22.91467
"bdi",2100,23.21037
"cod",1950,14.04475
"cod",1955,14.17144
"cod",1960,14.24157
"cod",1965,14.2181
"cod",1970,14.17783
"cod",1975,14.08653
"cod",1980,13.98231
"cod",1985,13.84883
"cod",1990,13.62416
"cod",1995,13.17099
"cod",2000,12.83399
"cod",2005,12.56121
"cod",2010,12.36592
"cod",2015,12.33297
"cod",2020,12.41427
"cod",2025,12.62693
"cod",2030,12.95491
"cod",2035,13.42658
"cod",2040,14.04986
"cod",2045,14.95177
"cod",2050,16.15477
"cod",2055,17.53355
"cod",2060,18.89115
"cod",2065,20.09928
"cod",2070,21.147
"cod",2075,22.05774
"cod",2080,22.88382
"cod",2085,23.57349
"cod",2090,24.07695
"cod",2095,24.40591
"cod",2100,24.59392
"ken",1950,16.07843
"ken",1955,14.61479
"ken",1960,13.30086
"ken",1965,12.24327
"ken",1970,11.68465
"ken",1975,11.34522
"ken",1980,10.70774
"ken",1985,9.91476
"ken",1990,9.80262
"ken",1995,10.30004
"ken",2000,10.74687
"ken",2005,11.21194
"ken",2010,11.7225
"ken",2015,12.76263
"ken",2020,14.29291
"ken",2025,16.05915
"ken",2030,17.61054
"ken",2035,18.45609
"ken",2040,19.31756
"ken",2045,20.14256
"ken",2050,21.10363
"ken",2055,22.02733
"ken",2060,22.62529
"ken",2065,23.0331
"ken",2070,23.31158
"ken",2075,23.72879
"ken",2080,24.09375
"ken",2085,24.35151
"ken",2090,24.49759
"ken",2095,24.55768
"ken",2100,24.57581
"rwa",1950,14.11165
"rwa",1955,13.13305
"rwa",1960,11.96281
"rwa",1965,11.91119
"rwa",1970,12.21004
"rwa",1975,12.18009
"rwa",1980,11.44448
"rwa",1985,10.36418
"rwa",1990,10.21469
"rwa",1995,11.70615
"rwa",2000,12.03292
"rwa",2005,12.84497
"rwa",2010,12.69306
"rwa",2015,13.05565
"rwa",2020,14.09375
"rwa",2025,16.22488
"rwa",2030,18.58433
"rwa",2035,19.5224
"rwa",2040,20.37343
"rwa",2045,20.7676
"rwa",2050,21.71528
"rwa",2055,23.24432
"rwa",2060,24.26653
"rwa",2065,24.7487
"rwa",2070,24.83852
"rwa",2075,25.0148
"rwa",2080,25.35438
"rwa",2085,25.71846
"rwa",2090,25.84698
"rwa",2095,25.65775
"rwa",2100,25.27371
"ssd",1950,13.08204
"ssd",1955,13.37447
"ssd",1960,13.53197
"ssd",1965,13.61792
"ssd",1970,13.7234
"ssd",1975,13.94077
"ssd",1980,14.12247
"ssd",1985,14.27881
"ssd",1990,14.11324
"ssd",1995,13.33175
"ssd",2000,12.94009
"ssd",2005,12.82067
"ssd",2010,12.91619
"ssd",2015,13.31727
"ssd",2020,13.6504
"ssd",2025,14.01296
"ssd",2030,14.73653
"ssd",2035,15.73649
"ssd",2040,16.90214
"ssd",2045,18.02073
"ssd",2050,19.00437
"ssd",2055,19.87901
"ssd",2060,20.72223
"ssd",2065,21.59123
"ssd",2070,22.35826
"ssd",2075,23.00318
"ssd",2080,23.49556
"ssd",2085,23.88881
"ssd",2090,24.2365
"ssd",2095,24.55256
"ssd",2100,24.81248
"tza",1950,12.65999
"tza",1955,12.75724
"tza",1960,12.78207
"tza",1965,12.76424
"tza",1970,12.71554
"tza",1975,12.63925
"tza",1980,12.53541
"tza",1985,12.48597
"tza",1990,12.50799
"tza",1995,12.3304
"tza",2000,12.16567
"tza",2005,11.85469
"tza",2010,11.65977
"tza",2015,11.92041
"tza",2020,12.57688
"tza",2025,13.3471
"tza",2030,14.05793
"tza",2035,14.64633
"tza",2040,15.06878
"tza",2045,15.80544
"tza",2050,16.64231
"tza",2055,17.58248
"tza",2060,18.49275
"tza",2065,19.16675
"tza",2070,19.78935
"tza",2075,20.354
"tza",2080,20.9176
"tza",2085,21.43395
"tza",2090,21.85272
"tza",2095,22.18469
"tza",2100,22.47324
"uga",1950,12.80092
"uga",1955,12.82077
"uga",1960,12.91773
"uga",1965,13.04403
"uga",1970,13.05473
"uga",1975,12.96992
"uga",1980,12.10538
"uga",1985,11.60964
"uga",1990,11.14083
"uga",1995,10.69388
"uga",2000,10.32707
"uga",2005,9.87316
"uga",2010,9.81354
"uga",2015,10.17271
"uga",2020,10.82185
"uga",2025,11.55815
"uga",2030,12.29841
"uga",2035,13.12226
"uga",2040,14.04211
"uga",2045,15.15534
"uga",2050,16.35582
"uga",2055,17.51152
"uga",2060,18.63095
"uga",2065,19.64428
"uga",2070,20.57678
"uga",2075,21.41956
"uga",2080,22.12928
"uga",2085,22.71389
"uga",2090,23.18114
"uga",2095,23.56353
"uga",2100,23.88459
