"geo","time","population_aged_40_59_years_total_number"
"bdi",1950,337835
"bdi",1955,370908
"bdi",1960,402990
"bdi",1965,436058
"bdi",1970,470210
"bdi",1975,472467
"bdi",1980,500691
"bdi",1985,539460
"bdi",1990,585833
"bdi",1995,658795
"bdi",2000,723675
"bdi",2005,890773
"bdi",2010,1098210
"bdi",2015,1196868
"bdi",2020,1368123
"bdi",2025,1671327
"bdi",2030,2110240
"bdi",2035,2632676
"bdi",2040,3094989
"bdi",2045,3546344
"bdi",2050,4112375
"bdi",2055,4835894
"bdi",2060,5735130
"bdi",2065,6665839
"bdi",2070,7490305
"bdi",2075,8278153
"bdi",2080,9108313
"bdi",2085,10025406
"bdi",2090,10982572
"bdi",2095,11874906
"bdi",2100,12645059
"cod",1950,1610983
"cod",1955,1798582
"cod",1960,2038830
"cod",1965,2324290
"cod",1970,2677285
"cod",1975,3057934
"cod",1980,3510654
"cod",1985,3966147
"cod",1990,4549915
"cod",1995,5328157
"cod",2000,5911007
"cod",2005,6756197
"cod",2010,7856470
"cod",2015,9254671
"cod",2020,10945663
"cod",2025,12971177
"cod",2030,15390187
"cod",2035,18309512
"cod",2040,21798425
"cod",2045,26151703
"cod",2050,31559818
"cod",2055,37912774
"cod",2060,44819365
"cod",2065,51898824
"cod",2070,58952505
"cod",2075,65883467
"cod",2080,72712822
"cod",2085,79125031
"cod",2090,84815653
"cod",2095,89674915
"cod",2100,93703216
"ken",1950,973783
"ken",1955,1042822
"ken",1960,1118746
"ken",1965,1216607
"ken",1970,1358944
"ken",1975,1553885
"ken",1980,1741303
"ken",1985,1923824
"ken",1990,2246466
"ken",1995,2736425
"ken",2000,3251108
"ken",2005,3861598
"ken",2010,4652889
"ken",2015,5843581
"ken",2020,7471553
"ken",2025,9469681
"ken",2030,11601170
"ken",2035,13468893
"ken",2040,15501136
"ken",2045,17637587
"ken",2050,20013235
"ken",2055,22439678
"ken",2060,24578175
"ken",2065,26492212
"ken",2070,28188894
"ken",2075,29958784
"ken",2080,31560097
"ken",2085,32905171
"ken",2090,33963118
"ken",2095,34755712
"ken",2100,35341202
"rwa",1950,291915
"rwa",1955,308263
"rwa",1960,325787
"rwa",1965,361571
"rwa",1970,444628
"rwa",1975,526883
"rwa",1980,589239
"rwa",1985,636067
"rwa",1990,738337
"rwa",1995,667843
"rwa",2000,938995
"rwa",2005,1158015
"rwa",2010,1317654
"rwa",2015,1514962
"rwa",2020,1813999
"rwa",2025,2265124
"rwa",2030,2878269
"rwa",2035,3316554
"rwa",2040,3783255
"rwa",2045,4194451
"rwa",2050,4674093
"rwa",2055,5315411
"rwa",2060,5837911
"rwa",2065,6226596
"rwa",2070,6491443
"rwa",2075,6741734
"rwa",2080,6997654
"rwa",2085,7219599
"rwa",2090,7338996
"rwa",2095,7330911
"rwa",2100,7233109
"ssd",1950,343389
"ssd",1955,366564
"ssd",1960,402416
"ssd",1965,447637
"ssd",1970,502179
"ssd",1975,572268
"ssd",1980,659996
"ssd",1985,771132
"ssd",1990,805815
"ssd",1995,717430
"ssd",2000,851176
"ssd",2005,1018401
"ssd",2010,1274473
"ssd",2015,1556666
"ssd",2020,1834342
"ssd",2025,2135718
"ssd",2030,2521338
"ssd",2035,2997365
"ssd",2040,3560077
"ssd",2045,4169640
"ssd",2050,4799886
"ssd",2055,5444505
"ssd",2060,6110654
"ssd",2065,6809785
"ssd",2070,7495688
"ssd",2075,8149470
"ssd",2080,8751143
"ssd",2085,9307302
"ssd",2090,9826643
"ssd",2095,10308886
"ssd",2100,10738359
"tza",1950,948682
"tza",1955,1091323
"tza",1960,1258910
"tza",1965,1456303
"tza",1970,1687668
"tza",1975,1968196
"tza",1980,2279739
"tza",1985,2648970
"tza",1990,3083200
"tza",1995,3565431
"tza",2000,3994203
"tza",2005,4520658
"tza",2010,5262435
"tza",2015,6334778
"tza",2020,7786952
"tza",2025,9517576
"tza",2030,11455144
"tza",2035,13612218
"tza",2040,16016963
"tza",2045,19017112
"tza",2050,22616981
"tza",2055,26755876
"tza",2060,31165934
"tza",2065,35627223
"tza",2070,40220866
"tza",2075,44937615
"tza",2080,49874139
"tza",2085,54848648
"tza",2090,59656240
"tza",2095,64236290
"tza",2100,68623486
"uga",1950,652855
"uga",1955,747677
"uga",1960,867378
"uga",1965,1032644
"uga",1970,1216766
"uga",1975,1382313
"uga",1980,1493951
"uga",1985,1673677
"uga",1990,1897004
"uga",1995,2099016
"uga",2000,2318140
"uga",2005,2616756
"uga",2010,3143489
"uga",2015,3935126
"uga",2020,4986815
"uga",2025,6255661
"uga",2030,7724765
"uga",2035,9480371
"uga",2040,11573886
"uga",2045,14132872
"uga",2050,17110342
"uga",2055,20371950
"uga",2060,23881492
"uga",2065,27524983
"uga",2070,31274438
"uga",2075,35061680
"uga",2080,38759984
"uga",2085,42274151
"uga",2090,45538158
"uga",2095,48538390
"uga",2100,51250960
