"geo","time","population_aged_60plus_years_both_sexes_percent"
"bdi",1950,4.94231
"bdi",1955,4.65624
"bdi",1960,4.65291
"bdi",1965,4.68632
"bdi",1970,4.66329
"bdi",1975,4.91917
"bdi",1980,4.78311
"bdi",1985,4.61348
"bdi",1990,4.77694
"bdi",1995,4.59397
"bdi",2000,4.50739
"bdi",2005,4.21276
"bdi",2010,4.00793
"bdi",2015,4.21818
"bdi",2020,4.58759
"bdi",2025,4.80824
"bdi",2030,4.94128
"bdi",2035,4.89304
"bdi",2040,5.12213
"bdi",2045,5.68104
"bdi",2050,6.48493
"bdi",2055,7.24432
"bdi",2060,7.77451
"bdi",2065,8.30773
"bdi",2070,9.13132
"bdi",2075,10.15988
"bdi",2080,11.29566
"bdi",2085,12.39815
"bdi",2090,13.41951
"bdi",2095,14.46589
"bdi",2100,15.62346
"cod",1950,4.87679
"cod",1955,4.53134
"cod",1960,4.41268
"cod",1965,4.38169
"cod",1970,4.3835
"cod",1975,4.40441
"cod",1980,4.42702
"cod",1985,4.43993
"cod",1990,4.74685
"cod",1995,4.74872
"cod",2000,4.73001
"cod",2005,4.72757
"cod",2010,4.71974
"cod",2015,4.66083
"cod",2020,4.67832
"cod",2025,4.78143
"cod",2030,4.95878
"cod",2035,5.19782
"cod",2040,5.50874
"cod",2045,5.91482
"cod",2050,6.41789
"cod",2055,7.04087
"cod",2060,7.79235
"cod",2065,8.76647
"cod",2070,9.99213
"cod",2075,11.41036
"cod",2080,12.91319
"cod",2085,14.47897
"cod",2090,16.11841
"cod",2095,17.81309
"cod",2100,19.52656
"ken",1950,5.98596
"ken",1955,5.71385
"ken",1960,5.5165
"ken",1965,5.26619
"ken",1970,4.95268
"ken",1975,4.56985
"ken",1980,4.2043
"ken",1985,3.92722
"ken",1990,4.1741
"ken",1995,4.15316
"ken",2000,3.9848
"ken",2005,3.74803
"ken",2010,3.80561
"ken",2015,4.11292
"ken",2020,4.49671
"ken",2025,4.96937
"ken",2030,5.6001
"ken",2035,6.53211
"ken",2040,7.76662
"ken",2045,9.19998
"ken",2050,10.61527
"ken",2055,11.79985
"ken",2060,13.21107
"ken",2065,14.75431
"ken",2070,16.41466
"ken",2075,17.90926
"ken",2080,19.37694
"ken",2085,20.83696
"ken",2090,22.30706
"ken",2095,23.76105
"ken",2100,25.1617
"rwa",1950,4.82951
"rwa",1955,4.75437
"rwa",1960,4.59367
"rwa",1965,4.35029
"rwa",1970,4.04113
"rwa",1975,3.70281
"rwa",1980,3.34074
"rwa",1985,3.3953
"rwa",1990,3.87569
"rwa",1995,3.75398
"rwa",2000,4.31729
"rwa",2005,4.09987
"rwa",2010,4.14726
"rwa",2015,4.63846
"rwa",2020,5.27287
"rwa",2025,6.20215
"rwa",2030,6.53966
"rwa",2035,7.09952
"rwa",2040,8.06761
"rwa",2045,9.7601
"rwa",2050,11.58067
"rwa",2055,12.69463
"rwa",2060,14.13357
"rwa",2065,15.81604
"rwa",2070,17.79857
"rwa",2075,19.76844
"rwa",2080,21.60501
"rwa",2085,23.28721
"rwa",2090,24.92525
"rwa",2095,26.60018
"rwa",2100,28.26195
"ssd",1950,5.13514
"ssd",1955,4.62138
"ssd",1960,4.26276
"ssd",1965,4.10082
"ssd",1970,4.06721
"ssd",1975,4.11644
"ssd",1980,4.19549
"ssd",1985,4.2853
"ssd",1990,4.59367
"ssd",1995,4.76923
"ssd",2000,4.94801
"ssd",2005,5.13942
"ssd",2010,5.25371
"ssd",2015,5.14002
"ssd",2020,5.19327
"ssd",2025,5.37549
"ssd",2030,5.66577
"ssd",2035,6.00689
"ssd",2040,6.40877
"ssd",2045,6.87112
"ssd",2050,7.55257
"ssd",2055,8.40028
"ssd",2060,9.36938
"ssd",2065,10.34697
"ssd",2070,11.37935
"ssd",2075,12.44917
"ssd",2080,13.59121
"ssd",2085,14.78613
"ssd",2090,15.98301
"ssd",2095,17.16612
"ssd",2100,18.34642
"tza",1950,3.61243
"tza",1955,3.7128
"tza",1960,3.79243
"tza",1965,3.8552
"tza",1970,3.90847
"tza",1975,3.95364
"tza",1980,3.99507
"tza",1985,4.0296
"tza",1990,4.34565
"tza",1995,4.38398
"tza",2000,4.4421
"tza",2005,4.57387
"tza",2010,4.70414
"tza",2015,4.64673
"tza",2020,4.69773
"tza",2025,4.81213
"tza",2030,5.05486
"tza",2035,5.45755
"tza",2040,5.98942
"tza",2045,6.57329
"tza",2050,7.19335
"tza",2055,7.87435
"tza",2060,8.61723
"tza",2065,9.55326
"tza",2070,10.62446
"tza",2075,11.79512
"tza",2080,12.95283
"tza",2085,14.11896
"tza",2090,15.31688
"tza",2095,16.54775
"tza",2100,17.79183
"uga",1950,4.44768
"uga",1955,4.11179
"uga",1960,3.97736
"uga",1965,3.96606
"uga",1970,3.98172
"uga",1975,4.01037
"uga",1980,4.04017
"uga",1985,4.06312
"uga",1990,4.30372
"uga",1995,4.19821
"uga",2000,3.81506
"uga",2005,3.6015
"uga",2010,3.42974
"uga",2015,3.34808
"uga",2020,3.30554
"uga",2025,3.37408
"uga",2030,3.62996
"uga",2035,4.05146
"uga",2040,4.5795
"uga",2045,5.17099
"uga",2050,5.83924
"uga",2055,6.63863
"uga",2060,7.56341
"uga",2065,8.66283
"uga",2070,9.89015
"uga",2075,11.19814
"uga",2080,12.57752
"uga",2085,14.01605
"uga",2090,15.49876
"uga",2095,16.99636
"uga",2100,18.48157
