"geo","time","population_aged_60plus_years_female_percent"
"bdi",1950,5.30425
"bdi",1955,5.05521
"bdi",1960,5.08627
"bdi",1965,5.14474
"bdi",1970,5.13833
"bdi",1975,5.25693
"bdi",1980,5.17334
"bdi",1985,5.0161
"bdi",1990,5.25546
"bdi",1995,5.09436
"bdi",2000,4.93874
"bdi",2005,4.53991
"bdi",2010,4.19145
"bdi",2015,4.35101
"bdi",2020,4.72155
"bdi",2025,4.99416
"bdi",2030,5.22548
"bdi",2035,5.21829
"bdi",2040,5.43267
"bdi",2045,6.07143
"bdi",2050,7.02863
"bdi",2055,7.89105
"bdi",2060,8.4767
"bdi",2065,9.05564
"bdi",2070,9.92198
"bdi",2075,11.00976
"bdi",2080,12.24038
"bdi",2085,13.4519
"bdi",2090,14.59176
"bdi",2095,15.75809
"bdi",2100,17.02736
"cod",1950,5.48109
"cod",1955,5.14733
"cod",1960,5.03495
"cod",1965,5.01927
"cod",1970,5.01227
"cod",1975,5.02071
"cod",1980,5.02036
"cod",1985,5.00327
"cod",1990,5.3548
"cod",1995,5.31929
"cod",2000,5.25993
"cod",2005,5.21365
"cod",2010,5.1584
"cod",2015,5.04252
"cod",2020,5.02146
"cod",2025,5.10143
"cod",2030,5.26765
"cod",2035,5.50582
"cod",2040,5.82374
"cod",2045,6.24609
"cod",2050,6.77564
"cod",2055,7.44473
"cod",2060,8.26254
"cod",2065,9.3176
"cod",2070,10.63962
"cod",2075,12.16787
"cod",2080,13.78837
"cod",2085,15.47554
"cod",2090,17.23525
"cod",2095,19.03876
"cod",2100,20.83919
"ken",1950,6.79785
"ken",1955,6.33363
"ken",1960,6.01945
"ken",1965,5.64347
"ken",1970,5.15025
"ken",1975,4.63577
"ken",1980,4.21853
"ken",1985,3.92649
"ken",1990,4.26013
"ken",1995,4.29814
"ken",2000,4.2022
"ken",2005,4.0123
"ken",2010,4.12007
"ken",2015,4.4954
"ken",2020,4.94721
"ken",2025,5.47598
"ken",2030,6.13773
"ken",2035,7.08986
"ken",2040,8.35813
"ken",2045,9.84814
"ken",2050,11.33252
"ken",2055,12.58675
"ken",2060,14.07652
"ken",2065,15.70079
"ken",2070,17.4378
"ken",2075,18.99912
"ken",2080,20.52628
"ken",2085,22.0397
"ken",2090,23.5573
"ken",2095,25.05135
"ken",2100,26.48371
"rwa",1950,5.01948
"rwa",1955,5.04249
"rwa",1960,4.9595
"rwa",1965,4.78434
"rwa",1970,4.51549
"rwa",1975,4.22661
"rwa",1980,3.80744
"rwa",1985,3.7694
"rwa",1990,4.1923
"rwa",1995,4.03445
"rwa",2000,4.61968
"rwa",2005,4.52726
"rwa",2010,4.63686
"rwa",2015,5.11611
"rwa",2020,5.68993
"rwa",2025,6.51515
"rwa",2030,6.83957
"rwa",2035,7.55061
"rwa",2040,8.67569
"rwa",2045,10.64563
"rwa",2050,12.52098
"rwa",2055,13.79117
"rwa",2060,15.33135
"rwa",2065,17.12681
"rwa",2070,19.2231
"rwa",2075,21.28436
"rwa",2080,23.19112
"rwa",2085,24.91966
"rwa",2090,26.60011
"rwa",2095,28.30768
"rwa",2100,29.98853
"ssd",1950,4.99044
"ssd",1955,4.56914
"ssd",1960,4.29814
"ssd",1965,4.20252
"ssd",1970,4.21324
"ssd",1975,4.30036
"ssd",1980,4.3828
"ssd",1985,4.4723
"ssd",1990,4.84097
"ssd",1995,5.06593
"ssd",2000,5.26087
"ssd",2005,5.45986
"ssd",2010,5.58014
"ssd",2015,5.48595
"ssd",2020,5.55118
"ssd",2025,5.74477
"ssd",2030,6.04728
"ssd",2035,6.39606
"ssd",2040,6.80924
"ssd",2045,7.29222
"ssd",2050,8.00723
"ssd",2055,8.9066
"ssd",2060,9.94675
"ssd",2065,11.01216
"ssd",2070,12.15042
"ssd",2075,13.33393
"ssd",2080,14.61304
"ssd",2085,15.95981
"ssd",2090,17.31404
"ssd",2095,18.65376
"ssd",2100,19.97815
"tza",1950,3.91009
"tza",1955,4.01935
"tza",1960,4.10353
"tza",1965,4.16754
"tza",1970,4.221
"tza",1975,4.26455
"tza",1980,4.30589
"tza",1985,4.34022
"tza",1990,4.7126
"tza",1995,4.76343
"tza",2000,4.8432
"tza",2005,4.78302
"tza",2010,5.00303
"tza",2015,5.05619
"tza",2020,5.1195
"tza",2025,5.22187
"tza",2030,5.43251
"tza",2035,5.8159
"tza",2040,6.38028
"tza",2045,7.03616
"tza",2050,7.74782
"tza",2055,8.50713
"tza",2060,9.27519
"tza",2065,10.28439
"tza",2070,11.3861
"tza",2075,12.58757
"tza",2080,13.78493
"tza",2085,14.99127
"tza",2090,16.22837
"tza",2095,17.49678
"tza",2100,18.77394
"uga",1950,4.68458
"uga",1955,4.34073
"uga",1960,4.19767
"uga",1965,4.19292
"uga",1970,4.21724
"uga",1975,4.24286
"uga",1980,4.26679
"uga",1985,4.2988
"uga",1990,4.60093
"uga",1995,4.53158
"uga",2000,4.16788
"uga",2005,3.98407
"uga",2010,3.84897
"uga",2015,3.81519
"uga",2020,3.79486
"uga",2025,3.84798
"uga",2030,4.05441
"uga",2035,4.42846
"uga",2040,4.93857
"uga",2045,5.5363
"uga",2050,6.22928
"uga",2055,7.06235
"uga",2060,8.02545
"uga",2065,9.165
"uga",2070,10.42999
"uga",2075,11.77756
"uga",2080,13.20672
"uga",2085,14.69452
"uga",2090,16.2261
"uga",2095,17.7693
"uga",2100,19.28683
