"geo","time","population_aged_60plus_years_male_percent"
"bdi",1950,4.54855
"bdi",1955,4.22523
"bdi",1960,4.18861
"bdi",1965,4.19856
"bdi",1970,4.16069
"bdi",1975,4.56039
"bdi",1980,4.36834
"bdi",1985,4.18585
"bdi",1990,4.27524
"bdi",1995,4.06579
"bdi",2000,4.05963
"bdi",2005,3.87457
"bdi",2010,3.81784
"bdi",2015,4.0809
"bdi",2020,4.44958
"bdi",2025,4.61726
"bdi",2030,4.64984
"bdi",2035,4.55995
"bdi",2040,4.80443
"bdi",2045,5.28186
"bdi",2050,5.92914
"bdi",2055,6.58317
"bdi",2060,7.05624
"bdi",2065,7.54207
"bdi",2070,8.3212
"bdi",2075,9.28797
"bdi",2080,10.32493
"bdi",2085,11.31345
"bdi",2090,12.21052
"bdi",2095,13.13068
"bdi",2100,14.17063
"cod",1950,4.191
"cod",1955,3.8459
"cod",1960,3.73219
"cod",1965,3.69493
"cod",1970,3.71493
"cod",1975,3.75636
"cod",1980,3.80892
"cod",1985,3.85774
"cod",1990,4.12273
"cod",1995,4.16624
"cod",2000,4.19132
"cod",2005,4.23538
"cod",2010,4.27726
"cod",2015,4.27707
"cod",2020,4.33409
"cod",2025,4.46084
"cod",2030,4.64953
"cod",2035,4.88943
"cod",2040,5.19318
"cod",2045,5.58261
"cod",2050,6.05864
"cod",2055,6.63462
"cod",2060,7.31848
"cod",2065,8.20991
"cod",2070,9.33681
"cod",2075,10.64197
"cod",2080,12.02345
"cod",2085,13.46355
"cod",2090,14.97813
"cod",2095,16.5595
"cod",2100,18.18247
"ken",1950,5.18785
"ken",1955,5.10086
"ken",1960,5.01659
"ken",1965,4.88882
"ken",1970,4.75416
"ken",1975,4.50342
"ken",1980,4.18994
"ken",1985,3.92793
"ken",1990,4.08734
"ken",1995,4.00645
"ken",2000,3.7644
"ken",2005,3.48039
"ken",2010,3.48745
"ken",2015,3.72584
"ken",2020,4.04076
"ken",2025,4.45671
"ken",2030,5.05632
"ken",2035,5.96835
"ken",2040,7.16903
"ken",2045,8.54534
"ken",2050,9.89084
"ken",2055,11.00479
"ken",2060,12.33608
"ken",2065,13.79654
"ken",2070,15.37809
"ken",2075,16.80385
"ken",2080,18.20988
"ken",2085,19.61427
"ken",2090,21.03467
"ken",2095,22.44653
"ken",2100,23.81369
"rwa",1950,4.63285
"rwa",1955,4.45549
"rwa",1960,4.21413
"rwa",1965,3.89943
"rwa",1970,3.54901
"rwa",1975,3.16032
"rwa",1980,2.85809
"rwa",1985,3.00944
"rwa",1990,3.54976
"rwa",1995,3.45651
"rwa",2000,3.99989
"rwa",2005,3.65277
"rwa",2010,3.63679
"rwa",2015,4.14179
"rwa",2020,4.83965
"rwa",2025,5.87757
"rwa",2030,6.22901
"rwa",2035,6.63262
"rwa",2040,7.43838
"rwa",2045,8.84378
"rwa",2050,10.60737
"rwa",2055,11.55912
"rwa",2060,12.89284
"rwa",2065,14.45779
"rwa",2070,16.32182
"rwa",2075,18.19635
"rwa",2080,19.95944
"rwa",2085,21.5926
"rwa",2090,23.18542
"rwa",2095,24.82537
"rwa",2100,26.4667
"ssd",1950,5.27438
"ssd",1955,4.67252
"ssd",1960,4.22758
"ssd",1965,3.99944
"ssd",1970,3.92026
"ssd",1975,3.93094
"ssd",1980,4.00604
"ssd",1985,4.09602
"ssd",1990,4.34341
"ssd",1995,4.46954
"ssd",2000,4.63273
"ssd",2005,4.81759
"ssd",2010,4.92722
"ssd",2015,4.79509
"ssd",2020,4.83729
"ssd",2025,5.00903
"ssd",2030,5.2876
"ssd",2035,5.62146
"ssd",2040,6.01222
"ssd",2045,6.45403
"ssd",2050,7.10177
"ssd",2055,7.89748
"ssd",2060,8.79484
"ssd",2065,9.68339
"ssd",2070,10.60796
"ssd",2075,11.56143
"ssd",2080,12.56264
"ssd",2085,13.6008
"ssd",2090,14.63441
"ssd",2095,15.65429
"ssd",2100,16.6838
"tza",1950,3.30004
"tza",1955,3.39221
"tza",1960,3.46844
"tza",1965,3.53112
"tza",1970,3.58548
"tza",1975,3.63352
"tza",1980,3.67619
"tza",1985,3.71193
"tza",1990,3.97084
"tza",1995,3.99621
"tza",2000,4.0327
"tza",2005,4.35906
"tza",2010,4.39739
"tza",2015,4.22764
"tza",2020,4.26756
"tza",2025,4.39556
"tza",2030,4.67198
"tza",2035,5.09505
"tza",2040,5.59468
"tza",2045,6.10629
"tza",2050,6.63437
"tza",2055,7.23703
"tza",2060,7.95509
"tza",2065,8.81802
"tza",2070,9.85888
"tza",2075,10.99865
"tza",2080,12.11648
"tza",2085,13.24197
"tza",2090,14.40011
"tza",2095,15.59274
"tza",2100,16.80297
"uga",1950,4.20957
"uga",1955,3.88063
"uga",1960,3.75441
"uga",1965,3.73637
"uga",1970,3.74342
"uga",1975,3.77536
"uga",1980,3.81127
"uga",1985,3.82506
"uga",1990,4.00222
"uga",1995,3.85792
"uga",2000,3.4542
"uga",2005,3.2114
"uga",2010,3.00473
"uga",2015,2.87579
"uga",2020,2.81157
"uga",2025,2.89634
"uga",2030,3.20259
"uga",2035,3.67215
"uga",2040,4.21844
"uga",2045,4.80377
"uga",2050,5.44725
"uga",2055,6.21289
"uga",2060,7.09923
"uga",2065,8.15843
"uga",2070,9.34812
"uga",2075,10.61661
"uga",2080,11.94631
"uga",2085,13.33554
"uga",2090,14.76925
"uga",2095,16.22101
"uga",2100,17.67379
