"geo","time","population_aged_60plus_years_total_number"
"bdi",1950,114114
"bdi",1955,117858
"bdi",1960,129635
"bdi",1965,144239
"bdi",1970,161145
"bdi",1975,180607
"bdi",1980,196912
"bdi",1985,216929
"bdi",1990,258691
"bdi",1995,273895
"bdi",2000,288505
"bdi",2005,312725
"bdi",2010,351372
"bdi",2015,430224
"bdi",2020,547723
"bdi",2025,664018
"bdi",2030,780665
"bdi",2035,879288
"bdi",2040,1043740
"bdi",2045,1306556
"bdi",2050,1670650
"bdi",2055,2072125
"bdi",2060,2448827
"bdi",2065,2862608
"bdi",2070,3422628
"bdi",2075,4117974
"bdi",2080,4918966
"bdi",2085,5761472
"bdi",2090,6613858
"bdi",2095,7517957
"bdi",2100,8516906
"cod",1950,594171
"cod",1955,612524
"cod",1960,672856
"cod",1965,761094
"cod",1970,877136
"cod",1975,1008711
"cod",1980,1166850
"cod",1985,1326803
"cod",1990,1643102
"cod",1995,1975264
"cod",2000,2226720
"cod",2005,2588412
"cod",2010,3045332
"cod",2015,3551395
"cod",2020,4187342
"cod",2025,4983232
"cod",2030,5972501
"cod",2035,7180966
"cod",2040,8655002
"cod",2045,10466917
"cod",2050,12669186
"cod",2055,15364619
"cod",2060,18635305
"cod",2065,22793879
"cod",2070,28019347
"cod",2075,34237699
"cod",2080,41155397
"cod",2085,48657666
"cod",2090,56731874
"cod",2095,65248831
"cod",2100,74000840
"ken",1950,363752
"ken",1955,398823
"ken",1960,447137
"ken",1965,500536
"ken",1970,557300
"ken",1975,616319
"ken",1980,683997
"ken",1985,771746
"ken",1990,976845
"ken",1995,1135743
"ken",2000,1253238
"ken",2005,1351101
"ken",2010,1573625
"ken",2015,1942790
"ken",2020,2405366
"ken",2025,2984762
"ken",2030,3749829
"ken",2035,4839389
"ken",2040,6313244
"ken",2045,8135923
"ken",2050,10134092
"ken",2055,12071568
"ken",2060,14378740
"ken",2065,16964540
"ken",2070,19801738
"ken",2075,22515047
"ken",2080,25230382
"ken",2085,27943774
"ken",2090,30646368
"ken",2095,33277159
"ken",2100,35760786
"rwa",1950,105582
"rwa",1955,120073
"rwa",1960,134752
"rwa",1965,140642
"rwa",1970,151726
"rwa",1975,161409
"rwa",1980,171738
"rwa",1985,207796
"rwa",1990,280437
"rwa",1995,222539
"rwa",2000,346493
"rwa",2005,368649
"rwa",2010,424963
"rwa",2015,539432
"rwa",2020,690070
"rwa",2025,902038
"rwa",2030,1047932
"rwa",2035,1245451
"rwa",2040,1538142
"rwa",2045,2003689
"rwa",2050,2534554
"rwa",2055,2935868
"rwa",2060,3427985
"rwa",2065,3994583
"rwa",2070,4649392
"rwa",2075,5304628
"rwa",2080,5917682
"rwa",2085,6473099
"rwa",2090,6993868
"rwa",2095,7497079
"rwa",2100,7965578
"ssd",1950,132637
"ssd",1955,125773
"ssd",1960,125971
"ssd",1965,133836
"ssd",1970,148360
"ssd",1975,169574
"ssd",1980,197407
"ssd",1985,233567
"ssd",1990,264985
"ssd",1995,260377
"ssd",2000,331549
"ssd",2005,416749
"ssd",2010,528901
"ssd",2015,610744
"ssd",2020,706805
"ssd",2025,827583
"ssd",2030,977592
"ssd",2035,1152295
"ssd",2040,1357968
"ssd",2045,1598018
"ssd",2050,1915801
"ssd",2055,2309139
"ssd",2060,2772402
"ssd",2065,3273846
"ssd",2070,3825017
"ssd",2075,4417985
"ssd",2080,5062165
"ssd",2085,5746920
"ssd",2090,6446687
"ssd",2095,7148469
"ssd",2100,7851248
"tza",1950,276342
"tza",1955,324535
"tza",1960,382069
"tza",1965,450423
"tza",1970,531768
"tza",1975,631804
"tza",1980,746405
"tza",1985,879944
"tza",1990,1106386
"tza",1995,1313475
"tza",2000,1518222
"tza",2005,1802588
"tza",2010,2168544
"tza",2015,2503656
"tza",2020,2948982
"tza",2025,3497511
"tza",2030,4231021
"tza",2035,5231687
"tza",2040,6532033
"tza",2045,8096573
"tza",2050,9932697
"tza",2055,12105336
"tza",2060,14653011
"tza",2065,17851332
"tza",2070,21678162
"tza",2075,26109373
"tza",2080,30908621
"tza",2085,36098634
"tza",2090,41716678
"tza",2095,47736048
"tza",2100,54057240
"uga",1950,229420
"uga",1955,242548
"uga",1960,269992
"uga",1965,317856
"uga",1970,376116
"uga",1975,434209
"uga",1980,507023
"uga",1985,595110
"uga",1990,750521
"uga",1995,862745
"uga",2000,917113
"uga",2005,1028010
"uga",2010,1163202
"uga",2015,1344083
"uga",2020,1559810
"uga",2025,1858629
"uga",2030,2317454
"uga",2035,2973224
"uga",2040,3828692
"uga",2045,4881758
"uga",2050,6171969
"uga",2055,7791244
"uga",2060,9774386
"uga",2065,12227808
"uga",2070,15130416
"uga",2075,18429917
"uga",2080,22108847
"uga",2085,26129609
"uga",2090,30436130
"uga",2095,34931947
"uga",2100,39505878
