"geo","time","population_density_per_square_km"
"bdi",1950,89.91121
"bdi",1951,91.86616
"bdi",1952,93.59467
"bdi",1953,95.22664
"bdi",1954,96.86098
"bdi",1955,98.56636
"bdi",1956,100.37909
"bdi",1957,102.30658
"bdi",1958,104.32792
"bdi",1959,106.40335
"bdi",1960,108.49322
"bdi",1961,110.57889
"bdi",1962,112.68181
"bdi",1963,114.87251
"bdi",1964,117.24529
"bdi",1965,119.85498
"bdi",1966,122.76959
"bdi",1967,125.93548
"bdi",1968,129.1368
"bdi",1969,132.07761
"bdi",1970,134.5641
"bdi",1971,136.50276
"bdi",1972,138.00806
"bdi",1973,139.3493
"bdi",1974,140.91063
"bdi",1975,142.97095
"bdi",1976,145.62535
"bdi",1977,148.80039
"bdi",1978,152.4053
"bdi",1979,156.28154
"bdi",1980,160.31219
"bdi",1981,164.45463
"bdi",1982,168.74556
"bdi",1983,173.23707
"bdi",1984,178.00981
"bdi",1985,183.10226
"bdi",1986,188.53446
"bdi",1987,194.22648
"bdi",1988,199.99829
"bdi",1989,205.60841
"bdi",1990,210.88065
"bdi",1991,215.81184
"bdi",1992,220.44934
"bdi",1993,224.74291
"bdi",1994,228.64513
"bdi",1995,232.16737
"bdi",1996,235.24579
"bdi",1997,238.01001
"bdi",1998,240.90156
"bdi",1999,244.50701
"bdi",2000,249.24868
"bdi",2001,255.28929
"bdi",2002,262.52216
"bdi",2003,270.75985
"bdi",2004,279.69046
"bdi",2005,289.06889
"bdi",2006,298.88388
"bdi",2007,309.1734
"bdi",2008,319.79221
"bdi",2009,330.56974
"bdi",2010,341.39136
"bdi",2011,352.16153
"bdi",2012,362.91706
"bdi",2013,373.83902
"bdi",2014,385.19431
"bdi",2015,397.16783
"bdi",2016,409.81764
"bdi",2017,423.0625
"bdi",2018,436.77765
"bdi",2019,450.77741
"bdi",2020,464.92317
"bdi",2021,479.18446
"bdi",2022,493.59307
"bdi",2023,508.15043
"bdi",2024,522.87161
"bdi",2025,537.77282
"bdi",2026,552.84809
"bdi",2027,568.09708
"bdi",2028,583.54887
"bdi",2029,599.24517
"bdi",2030,615.21998
"bdi",2031,631.48314
"bdi",2032,648.0419
"bdi",2033,664.92407
"bdi",2034,682.16075
"bdi",2035,699.77395
"bdi",2036,717.77262
"bdi",2037,736.15253
"bdi",2038,754.9088
"bdi",2039,774.02913
"bdi",2040,793.49984
"bdi",2041,813.31573
"bdi",2042,833.46343
"bdi",2043,853.91406
"bdi",2044,874.63104
"bdi",2045,895.58174
"bdi",2046,916.75004
"bdi",2047,938.12111
"bdi",2048,959.66974
"bdi",2049,981.36857
"bdi",2050,1003.19486
"bdi",2051,1025.13396
"bdi",2052,1047.17629
"bdi",2053,1069.31254
"bdi",2054,1091.53583
"bdi",2055,1113.84147
"bdi",2056,1136.2215
"bdi",2057,1158.67313
"bdi",2058,1181.20561
"bdi",2059,1203.8324
"bdi",2060,1226.5641
"bdi",2061,1249.39805
"bdi",2062,1272.33033
"bdi",2063,1295.36819
"bdi",2064,1318.52013
"bdi",2065,1341.78999
"bdi",2066,1365.17457
"bdi",2067,1388.6632
"bdi",2068,1412.24151
"bdi",2069,1435.89011
"bdi",2070,1459.59007
"bdi",2071,1483.32882
"bdi",2072,1507.09357
"bdi",2073,1530.86421
"bdi",2074,1554.61978
"bdi",2075,1578.33851
"bdi",2076,1602.00806
"bdi",2077,1625.61238
"bdi",2078,1649.12586
"bdi",2079,1672.52017
"bdi",2080,1695.77138
"bdi",2081,1718.86324
"bdi",2082,1741.78898
"bdi",2083,1764.54871
"bdi",2084,1787.15047
"bdi",2085,1809.59638
"bdi",2086,1831.8817
"bdi",2087,1853.99591
"bdi",2088,1875.9294
"bdi",2089,1897.6713
"bdi",2090,1919.21258
"bdi",2091,1940.54704
"bdi",2092,1961.6713
"bdi",2093,1982.58294
"bdi",2094,2003.28072
"bdi",2095,2023.76289
"bdi",2096,2044.02644
"bdi",2097,2064.06745
"bdi",2098,2083.88123
"bdi",2099,2103.46207
"bdi",2100,2122.80312
"cod",1950,5.37423
"cod",1951,5.48238
"cod",1952,5.59358
"cod",1953,5.70979
"cod",1954,5.83248
"cod",1955,5.9626
"cod",1956,6.10063
"cod",1957,6.24655
"cod",1958,6.39991
"cod",1959,6.55997
"cod",1960,6.72603
"cod",1961,6.89783
"cod",1962,7.07583
"cod",1963,7.26139
"cod",1964,7.45635
"cod",1965,7.66189
"cod",1966,7.87891
"cod",1967,8.10666
"cod",1968,8.34265
"cod",1969,8.58336
"cod",1970,8.82642
"cod",1971,9.07032
"cod",1972,9.31613
"cod",1973,9.56716
"cod",1974,9.82816
"cod",1975,10.10226
"cod",1976,10.39195
"cod",1977,10.69564
"cod",1978,11.00755
"cod",1979,11.31951
"cod",1980,11.62633
"cod",1981,11.92716
"cod",1982,12.22617
"cod",1983,12.52944
"cod",1984,12.84554
"cod",1985,13.18164
"cod",1986,13.53557
"cod",1987,13.90786
"cod",1988,14.31118
"cod",1989,14.76167
"cod",1990,15.26856
"cod",1991,15.8421
"cod",1992,16.47346
"cod",1993,17.12957
"cod",1994,17.7648
"cod",1995,18.34796
"cod",1996,18.86617
"cod",1997,19.33356
"cod",1998,19.77924
"cod",1999,20.24599
"cod",2000,20.76548
"cod",2001,21.34683
"cod",2002,21.98265
"cod",2003,22.66824
"cod",2004,23.39349
"cod",2005,24.15098
"cod",2006,24.94123
"cod",2007,25.7681
"cod",2008,26.63091
"cod",2009,27.52892
"cod",2010,28.46133
"cod",2011,29.42749
"cod",2012,30.42663
"cod",2013,31.45764
"cod",2014,32.51929
"cod",2015,33.61047
"cod",2016,34.73066
"cod",2017,35.87922
"cod",2018,37.05476
"cod",2019,38.25569
"cod",2020,39.48091
"cod",2021,40.7296
"cod",2022,42.00189
"cod",2023,43.29874
"cod",2024,44.6217
"cod",2025,45.97188
"cod",2026,47.34924
"cod",2027,48.75331
"cod",2028,50.1843
"cod",2029,51.64242
"cod",2030,53.12761
"cod",2031,54.63959
"cod",2032,56.17774
"cod",2033,57.7412
"cod",2034,59.32888
"cod",2035,60.93968
"cod",2036,62.57286
"cod",2037,64.22746
"cod",2038,65.9019
"cod",2039,67.59438
"cod",2040,69.30328
"cod",2041,71.02746
"cod",2042,72.76603
"cod",2043,74.51793
"cod",2044,76.28216
"cod",2045,78.05777
"cod",2046,79.84369
"cod",2047,81.63902
"cod",2048,83.44309
"cod",2049,85.25542
"cod",2050,87.07536
"cod",2051,88.90221
"cod",2052,90.73499
"cod",2053,92.5726
"cod",2054,94.41378
"cod",2055,96.25745
"cod",2056,98.10247
"cod",2057,99.94818
"cod",2058,101.79445
"cod",2059,103.64146
"cod",2060,105.489
"cod",2061,107.33643
"cod",2062,109.1824
"cod",2063,111.02505
"cod",2064,112.86215
"cod",2065,114.69178
"cod",2066,116.51272
"cod",2067,118.32414
"cod",2068,120.125
"cod",2069,121.91434
"cod",2070,123.69123
"cod",2071,125.45453
