"geo","time","population_growth_annual_percent"
"bdi",1960,1.94507
"bdi",1961,1.90415
"bdi",1962,1.88388
"bdi",1963,1.92548
"bdi",1964,2.04453
"bdi",1965,2.20143
"bdi",1966,2.40268
"bdi",1967,2.54603
"bdi",1968,2.51026
"bdi",1969,2.25174
"bdi",1970,1.86509
"bdi",1971,1.43042
"bdi",1972,1.09672
"bdi",1973,0.96716
"bdi",1974,1.11421
"bdi",1975,1.45156
"bdi",1976,1.83958
"bdi",1977,2.15685
"bdi",1978,2.39377
"bdi",1979,2.51157
"bdi",1980,2.5464
"bdi",1981,2.55117
"bdi",1982,2.57573
"bdi",1983,2.6269
"bdi",1984,2.71777
"bdi",1985,2.82061
"bdi",1986,2.9236
"bdi",1987,2.97441
"bdi",1988,2.92839
"bdi",1989,2.76646
"bdi",1990,2.53189
"bdi",1991,2.31146
"bdi",1992,2.1261
"bdi",1993,1.92892
"bdi",1994,1.7214
"bdi",1995,1.52874
"bdi",1996,1.31724
"bdi",1997,1.16818
"bdi",1998,1.20757
"bdi",1999,1.48556
"bdi",2000,1.92071
"bdi",2001,2.39463
"bdi",2002,2.79381
"bdi",2003,3.08968
"bdi",2004,3.24512
"bdi",2005,3.29815
"bdi",2006,3.33901
"bdi",2007,3.38472
"bdi",2008,3.37692
"bdi",2009,3.31462
"bdi",2010,3.22118
"bdi",2011,3.10605
"bdi",2012,3.00844
"bdi",2013,2.9651
"bdi",2014,2.99226
"bdi",2015,3.0611
"bdi",2016,3.13533
"bdi",2017,3.18076
"cod",1960,2.49999
"cod",1961,2.5222
"cod",1962,2.54776
"cod",1963,2.58861
"cod",1964,2.64953
"cod",1965,2.71921
"cod",1966,2.7931
"cod",1967,2.84971
"cod",1968,2.86943
"cod",1969,2.84445
"cod",1970,2.79241
"cod",1971,2.72579
"cod",1972,2.67403
"cod",1973,2.65892
"cod",1974,2.69146
"cod",1975,2.75073
"cod",1976,2.82728
"cod",1977,2.88047
"cod",1978,2.87448
"cod",1979,2.79464
"cod",1980,2.67446
"cod",1981,2.55462
"cod",1982,2.47605
"cod",1983,2.45027
"cod",1984,2.4915
"cod",1985,2.58288
"cod",1986,2.64961
"cod",1987,2.71331
"cod",1988,2.85865
"cod",1989,3.0993
"cod",1990,3.37617
"cod",1991,3.68752
"cod",1992,3.90796
"cod",1993,3.9056
"cod",1994,3.6413
"cod",1995,3.22992
"cod",1996,2.78518
"cod",1997,2.44722
"cod",1998,2.27906
"cod",1999,2.33237
"cod",2000,2.53355
"cod",2001,2.76113
"cod",2002,2.93499
"cod",2003,3.07115
"cod",2004,3.14931
"cod",2005,3.1867
"cod",2006,3.21973
"cod",2007,3.2615
"cod",2008,3.29355
"cod",2009,3.31644
"cod",2010,3.33094
"cod",2011,3.3383
"cod",2012,3.33887
"cod",2013,3.33237
"cod",2014,3.31918
"cod",2015,3.30042
"cod",2016,3.27853
"cod",2017,3.25353
"ken",1960,3.06884
"ken",1961,3.10953
"ken",1962,3.14946
"ken",1963,3.18717
"ken",1964,3.22234
"ken",1965,3.25662
"ken",1966,3.28888
"ken",1967,3.32398
"ken",1968,3.36737
"ken",1969,3.42075
"ken",1970,3.47931
"ken",1971,3.53613
"ken",1972,3.58641
"ken",1973,3.62989
"ken",1974,3.66504
"ken",1975,3.69344
"ken",1976,3.71231
"ken",1977,3.72761
"ken",1978,3.74699
"ken",1979,3.77239
"ken",1980,3.7969
"ken",1981,3.8152
"ken",1982,3.81783
"ken",1983,3.79932
"ken",1984,3.75723
"ken",1985,3.6983
"ken",1986,3.63469
"ken",1987,3.57016
