"geo","time","population_growth_annual_percent_with_projections"
"bdi",1950,2.151
"bdi",1951,2.008
"bdi",1952,1.796
"bdi",1953,1.715
"bdi",1954,1.724
"bdi",1955,1.784
"bdi",1956,1.862
"bdi",1957,1.929
"bdi",1958,1.963
"bdi",1959,1.957
"bdi",1960,1.925
"bdi",1961,1.894
"bdi",1962,1.905
"bdi",1963,1.985
"bdi",1964,2.123
"bdi",1965,2.302
"bdi",1966,2.474
"bdi",1967,2.528
"bdi",1968,2.381
"bdi",1969,2.058
"bdi",1970,1.648
"bdi",1971,1.264
"bdi",1972,1.032
"bdi",1973,1.041
"bdi",1974,1.283
"bdi",1975,1.646
"bdi",1976,1.998
"bdi",1977,2.275
"bdi",1978,2.453
"bdi",1979,2.529
"bdi",1980,2.549
"bdi",1981,2.563
"bdi",1982,2.601
"bdi",1983,2.672
"bdi",1984,2.769
"bdi",1985,2.872
"bdi",1986,2.949
"bdi",1987,2.951
"bdi",1988,2.847
"bdi",1989,2.649
"bdi",1990,2.422
"bdi",1991,2.219
"bdi",1992,2.028
"bdi",1993,1.825
"bdi",1994,1.625
"bdi",1995,1.423
"bdi",1996,1.243
"bdi",1997,1.188
"bdi",1998,1.347
"bdi",1999,1.703
"bdi",2000,2.158
"bdi",2001,2.594
"bdi",2002,2.942
"bdi",2003,3.167
"bdi",2004,3.272
"bdi",2005,3.319
"bdi",2006,3.362
"bdi",2007,3.381
"bdi",2008,3.346
"bdi",2009,3.268
"bdi",2010,3.164
"bdi",2011,3.057
"bdi",2012,2.987
"bdi",2013,2.979
"bdi",2014,3.027
"bdi",2015,3.098
"bdi",2016,3.158
"bdi",2017,3.186
"bdi",2018,3.173
"bdi",2019,3.122
"bdi",2020,3.056
"bdi",2021,2.992
"bdi",2022,2.935
"bdi",2023,2.881
"bdi",2024,2.833
"bdi",2025,2.787
"bdi",2026,2.743
"bdi",2027,2.702
"bdi",2028,2.669
"bdi",2029,2.643
"bdi",2030,2.62
"bdi",2031,2.599
"bdi",2032,2.58
"bdi",2033,2.565
"bdi",2034,2.554
"bdi",2035,2.544
"bdi",2036,2.534
"bdi",2037,2.522
"bdi",2038,2.509
"bdi",2039,2.493
"bdi",2040,2.475
"bdi",2041,2.457
"bdi",2042,2.436
"bdi",2043,2.411
"bdi",2044,2.382
"bdi",2045,2.352
"bdi",2046,2.32
"bdi",2047,2.288
"bdi",2048,2.253
"bdi",2049,2.218
"bdi",2050,2.182
"bdi",2051,2.145
"bdi",2052,2.11
"bdi",2053,2.074
"bdi",2054,2.04
"bdi",2055,2.006
"bdi",2056,1.973
"bdi",2057,1.941
"bdi",2058,1.912
"bdi",2059,1.884
"bdi",2060,1.858
"bdi",2061,1.832
"bdi",2062,1.807
"bdi",2063,1.783
"bdi",2064,1.76
"bdi",2065,1.739
"bdi",2066,1.717
"bdi",2067,1.695
"bdi",2068,1.672
"bdi",2069,1.649
"bdi",2070,1.625
"bdi",2071,1.601
"bdi",2072,1.577
"bdi",2073,1.552
"bdi",2074,1.527
"bdi",2075,1.501
"bdi",2076,1.476
"bdi",2077,1.449
"bdi",2078,1.422
"bdi",2079,1.395
"bdi",2080,1.367
"bdi",2081,1.339
"bdi",2082,1.312
"bdi",2083,1.285
"bdi",2084,1.26
"bdi",2085,1.236
"bdi",2086,1.212
"bdi",2087,1.188
"bdi",2088,1.164
"bdi",2089,1.141
"bdi",2090,1.117
"bdi",2091,1.094
"bdi",2092,1.072
"bdi",2093,1.049
"bdi",2094,1.028
"bdi",2095,1.007
"bdi",2096,0.986
"bdi",2097,0.966
"bdi",2098,0.945
"bdi",2099,0.925
"cod",1950,1.992
"cod",1951,2
"cod",1952,2.032
"cod",1953,2.091
"cod",1954,2.166
"cod",1955,2.248
"cod",1956,2.326
"cod",1957,2.395
"cod",1958,2.448
"cod",1959,2.485
"cod",1960,2.511
"cod",1961,2.535
"cod",1962,2.568
"cod",1963,2.619
"cod",1964,2.684
"cod",1965,2.756
"cod",1966,2.821
"cod",1967,2.86
"cod",1968,2.857
"cod",1969,2.818
"cod",1970,2.759
"cod",1971,2.7
"cod",1972,2.666
"cod",1973,2.675
"cod",1974,2.721
"cod",1975,2.789
"cod",1976,2.854
"cod",1977,2.877
"cod",1978,2.835
"cod",1979,2.735
"cod",1980,2.615
"cod",1981,2.515
"cod",1982,2.463
"cod",1983,2.471
"cod",1984,2.537
"cod",1985,2.616
"cod",1986,2.681
"cod",1987,2.786
"cod",1988,2.979
"cod",1989,3.238
"cod",1990,3.532
"cod",1991,3.798
