"geo","time","population_in_urban_agglomerations_m_1_million_percent_of_total"
"cod",1960,6.4281
"cod",1961,6.76069
"cod",1962,7.11215
"cod",1963,7.4817
"cod",1964,7.86953
"cod",1965,8.27312
"cod",1966,8.69522
"cod",1967,9.13719
"cod",1968,9.50639
"cod",1969,9.83164
"cod",1970,10.17455
"cod",1971,10.43394
"cod",1972,10.70886
"cod",1973,10.9937
"cod",1974,11.28591
"cod",1975,11.58172
"cod",1976,11.87979
"cod",1977,12.18002
"cod",1978,12.49228
"cod",1979,12.82562
"cod",1980,13.18753
"cod",1981,13.57677
"cod",1982,13.9925
"cod",1983,14.42767
"cod",1984,14.87441
"cod",1985,15.23043
"cod",1986,15.58616
"cod",1987,15.9406
"cod",1988,16.28109
"cod",1989,16.58718
"cod",1990,16.85402
"cod",1991,17.07249
"cod",1992,17.25749
"cod",1993,17.44309
"cod",1994,17.67914
"cod",1995,17.99285
"cod",1996,18.39561
"cod",1997,18.86909
"cod",1998,19.3189
"cod",1999,19.69119
"cod",2000,20.03154
"cod",2001,20.32913
"cod",2002,20.59656
"cod",2003,20.83916
"cod",2004,21.06944
"cod",2005,21.29436
"cod",2006,21.51462
"cod",2007,21.72815
"cod",2008,21.93682
"cod",2009,22.14249
"cod",2010,22.3469
"cod",2011,22.5516
"cod",2012,22.7581
"cod",2013,22.96804
"cod",2014,23.18305
"cod",2015,23.40452
"cod",2016,23.63334
"cod",2017,23.87042
"ken",1960,5.5879
"ken",1961,5.79629
"ken",1962,6.01125
"ken",1963,6.14773
"ken",1964,6.27365
"ken",1965,6.39918
"ken",1966,6.52575
"ken",1967,6.65267
"ken",1968,6.77977
"ken",1969,6.90477
"ken",1970,6.97339
"ken",1971,7.02923
"ken",1972,7.08277
"ken",1973,7.13319
"ken",1974,7.18227
"ken",1975,7.23006
"ken",1976,7.27764
"ken",1977,7.32394
"ken",1978,7.36996
"ken",1979,7.4148
"ken",1980,7.44814
"ken",1981,7.47794
"ken",1982,7.50852
"ken",1983,7.54105
"ken",1984,7.57779
"ken",1985,7.61873
"ken",1986,7.66563
"ken",1987,7.71823
"ken",1988,7.77757
"ken",1989,7.84288
"ken",1990,7.93224
"ken",1991,8.03187
"ken",1992,8.13951
"ken",1993,8.25407
"ken",1994,8.37753
"ken",1995,8.50955
"ken",1996,8.65076
"ken",1997,8.79902
"ken",1998,8.95474
"ken",1999,9.11586
"ken",2000,9.21211
"ken",2001,9.29714
"ken",2002,9.38423
"ken",2003,9.47229
"ken",2004,9.5612
"ken",2005,9.64918
"ken",2006,9.73763
"ken",2007,9.82641
"ken",2008,9.91661
"ken",2009,10.00752
"ken",2010,10.10135
"ken",2011,10.1978
"ken",2012,10.29717
"ken",2013,10.40017
"ken",2014,10.50763
"ken",2015,10.62018
"ken",2016,10.73813
"ken",2017,10.86155
"rwa",1960,1.16993
"rwa",1961,1.20994
"rwa",1962,1.25533
"rwa",1963,1.30369
"rwa",1964,1.3517
"rwa",1965,1.39635
"rwa",1966,1.43678
"rwa",1967,1.47374
"rwa",1968,1.50882
"rwa",1969,1.54417
"rwa",1970,1.58171
"rwa",1971,1.66358
"rwa",1972,1.7549
"rwa",1973,1.85088
"rwa",1974,1.95124
"rwa",1975,2.05515
"rwa",1976,2.16292
"rwa",1977,2.27428
"rwa",1978,2.39008
"rwa",1979,2.44696
"rwa",1980,2.4951
"rwa",1981,2.54589
"rwa",1982,2.6007
"rwa",1983,2.65469
"rwa",1984,2.70179
"rwa",1985,2.73933
"rwa",1986,2.76036
"rwa",1987,2.77192
"rwa",1988,2.80067
"rwa",1989,2.87848
"rwa",1990,3.02858
"rwa",1991,3.27863
"rwa",1992,3.73225
"rwa",1993,4.30959
"rwa",1994,4.90798
"rwa",1995,5.39713
"rwa",1996,5.6803
"rwa",1997,5.81156
"rwa",1998,5.87848
"rwa",1999,5.98401
"rwa",2000,6.19941
"rwa",2001,6.53922
"rwa",2002,6.9861
"rwa",2003,7.16636
"rwa",2004,7.30878
"rwa",2005,7.42593
"rwa",2006,7.51407
"rwa",2007,7.58648
"rwa",2008,7.6492
"rwa",2009,7.71066
"rwa",2010,7.77858
"rwa",2011,7.85265
"rwa",2012,7.9304
"rwa",2013,8.01071
"rwa",2014,8.0941
"rwa",2015,8.18053
"rwa",2016,8.27022
"rwa",2017,8.36375
"tza",1960,1.8439
"tza",1961,1.92127
"tza",1962,2.00166
"tza",1963,2.08505
"tza",1964,2.17193
"tza",1965,2.26184
"tza",1966,2.3557
"tza",1967,2.45335
"tza",1968,2.60901
"tza",1969,2.78318
"tza",1970,2.96776
"tza",1971,3.16282
"tza",1972,3.36973
"tza",1973,3.58866
"tza",1974,3.82288
"tza",1975,4.0738
"tza",1976,4.34348
"tza",1977,4.63124
"tza",1978,4.93968
"tza",1979,5.09261
"tza",1980,5.2181
"tza",1981,5.34526
"tza",1982,5.47559
"tza",1983,5.60943
"tza",1984,5.74827
"tza",1985,5.89136
"tza",1986,6.04126
"tza",1987,6.19713
"tza",1988,6.35678
"tza",1989,6.45686
"tza",1990,6.54183
"tza",1991,6.62039
"tza",1992,6.69542
"tza",1993,6.77205
"tza",1994,6.8596
"tza",1995,6.96265
"tza",1996,7.08307
"tza",1997,7.21666
"tza",1998,7.35995
"tza",1999,7.50574
"tza",2000,7.64951
"tza",2001,7.78883
"tza",2002,7.9261
"tza",2003,8.14271
"tza",2004,8.36809
"tza",2005,8.59248
"tza",2006,8.81739
"tza",2007,9.04251
"tza",2008,9.27052
"tza",2009,9.50189
"tza",2010,9.74079
"tza",2011,9.98742
"tza",2012,10.24262
"tza",2013,10.5041
"tza",2014,10.7732
"tza",2015,11.04997
"tza",2016,11.33481
"tza",2017,11.62857
"uga",1960,2.02536
"uga",1961,2.15994
"uga",1962,2.30117
"uga",1963,2.44972
"uga",1964,2.60715
"uga",1965,2.77381
"uga",1966,2.95118
"uga",1967,3.13996
"uga",1968,3.34338
"uga",1969,3.56381
"uga",1970,3.59765
"uga",1971,3.60755
"uga",1972,3.62283
"uga",1973,3.64045
"uga",1974,3.6576
"uga",1975,3.6719
"uga",1976,3.68276
"uga",1977,3.69031
"uga",1978,3.69599
"uga",1979,3.701
"uga",1980,3.73391
"uga",1981,3.80074
"uga",1982,3.86876
"uga",1983,3.93603
"uga",1984,4.00062
"uga",1985,4.06049
"uga",1986,4.11609
"uga",1987,4.16835
"uga",1988,4.21976
"uga",1989,4.27227
"uga",1990,4.32861
"uga",1991,4.39166
"uga",1992,4.46172
"uga",1993,4.5348
"uga",1994,4.61195
"uga",1995,4.69278
"uga",1996,4.77795
"uga",1997,4.86594
"uga",1998,4.9556
"uga",1999,5.04392
"uga",2000,5.12946
"uga",2001,5.21069
"uga",2002,5.28947
"uga",2003,5.36669
"uga",2004,5.44445
"uga",2005,5.52288
"uga",2006,5.60345
"uga",2007,5.68564
"uga",2008,5.76998
"uga",2009,5.85532
"uga",2010,5.94295
"uga",2011,6.03268
"uga",2012,6.12524
"uga",2013,6.21974
"uga",2014,6.31776
"uga",2015,6.41921
"uga",2016,6.52428
"uga",2017,6.63309
