"geo","time","population_total"
"bdi",1800,899097
"bdi",1801,899097
"bdi",1802,899097
"bdi",1803,899097
"bdi",1804,899097
"bdi",1805,899097
"bdi",1806,899097
"bdi",1807,899097
"bdi",1808,899097
"bdi",1809,899097
"bdi",1810,899097
"bdi",1811,899429
"bdi",1812,900096
"bdi",1813,901101
"bdi",1814,902446
"bdi",1815,904133
"bdi",1816,906166
"bdi",1817,908547
"bdi",1818,911278
"bdi",1819,914363
"bdi",1820,917804
"bdi",1821,921605
"bdi",1822,925767
"bdi",1823,930293
"bdi",1824,935187
"bdi",1825,940451
"bdi",1826,946089
"bdi",1827,952102
"bdi",1828,958494
"bdi",1829,965269
"bdi",1830,972428
"bdi",1831,979975
"bdi",1832,987580
"bdi",1833,995245
"bdi",1834,1002969
"bdi",1835,1010752
"bdi",1836,1018597
"bdi",1837,1026502
"bdi",1838,1034469
"bdi",1839,1042497
"bdi",1840,1050588
"bdi",1841,1058741
"bdi",1842,1066958
"bdi",1843,1075238
"bdi",1844,1083583
"bdi",1845,1091993
"bdi",1846,1100468
"bdi",1847,1109008
"bdi",1848,1117615
"bdi",1849,1126289
"bdi",1850,1135030
"bdi",1851,1142744
"bdi",1852,1150510
"bdi",1853,1158328
"bdi",1854,1166197
"bdi",1855,1174119
"bdi",1856,1182094
"bdi",1857,1190122
"bdi",1858,1198203
"bdi",1859,1206338
"bdi",1860,1214527
"bdi",1861,1222770
"bdi",1862,1231069
"bdi",1863,1239422
"bdi",1864,1247831
"bdi",1865,1256296
"bdi",1866,1264817
"bdi",1867,1273394
"bdi",1868,1282029
"bdi",1869,1290721
"bdi",1870,1299470
"bdi",1871,1308278
"bdi",1872,1317144
"bdi",1873,1325805
"bdi",1874,1334787
"bdi",1875,1343829
"bdi",1876,1352931
"bdi",1877,1361849
"bdi",1878,1371071
"bdi",1879,1380353
"bdi",1880,1389697
"bdi",1881,1398880
"bdi",1882,1408346
"bdi",1883,1417875
"bdi",1884,1427269
"bdi",1885,1436923
"bdi",1886,1446642
"bdi",1887,1456250
"bdi",1888,1466096
"bdi",1889,1476008
"bdi",1890,1485984
"bdi",1891,1496027
"bdi",1892,1506136
"bdi",1893,1516312
"bdi",1894,1526555
"bdi",1895,1536866
"bdi",1896,1547245
"bdi",1897,1557693
"bdi",1898,1568209
"bdi",1899,1578795
"bdi",1900,1589451
"bdi",1901,1600177
"bdi",1902,1610813
"bdi",1903,1621680
"bdi",1904,1632619
"bdi",1905,1643629
"bdi",1906,1654713
"bdi",1907,1665637
"bdi",1908,1676865
"bdi",1909,1688167
"bdi",1910,1699544
"bdi",1911,1710927
"bdi",1912,1722453
"bdi",1913,1734056
"bdi",1914,1745734
"bdi",1915,1757490
"bdi",1916,1769322
"bdi",1917,1781233
"bdi",1918,1795669
"bdi",1919,1809605
"bdi",1920,1823649
"bdi",1921,1837802
"bdi",1922,1852065
"bdi",1923,1866438
"bdi",1924,1880924
"bdi",1925,1895521
"bdi",1926,1910232
"bdi",1927,1925057
"bdi",1928,1939998
"bdi",1929,1955054
"bdi",1930,1970227
"bdi",1931,1985517
"bdi",1932,2000927
"bdi",1933,2016456
"bdi",1934,2032105
"bdi",1935,2047876
"bdi",1936,2063769
"bdi",1937,2079786
"bdi",1938,2095927
"bdi",1939,2112193
"bdi",1940,2128586
"bdi",1941,2145106
"bdi",1942,2161753
"bdi",1943,2178531
"bdi",1944,2195438
"bdi",1945,2212476
"bdi",1946,2229647
"bdi",1947,2246951
"bdi",1948,2264390
"bdi",1949,2281963
"bdi",1950,2308920
"bdi",1951,2359123
"bdi",1952,2403511
"bdi",1953,2445420
"bdi",1954,2487390
"bdi",1955,2531184
"bdi",1956,2577735
"bdi",1957,2627233
"bdi",1958,2679141
"bdi",1959,2732438
"bdi",1960,2786106
"bdi",1961,2839666
"bdi",1962,2893669
"bdi",1963,2949926
"bdi",1964,3010859
"bdi",1965,3077876
"bdi",1966,3152723
"bdi",1967,3234023
"bdi",1968,3316233
"bdi",1969,3391753
"bdi",1970,3455606
"bdi",1971,3505391
"bdi",1972,3544047
"bdi",1973,3578490
"bdi",1974,3618585
"bdi",1975,3671494
"bdi",1976,3739659
"bdi",1977,3821194
"bdi",1978,3913768
"bdi",1979,4013310
"bdi",1980,4116817
"bdi",1981,4223195
"bdi",1982,4333386
"bdi",1983,4448728
"bdi",1984,4571292
"bdi",1985,4702066
"bdi",1986,4841565
"bdi",1987,4987736
"bdi",1988,5135956
"bdi",1989,5280024
"bdi",1990,5415415
"bdi",1991,5542048
"bdi",1992,5661139
"bdi",1993,5771398
"bdi",1994,5871607
"bdi",1995,5962058
"bdi",1996,6041112
"bdi",1997,6112097
"bdi",1998,6186352
"bdi",1999,6278940
"bdi",2000,6400706
"bdi",2001,6555829
"bdi",2002,6741569
"bdi",2003,6953113
"bdi",2004,7182451
"bdi",2005,7423289
"bdi",2006,7675338
