"geo","time","poverty_percent_people_below_550_a_day"
"bdi",1992,98.9
"bdi",1998,98
"bdi",2006,98.3
"bdi",2013,96.8
"cod",2004,99.7
"cod",2012,97.8
"ken",1992,76
"ken",1994,84.2
"ken",1997,83.1
"ken",2005,88.2
"ken",2015,86.5
"rwa",1984,97.5
"rwa",2000,95.6
"rwa",2005,93.3
"rwa",2010,93.1
"rwa",2013,92.2
"ssd",2009,84.8
"tza",1991,98.2
"tza",2000,99.4
"tza",2007,94.8
"tza",2011,93.1
"uga",1989,93
"uga",1992,95.6
"uga",1996,95.1
"uga",1999,95.1
"uga",2002,94.1
"uga",2005,92.1
"uga",2009,88.8
"uga",2012,87.1
"uga",2016,87.7
