"geo","time","primary_completion_rate_total_percent_of_relevant_age_group"
"bdi",1971,5.82457
"bdi",1973,10.82768
"bdi",1974,10.97067
"bdi",1975,11.67647
"bdi",1976,10.94462
"bdi",1977,11.21404
"bdi",1978,11.28722
"bdi",1979,11.47471
"bdi",1980,11.73275
"bdi",1981,12.08743
"bdi",1982,14.48926
"bdi",1983,19.80545
"bdi",1984,27.24201
"bdi",1985,28.54611
"bdi",1986,29.66597
"bdi",1987,29.18306
"bdi",1988,40.12095
"bdi",1989,33.97499
"bdi",1990,41.88653
"bdi",1991,46.41981
"bdi",1992,49.64769
"bdi",1993,53.11211
"bdi",2000,24.92617
"bdi",2001,25.35312
"bdi",2002,25.85553
"bdi",2003,30.42914
"bdi",2004,32.72387
"bdi",2005,34.94944
"bdi",2007,39.5006
"bdi",2008,42.34246
"bdi",2009,49.00309
"bdi",2010,52.08395
"bdi",2011,56.97446
"bdi",2012,63.94147
"bdi",2013,72.20919
"bdi",2014,71.32177
"bdi",2015,66.4269
"bdi",2016,69.79504
"cod",1971,41.38788
"cod",1972,43.55192
"cod",1976,53.83832
"cod",1977,56.76372
"cod",1978,60.32235
"cod",1980,59.9173
"cod",1981,62.08632
"cod",1982,64.59206
"cod",1983,66.99988
"cod",1984,69.32609
"cod",1988,50.40957
"cod",1991,52.33466
"cod",1992,48.65964
"cod",1993,56.12353
"cod",1994,47.35751
"cod",1999,34.89141
"cod",2002,42.73933
"cod",2007,55.4785
"cod",2008,60.55133
"cod",2009,63.15653
"cod",2010,63.68167
"cod",2011,65.61438
"cod",2012,70.9484
"cod",2013,69.81462
"cod",2015,69.9541
"ken",1970,48.43802
"ken",1971,50.68309
"ken",1972,53.92666
"ken",1973,55.62358
"ken",1975,60.63903
"ken",1976,62.82024
"ken",1977,67.24558
"ken",1978,68.52681
"ken",1979,89.45355
"ken",1980,86.04085
"ken",1981,84.51025
"ken",2004,87.79198
"ken",2005,88.50575
"ken",2014,99.49517
"ken",2015,101.48953
"ken",2016,101.99707
"rwa",1971,21.14286
"rwa",1972,22.96888
"rwa",1973,25.49926
"rwa",1974,26.71138
"rwa",1975,28.45436
"rwa",1977,30.42516
"rwa",1978,27.95298
"rwa",1980,37.67644
"rwa",1981,48.67354
"rwa",1982,47.82209
"rwa",1983,46.07371
"rwa",1984,47.03479
"rwa",1985,48.03043
"rwa",1986,44.31268
"rwa",1987,43.53422
"rwa",1988,43.97272
"rwa",1989,44.11912
"rwa",1990,43.18279
"rwa",1991,43.55448
"rwa",1992,46.54128
"rwa",1999,29.49534
"rwa",2000,23.21242
"rwa",2001,24.6675
"rwa",2002,30.69867
"rwa",2003,41.2709
"rwa",2004,41.45892
"rwa",2008,52.37143
"rwa",2009,69.49379
"rwa",2010,70.87532
"rwa",2012,69.90703
"rwa",2013,67.80348
"rwa",2014,61.61636
"rwa",2015,61.8355
"rwa",2016,67.26458
"ssd",2011,25.73391
"tza",1971,19.91961
"tza",1972,24.65369
"tza",1973,27.91518
"tza",1974,31.54376
"tza",1975,35.33284
"tza",1976,38.87931
"tza",1981,76.73475
"tza",1982,87.43371
"tza",1983,93.50896
"tza",1984,122.30775
"tza",1985,79.46557
"tza",1986,71.03969
"tza",1987,68.35606
"tza",1988,62.58982
"tza",1989,47.49167
"tza",1991,62.61452
"tza",1992,55.2596
"tza",1993,58.13459
"tza",1994,55.75488
"tza",1997,58.42347
"tza",1998,48.48839
"tza",1999,57.38078
"tza",2000,49.54374
"tza",2001,54.94683
"tza",2002,58.97959
"tza",2004,57.36355
"tza",2005,54.01245
"tza",2006,70.46604
"tza",2007,80.43243
"tza",2009,98.93668
"tza",2010,86.12348
"tza",2012,77.23721
"tza",2013,72.38466
"uga",1975,40.21593
"uga",1976,40.3234
"uga",1979,42.12083
"uga",1982,42.65104
"uga",1986,38.22622
"uga",2001,59.8159
"uga",2002,61.72572
"uga",2003,61.24335
"uga",2004,57.47301
"uga",2005,56.04879
"uga",2007,51.93144
"uga",2008,56.48351
"uga",2009,72.52605
"uga",2010,55.07815
"uga",2011,52.84995
"uga",2012,53.92312
"uga",2013,53.88423
"uga",2014,57.15273
"uga",2016,52.61005
