"geo","time","primary_forest_area_ha"
"bdi",1990,40000
"bdi",1991,40000
"bdi",1992,40000
"bdi",1993,40000
"bdi",1994,40000
"bdi",1995,40000
"bdi",1996,40000
"bdi",1997,40000
"bdi",1998,40000
"bdi",1999,40000
"bdi",2000,40000
"bdi",2001,40000
"bdi",2002,40000
"bdi",2003,40000
"bdi",2004,40000
"bdi",2005,40000
"bdi",2006,40000
"bdi",2007,40000
"bdi",2008,40000
"bdi",2009,40000
"bdi",2010,40000
"bdi",2011,40000
"bdi",2012,40000
"bdi",2013,40000
"bdi",2014,40000
"bdi",2015,40000
"cod",1990,105189000
"cod",1991,105115600
"cod",1992,105042200
"cod",1993,104968800
"cod",1994,104895400
"cod",1995,104822000
"cod",1996,104748600
"cod",1997,104675200
"cod",1998,104601800
"cod",1999,104528400
"cod",2000,104455000
"cod",2001,104381600
"cod",2002,104308200
"cod",2003,104234800
"cod",2004,104161400
"cod",2005,104088000
"cod",2006,103947800
"cod",2007,103807600
"cod",2008,103667400
"cod",2009,103527200
"cod",2010,103387000
"cod",2011,103246800
"cod",2012,103106600
"cod",2013,102966400
"cod",2014,102826200
"cod",2015,102686000
"ken",1990,0
"ken",1991,0
"ken",1992,0
"ken",1993,0
"ken",1994,0
"ken",1995,0
"ken",1996,0
"ken",1997,0
"ken",1998,0
"ken",1999,0
"ken",2000,0
"ken",2001,0
"ken",2002,0
"ken",2003,0
"ken",2004,0
"ken",2005,0
"ken",2006,0
"ken",2007,0
"ken",2008,0
"ken",2009,0
"ken",2010,0
"ken",2011,0
"ken",2012,0
"ken",2013,0
"ken",2014,0
"ken",2015,0
"rwa",1990,7000
"rwa",1991,7000
"rwa",1992,7000
"rwa",1993,7000
"rwa",1994,7000
"rwa",1995,7000
"rwa",1996,7000
"rwa",1997,7000
"rwa",1998,7000
"rwa",1999,7000
"rwa",2000,7000
"rwa",2001,7000
"rwa",2002,7000
"rwa",2003,7000
"rwa",2004,7000
"rwa",2005,7000
"rwa",2006,7000
"rwa",2007,7000
"rwa",2008,7000
"rwa",2009,7000
"rwa",2010,7000
"rwa",2011,7000
"rwa",2012,7000
"rwa",2013,7000
"rwa",2014,7000
"rwa",2015,7000
"ssd",2011,0
"ssd",2012,0
"ssd",2013,0
"ssd",2014,0
"ssd",2015,0
"tza",1990,0
"tza",1991,0
"tza",1992,0
"tza",1993,0
"tza",1994,0
"tza",1995,0
"tza",1996,0
"tza",1997,0
"tza",1998,0
"tza",1999,0
"tza",2000,0
"tza",2001,0
"tza",2002,0
"tza",2003,0
"tza",2004,0
"tza",2005,0
"tza",2006,0
"tza",2007,0
"tza",2008,0
"tza",2009,0
"tza",2010,0
"tza",2011,0
"tza",2012,0
"tza",2013,0
"tza",2014,0
"tza",2015,0
"uga",1990,0
"uga",1991,0
"uga",1992,0
"uga",1993,0
"uga",1994,0
"uga",1995,0
"uga",1996,0
"uga",1997,0
"uga",1998,0
"uga",1999,0
"uga",2000,0
"uga",2001,0
"uga",2002,0
"uga",2003,0
"uga",2004,0
"uga",2005,0
"uga",2006,0
"uga",2007,0
"uga",2008,0
"uga",2009,0
"uga",2010,0
"uga",2011,0
"uga",2012,0
"uga",2013,0
"uga",2014,0
"uga",2015,0
