"geo","time","primary_school_completion_percent_of_boys"
"bdi",1971,8.68549
"bdi",1973,15.11752
"bdi",1974,14.68415
"bdi",1975,15.44715
"bdi",1976,14.17021
"bdi",1977,14.64641
"bdi",1978,14.46277
"bdi",1979,14.44942
"bdi",1980,14.75291
"bdi",1981,15.29363
"bdi",1982,18.23672
"bdi",1983,25.00775
"bdi",1984,34.55043
"bdi",1985,36.76005
"bdi",1986,37.59161
"bdi",1987,37.21903
"bdi",1988,50.11347
"bdi",1989,40.83894
"bdi",1990,49.69082
"bdi",1991,50.05759
"bdi",1992,56.52692
"bdi",1993,60.16431
"bdi",2000,27.33781
"bdi",2001,28.25747
"bdi",2002,29.11141
"bdi",2003,35.33435
"bdi",2004,39.44367
"bdi",2005,39.95691
"bdi",2007,43.46962
"bdi",2008,46.09993
"bdi",2009,51.48
"bdi",2010,54.05463
"bdi",2011,57.73721
"bdi",2012,63.19696
"bdi",2013,69.62492
"bdi",2014,67.32331
"bdi",2015,62.09666
"bdi",2016,64.97652
"cod",1971,61.74269
"cod",1972,64.07781
"cod",1976,73.16705
"cod",1977,75.37369
"cod",1978,78.97973
"cod",1980,76.6731
"cod",1981,77.74605
"cod",1982,80.87499
"cod",1983,82.01314
"cod",1984,82.86415
"cod",1988,64.14401
"cod",1991,65.63749
"cod",1992,61.04488
"cod",1993,66.92528
"cod",1994,57.48575
"cod",1999,37.49731
"cod",2002,51.08793
"cod",2007,66.05257
"cod",2008,71.29241
"cod",2009,74.39655
"cod",2010,72.51518
"cod",2011,76.16053
"cod",2012,81.15486
"cod",2013,76.83404
"cod",2015,69.53687
"ken",1970,59.57773
"ken",1971,61.30303
"ken",1972,64.4587
"ken",1973,65.14809
"ken",1977,74.72622
"ken",1978,75.02513
"ken",1980,90.85964
"ken",1981,88.1679
"ken",2004,89.22809
"ken",2005,89.51743
"ken",2014,98.8151
"ken",2015,101.02304
"ken",2016,101.64812
"rwa",1971,26.49723
"rwa",1972,28.90993
"rwa",1973,31.14279
"rwa",1974,32.79917
"rwa",1975,33.72705
"rwa",1977,34.86205
"rwa",1980,40.46669
"rwa",1981,51.88438
"rwa",1982,51.25883
"rwa",1983,48.55107
"rwa",1984,49.67533
"rwa",1985,50.08345
"rwa",1986,46.12468
"rwa",1987,44.50789
"rwa",1988,45.11435
"rwa",1989,45.29815
"rwa",1990,44.30268
"rwa",1991,44.01111
"rwa",1992,47.87806
"rwa",1999,30.58204
"rwa",2000,24.91291
"rwa",2001,25.83652
"rwa",2002,31.24754
"rwa",2003,41.67034
"rwa",2004,42.18899
"rwa",2008,50.54306
"rwa",2009,65.9933
"rwa",2010,66.31336
"rwa",2012,65.29898
"rwa",2013,62.07351
"rwa",2014,56.31476
"rwa",2015,56.35285
"rwa",2016,60.98356
"ssd",2011,33.22295
"tza",1975,44.64359
"tza",1976,49.41801
"tza",1981,87.08282
"tza",1982,97.14044
"tza",1983,102.03938
"tza",1984,129.41551
"tza",1986,71.31301
"tza",1987,67.78604
"tza",1988,61.28763
"tza",1989,47.91986
"tza",1991,61.66883
"tza",1992,55.86912
"tza",1993,58.76638
"tza",1994,56.28957
"tza",1997,57.77214
"tza",1998,48.35189
"tza",1999,56.13761
"tza",2000,48.90006
"tza",2001,54.12917
"tza",2002,58.47291
"tza",2004,58.49093
"tza",2005,56.19701
"tza",2006,72.8768
"tza",2007,83.34066
"tza",2009,99.07503
"tza",2010,83.69499
"tza",2012,73.36997
"tza",2013,69.00882
"uga",1982,56.91522
"uga",1986,47.68555
"uga",2001,66.02569
"uga",2002,66.75073
"uga",2003,66.13822
"uga",2004,61.4371
"uga",2005,59.23916
"uga",2007,53.77965
"uga",2008,57.58
"uga",2009,72.58831
"uga",2010,55.55531
"uga",2011,53.42706
"uga",2012,54.34081
"uga",2013,54.1997
"uga",2014,57.02684
"uga",2016,51.73842
