"geo","time","primary_school_completion_percent_of_girls"
"bdi",1971,3.01891
"bdi",1973,6.63134
"bdi",1974,7.34232
"bdi",1975,7.99438
"bdi",1976,7.79481
"bdi",1977,7.85495
"bdi",1978,8.17125
"bdi",1979,8.54588
"bdi",1980,8.74726
"bdi",1981,8.91135
"bdi",1982,10.80879
"bdi",1983,14.74051
"bdi",1984,20.17155
"bdi",1985,20.63189
"bdi",1986,22.03566
"bdi",1987,21.40617
"bdi",1988,30.38611
"bdi",1989,27.24558
"bdi",1990,34.19567
"bdi",1991,42.82506
"bdi",1992,42.83692
"bdi",1993,46.12559
"bdi",2000,22.54683
"bdi",2001,22.49647
"bdi",2002,22.66845
"bdi",2003,25.64517
"bdi",2004,26.19015
"bdi",2005,30.09082
"bdi",2007,35.65896
"bdi",2008,38.70919
"bdi",2009,46.6069
"bdi",2010,50.17287
"bdi",2011,56.2331
"bdi",2012,64.6667
"bdi",2013,74.72942
"bdi",2014,75.22813
"bdi",2015,70.66457
"bdi",2016,74.52029
"cod",1971,21.06888
"cod",1972,23.05335
"cod",1976,34.50249
"cod",1977,38.14415
"cod",1978,41.64811
"cod",1980,43.12843
"cod",1981,46.38871
"cod",1982,48.26494
"cod",1983,51.93892
"cod",1984,55.73688
"cod",1988,36.61116
"cod",1991,38.957
"cod",1992,36.19987
"cod",1993,45.25206
"cod",1994,37.15902
"cod",1999,32.26506
"cod",2002,34.3161
"cod",2007,44.81166
"cod",2008,49.72137
"cod",2009,51.82725
"cod",2010,54.77845
"cod",2011,54.9794
"cod",2012,60.64633
"cod",2013,62.72308
"cod",2015,70.37636
"ken",1970,37.39989
"ken",1971,40.17273
"ken",1972,43.50742
"ken",1973,46.20049
"ken",1977,59.82017
"ken",1978,62.06719
"ken",1980,81.23936
"ken",1981,80.86287
"ken",2004,86.34183
"ken",2005,87.48397
"ken",2014,100.18397
"ken",2015,101.9623
"ken",2016,102.35097
"rwa",1971,15.91779
"rwa",1972,17.1705
"rwa",1973,19.9925
"rwa",1974,20.76963
"rwa",1975,23.30674
"rwa",1977,26.08703
"rwa",1980,34.93778
"rwa",1981,45.51983
"rwa",1982,44.4513
"rwa",1983,43.64883
"rwa",1984,44.45368
"rwa",1985,46.02575
"rwa",1986,42.54376
"rwa",1987,42.58223
"rwa",1988,42.85365
"rwa",1989,42.96111
"rwa",1990,42.0816
"rwa",1991,43.10548
"rwa",1992,45.22883
"rwa",1999,28.44144
"rwa",2000,21.51129
"rwa",2001,23.46486
"rwa",2002,30.13811
"rwa",2003,40.87189
"rwa",2004,40.74286
"rwa",2008,54.16134
"rwa",2009,72.95952
"rwa",2010,75.42942
"rwa",2012,74.49191
"rwa",2013,73.49437
"rwa",2014,66.87398
"rwa",2015,67.2659
"rwa",2016,73.48454
"ssd",2011,18.09667
"tza",1975,26.06282
"tza",1976,28.38528
"tza",1981,66.4085
"tza",1982,77.74289
"tza",1983,84.98807
"tza",1984,115.20349
"tza",1986,70.76618
"tza",1987,68.92683
"tza",1988,63.89448
"tza",1989,47.06242
"tza",1991,63.56341
"tza",1992,54.64776
"tza",1993,57.50013
"tza",1994,55.21764
"tza",1997,59.07846
"tza",1998,48.62563
"tza",1999,58.63067
"tza",2000,50.19088
"tza",2001,55.76269
"tza",2002,59.48156
"tza",2004,56.26245
"tza",2005,51.89693
"tza",2006,68.12262
"tza",2007,77.57969
"tza",2009,98.79782
"tza",2010,88.595
"tza",2012,81.16261
"tza",2013,75.76988
"uga",1982,28.28965
"uga",1986,28.69661
"uga",2001,53.56789
"uga",2002,56.67036
"uga",2003,56.31778
"uga",2004,53.48189
"uga",2005,52.83469
"uga",2007,50.06932
"uga",2008,55.37835
"uga",2009,72.46327
"uga",2010,54.59684
"uga",2011,52.26749
"uga",2012,53.5013
"uga",2013,53.56543
"uga",2014,57.28003
"uga",2016,53.49248
