"geo","time","private_share_of_total_health_spending_percent"
"bdi",1995,67.77
"bdi",1996,65.29
"bdi",1997,71.19
"bdi",1998,71.74
"bdi",1999,71.22
"bdi",2000,71.4
"bdi",2001,66.71
"bdi",2002,69.45
"bdi",2003,73.85
"bdi",2004,64.12
"bdi",2005,65.22
"bdi",2006,64.79
"bdi",2007,62.3
"bdi",2008,62.84
"bdi",2009,63.95
"bdi",2010,61.83
"cod",1995,95.96
"cod",1996,96.74
"cod",1997,95.05
"cod",1998,96.3
"cod",1999,94.27
"cod",2000,95.92
"cod",2001,94.81
"cod",2002,94.14
"cod",2003,78.82
"cod",2004,78.17
"cod",2005,70.03
"cod",2006,68.94
"cod",2007,63.82
"cod",2008,52.89
"cod",2009,55.29
"cod",2010,57.48
"ken",1995,53.62
"ken",1996,59.91
"ken",1997,61.15
"ken",1998,55.6
"ken",1999,60.15
"ken",2000,53.73
"ken",2001,55.27
"ken",2002,57.18
"ken",2003,56.63
"ken",2004,58.15
"ken",2005,57.77
"ken",2006,58.7
"ken",2007,57.62
"ken",2008,60.3
"ken",2009,56.66
"ken",2010,55.7
"rwa",1995,63.51
"rwa",1996,59.7
"rwa",1997,60.1
"rwa",1998,51.64
"rwa",1999,54.67
"rwa",2000,60.83
"rwa",2001,51.12
"rwa",2002,47.73
"rwa",2003,47.26
"rwa",2004,46.43
"rwa",2005,43.56
"rwa",2006,53.54
"rwa",2007,52.97
"rwa",2008,52.61
"rwa",2009,51.36
"rwa",2010,49.93
"tza",1995,57.19
"tza",1996,59.94
"tza",1997,56.48
"tza",1998,58.55
"tza",1999,60.17
"tza",2000,56.62
"tza",2001,54.55
"tza",2002,55.36
"tza",2003,50.52
"tza",2004,55.65
"tza",2005,53.05
"tza",2006,41.12
"tza",2007,35.86
"tza",2008,38.3
"tza",2009,33.86
"tza",2010,32.68
"uga",1995,73.57
"uga",1996,73.11
"uga",1997,69.78
"uga",1998,71.2
"uga",1999,69.43
"uga",2000,73.15
"uga",2001,72.67
"uga",2002,70.5
"uga",2003,70.82
"uga",2004,74.11
"uga",2005,74.71
"uga",2006,78.96
"uga",2007,80.46
"uga",2008,82.82
"uga",2009,78.24
"uga",2010,78.26
