"geo","time","prostate_cancer_deaths_per_100000_men"
"bdi",1990,38.28
"bdi",1991,38.21
"bdi",1992,38.19
"bdi",1993,38.26
"bdi",1994,38.32
"bdi",1995,38.51
"bdi",1996,38.34
"bdi",1997,38.07
"bdi",1998,37.82
"bdi",1999,37.45
"bdi",2000,37.64
"bdi",2001,37.47
"bdi",2002,37.87
"bdi",2003,38.29
"bdi",2004,39.04
"bdi",2005,39.76
"bdi",2006,40.36
"bdi",2007,40.9
"bdi",2008,41.38
"bdi",2009,41.65
"bdi",2010,42.29
"bdi",2011,43.02
"bdi",2012,43.53
"bdi",2013,43.82
"bdi",2014,44.15
"bdi",2015,44.32
"bdi",2016,44.4
"cod",1990,24.99
"cod",1991,25.16
"cod",1992,25.27
"cod",1993,25.25
"cod",1994,25.31
"cod",1995,25.5
"cod",1996,25.62
"cod",1997,25.52
"cod",1998,25.61
"cod",1999,25.82
"cod",2000,25.83
"cod",2001,26.11
"cod",2002,26.2
"cod",2003,26.55
"cod",2004,26.59
"cod",2005,26.7
"cod",2006,26.89
"cod",2007,27.06
"cod",2008,27.44
"cod",2009,27.69
"cod",2010,27.86
"cod",2011,28.19
"cod",2012,28.57
"cod",2013,28.77
"cod",2014,29.02
"cod",2015,29.32
"cod",2016,29.57
"ken",1990,10.77
"ken",1991,11
"ken",1992,11.3
"ken",1993,11.52
"ken",1994,11.64
"ken",1995,11.74
"ken",1996,11.86
"ken",1997,11.97
"ken",1998,12.13
"ken",1999,12.05
"ken",2000,12.15
"ken",2001,11.95
"ken",2002,12
"ken",2003,12.11
"ken",2004,12.12
"ken",2005,12.14
"ken",2006,12.22
"ken",2007,12.29
"ken",2008,12.36
"ken",2009,12.44
"ken",2010,12.54
"ken",2011,12.74
"ken",2012,12.87
"ken",2013,12.92
"ken",2014,13.01
"ken",2015,13.09
"ken",2016,13.36
"rwa",1990,33.87
"rwa",1991,34.48
"rwa",1992,34.75
"rwa",1993,34.84
"rwa",1994,35.04
"rwa",1995,35.26
"rwa",1996,35.54
"rwa",1997,36.04
"rwa",1998,36.52
"rwa",1999,36.93
"rwa",2000,37.46
"rwa",2001,38.14
"rwa",2002,39.13
"rwa",2003,40.17
"rwa",2004,41.26
"rwa",2005,42.14
"rwa",2006,43.2
"rwa",2007,43.92
"rwa",2008,44.45
"rwa",2009,45.03
"rwa",2010,45.33
"rwa",2011,45.52
"rwa",2012,45.69
"rwa",2013,45.88
"rwa",2014,46.02
"rwa",2015,46.18
"rwa",2016,46.37
"ssd",1990,27.92
"ssd",1991,27.93
"ssd",1992,28.71
"ssd",1993,29.71
"ssd",1994,30.53
"ssd",1995,31.21
"ssd",1996,31.79
"ssd",1997,31.88
"ssd",1998,32.09
"ssd",1999,32.29
"ssd",2000,32.28
"ssd",2001,31.83
"ssd",2002,31.6
"ssd",2003,31.96
"ssd",2004,32.67
"ssd",2005,33.57
"ssd",2006,34.52
"ssd",2007,35.11
"ssd",2008,35.28
"ssd",2009,35.17
"ssd",2010,34.75
"ssd",2011,34.58
"ssd",2012,35.04
"ssd",2013,35.53
"ssd",2014,36.06
"ssd",2015,36.43
"ssd",2016,36.81
"tza",1990,38.37
"tza",1991,38.36
"tza",1992,38.5
"tza",1993,38.6
"tza",1994,38.91
"tza",1995,38.87
"tza",1996,39.15
"tza",1997,39.38
"tza",1998,39.73
"tza",1999,40.42
"tza",2000,40.88
"tza",2001,41.01
"tza",2002,41.46
"tza",2003,41.98
"tza",2004,42.51
"tza",2005,43.12
"tza",2006,43.65
"tza",2007,43.98
"tza",2008,44.36
"tza",2009,44.71
"tza",2010,45.09
"tza",2011,45.55
"tza",2012,46.01
"tza",2013,46.65
"tza",2014,46.9
"tza",2015,47.19
"tza",2016,47.49
"uga",1990,57.18
"uga",1991,56.77
"uga",1992,59.29
"uga",1993,62.13
"uga",1994,63.46
"uga",1995,66.23
"uga",1996,67.13
"uga",1997,67.56
"uga",1998,67.43
"uga",1999,66
"uga",2000,66.13
"uga",2001,65.92
"uga",2002,66.31
"uga",2003,67.09
"uga",2004,68.38
"uga",2005,69.6
"uga",2006,71.3
"uga",2007,71.7
"uga",2008,72.14
"uga",2009,73
"uga",2010,73.28
"uga",2011,74.11
"uga",2012,74.87
"uga",2013,75.09
"uga",2014,75.46
"uga",2015,75.41
"uga",2016,75.5
