"geo","time","prostate_cancer_new_cases_per_100000_men"
"bdi",1990,33.99
"bdi",1991,34.1
"bdi",1992,34.24
"bdi",1993,34.38
"bdi",1994,34.51
"bdi",1995,34.67
"bdi",1996,34.7
"bdi",1997,34.75
"bdi",1998,34.81
"bdi",1999,34.86
"bdi",2000,34.94
"bdi",2001,35.05
"bdi",2002,35.18
"bdi",2003,35.32
"bdi",2004,35.45
"bdi",2005,35.6
"bdi",2006,35.73
"bdi",2007,35.85
"bdi",2008,35.97
"bdi",2009,36.1
"bdi",2010,36.24
"bdi",2011,36.48
"bdi",2012,36.73
"bdi",2013,36.98
"bdi",2014,37.23
"bdi",2015,37.48
"bdi",2016,37.74
"cod",1990,23.12
"cod",1991,23.22
"cod",1992,23.34
"cod",1993,23.45
"cod",1994,23.56
"cod",1995,23.68
"cod",1996,23.83
"cod",1997,23.99
"cod",1998,24.14
"cod",1999,24.3
"cod",2000,24.46
"cod",2001,24.56
"cod",2002,24.66
"cod",2003,24.77
"cod",2004,24.87
"cod",2005,24.98
"cod",2006,25.07
"cod",2007,25.16
"cod",2008,25.25
"cod",2009,25.34
"cod",2010,25.44
"cod",2011,25.55
"cod",2012,25.67
"cod",2013,25.79
"cod",2014,25.91
"cod",2015,26.04
"cod",2016,26.17
"ken",1990,12.35
"ken",1991,12.5
"ken",1992,12.65
"ken",1993,12.81
"ken",1994,12.98
"ken",1995,13.15
"ken",1996,13.3
"ken",1997,13.47
"ken",1998,13.64
"ken",1999,13.81
"ken",2000,13.99
"ken",2001,14.09
"ken",2002,14.19
"ken",2003,14.3
"ken",2004,14.4
"ken",2005,14.51
"ken",2006,14.71
"ken",2007,14.9
"ken",2008,15.09
"ken",2009,15.29
"ken",2010,15.51
"ken",2011,15.73
"ken",2012,15.96
"ken",2013,16.2
"ken",2014,16.44
"ken",2015,16.69
"ken",2016,16.95
"rwa",1990,32.37
"rwa",1991,32.85
"rwa",1992,33.35
"rwa",1993,33.87
"rwa",1994,34.39
"rwa",1995,34.96
"rwa",1996,34.87
"rwa",1997,34.81
"rwa",1998,34.76
"rwa",1999,34.72
"rwa",2000,34.69
"rwa",2001,34.74
"rwa",2002,34.79
"rwa",2003,34.85
"rwa",2004,34.91
"rwa",2005,34.97
"rwa",2006,35.3
"rwa",2007,35.63
"rwa",2008,35.96
"rwa",2009,36.3
"rwa",2010,36.65
"rwa",2011,37.06
"rwa",2012,37.48
"rwa",2013,37.9
"rwa",2014,38.34
"rwa",2015,38.78
"rwa",2016,39.23
"ssd",1990,28.5
"ssd",1991,28.58
"ssd",1992,28.67
"ssd",1993,28.76
"ssd",1994,28.85
"ssd",1995,28.94
"ssd",1996,29.11
"ssd",1997,29.29
"ssd",1998,29.47
"ssd",1999,29.66
"ssd",2000,29.85
"ssd",2001,30.13
"ssd",2002,30.42
"ssd",2003,30.72
"ssd",2004,31.02
"ssd",2005,31.33
"ssd",2006,31.56
"ssd",2007,31.78
"ssd",2008,32.01
"ssd",2009,32.24
"ssd",2010,32.49
"ssd",2011,32.69
"ssd",2012,32.9
"ssd",2013,33.12
"ssd",2014,33.33
"ssd",2015,33.55
"ssd",2016,33.77
"tza",1990,31.41
"tza",1991,31.55
"tza",1992,31.69
"tza",1993,31.84
"tza",1994,31.99
"tza",1995,32.15
"tza",1996,32.48
"tza",1997,32.83
"tza",1998,33.18
"tza",1999,33.54
"tza",2000,33.9
"tza",2001,34.31
"tza",2002,34.74
"tza",2003,35.17
"tza",2004,35.61
"tza",2005,36.07
"tza",2006,36.45
"tza",2007,36.84
"tza",2008,37.24
"tza",2009,37.64
"tza",2010,38.06
"tza",2011,38.52
"tza",2012,38.99
"tza",2013,39.47
"tza",2014,39.96
"tza",2015,40.45
"tza",2016,40.97
"uga",1990,47.44
"uga",1991,48.92
"uga",1992,50.49
"uga",1993,52.11
"uga",1994,53.8
"uga",1995,55.57
"uga",1996,55.83
"uga",1997,56.11
"uga",1998,56.39
"uga",1999,56.68
"uga",2000,56.98
"uga",2001,57.54
"uga",2002,58.1
"uga",2003,58.68
"uga",2004,59.26
"uga",2005,59.85
"uga",2006,60.26
"uga",2007,60.67
"uga",2008,61.08
"uga",2009,61.5
"uga",2010,61.94
"uga",2011,62.29
"uga",2012,62.66
"uga",2013,63.03
"uga",2014,63.4
"uga",2015,63.78
"uga",2016,64.17
