"geo","time","prostate_cancer_number_of_male_deaths"
"bdi",1990,263.48
"bdi",1991,266.29
"bdi",1992,269.21
"bdi",1993,272.07
"bdi",1994,274.96
"bdi",1995,279.03
"bdi",1996,282.25
"bdi",1997,284.64
"bdi",1998,288.73
"bdi",1999,292.36
"bdi",2000,301.93
"bdi",2001,306.34
"bdi",2002,317.2
"bdi",2003,331.81
"bdi",2004,350.82
"bdi",2005,370.69
"bdi",2006,388.12
"bdi",2007,405.8
"bdi",2008,424.34
"bdi",2009,442.84
"bdi",2010,468.46
"bdi",2011,491.94
"bdi",2012,515.5
"bdi",2013,535.51
"bdi",2014,558.7
"bdi",2015,582.26
"bdi",2016,608.88
"cod",1990,868.8
"cod",1991,909.62
"cod",1992,950.44
"cod",1993,987.69
"cod",1994,1030.62
"cod",1995,1081.21
"cod",1996,1123.44
"cod",1997,1148.63
"cod",1998,1185.13
"cod",1999,1229.03
"cod",2000,1266.66
"cod",2001,1321.4
"cod",2002,1367.03
"cod",2003,1439.02
"cod",2004,1491.24
"cod",2005,1551.71
"cod",2006,1617.26
"cod",2007,1684.77
"cod",2008,1778.19
"cod",2009,1865.03
"cod",2010,1951.41
"cod",2011,2047.65
"cod",2012,2150.96
"cod",2013,2241.49
"cod",2014,2342.39
"cod",2015,2452.49
"cod",2016,2583.57
"ken",1990,325.61
"ken",1991,341.54
"ken",1992,361.08
"ken",1993,379.5
"ken",1994,394.68
"ken",1995,410.25
"ken",1996,425.93
"ken",1997,440.43
"ken",1998,458.01
"ken",1999,466.05
"ken",2000,482.52
"ken",2001,484.82
"ken",2002,497.46
"ken",2003,515.04
"ken",2004,528.09
"ken",2005,541.88
"ken",2006,556.24
"ken",2007,571.19
"ken",2008,588.27
"ken",2009,607.84
"ken",2010,631.21
"ken",2011,658.36
"ken",2012,685.17
"ken",2013,709.64
"ken",2014,741.12
"ken",2015,777.02
"ken",2016,822.79
"rwa",1990,228.85
"rwa",1991,228.41
"rwa",1992,221.72
"rwa",1993,211.67
"rwa",1994,203.51
"rwa",1995,197.6
"rwa",1996,222.54
"rwa",1997,251.33
"rwa",1998,294.64
"rwa",1999,331.09
"rwa",2000,362.26
"rwa",2001,376.66
"rwa",2002,395.97
"rwa",2003,405.4
"rwa",2004,419.57
"rwa",2005,436.22
"rwa",2006,460.01
"rwa",2007,480.52
"rwa",2008,494.67
"rwa",2009,507.38
"rwa",2010,517.3
"rwa",2011,525.03
"rwa",2012,535.12
"rwa",2013,555.42
"rwa",2014,579.86
"rwa",2015,609.05
"rwa",2016,637.47
"ssd",1990,201.86
"ssd",1991,202.45
"ssd",1992,206.61
"ssd",1993,211.7
"ssd",1994,216.63
"ssd",1995,222.41
"ssd",1996,232.47
"ssd",1997,241.89
"ssd",1998,257.62
"ssd",1999,274.65
"ssd",2000,290.5
"ssd",2001,299.02
"ssd",2002,310.25
"ssd",2003,329.1
"ssd",2004,353.1
"ssd",2005,381.23
"ssd",2006,410.49
"ssd",2007,437.68
"ssd",2008,463.3
"ssd",2009,487.47
"ssd",2010,508.65
"ssd",2011,529.58
"ssd",2012,561.97
"ssd",2013,596.42
"ssd",2014,632.61
"ssd",2015,666.85
"ssd",2016,699.37
"tza",1990,1136.46
"tza",1991,1175.57
"tza",1992,1223.12
"tza",1993,1272.75
"tza",1994,1332.23
"tza",1995,1377.89
"tza",1996,1431.65
"tza",1997,1483.27
"tza",1998,1543.41
"tza",1999,1620.97
"tza",2000,1690.5
"tza",2001,1780.56
"tza",2002,1888.45
"tza",2003,2023.6
"tza",2004,2163.36
"tza",2005,2310.68
"tza",2006,2417.11
"tza",2007,2515.61
"tza",2008,2636.21
"tza",2009,2763.43
"tza",2010,2903.19
"tza",2011,3038.25
"tza",2012,3184.13
"tza",2013,3323.53
"tza",2014,3443.81
"tza",2015,3577.1
"tza",2016,3732.36
"uga",1990,1146.52
"uga",1991,1177.51
"uga",1992,1268.8
"uga",1993,1372.6
"uga",1994,1444.42
"uga",1995,1552.56
"uga",1996,1613.05
"uga",1997,1661.74
"uga",1998,1708.8
"uga",1999,1721.71
"uga",2000,1776.39
"uga",2001,1821.11
"uga",2002,1878.97
"uga",2003,1953.27
"uga",2004,2048.07
"uga",2005,2146.03
"uga",2006,2253.76
"uga",2007,2324.93
"uga",2008,2404.81
"uga",2009,2507.15
"uga",2010,2591.04
"uga",2011,2689.59
"uga",2012,2795.03
"uga",2013,2882.14
"uga",2014,2979.08
"uga",2015,3066.77
"uga",2016,3164.52
