"geo","time","prostate_cancer_number_of_new_male_cases"
"bdi",1990,248.71
"bdi",1991,252.9
"bdi",1992,256.99
"bdi",1993,260.51
"bdi",1994,264.06
"bdi",1995,267.82
"bdi",1996,272.42
"bdi",1997,277.36
"bdi",1998,283.67
"bdi",1999,291.03
"bdi",2000,299.72
"bdi",2001,306.95
"bdi",2002,315.89
"bdi",2003,327.78
"bdi",2004,340.7
"bdi",2005,354.54
"bdi",2006,367.03
"bdi",2007,380.28
"bdi",2008,394.99
"bdi",2009,411.74
"bdi",2010,431.14
"bdi",2011,448.62
"bdi",2012,468.54
"bdi",2013,488.65
"bdi",2014,511.2
"bdi",2015,536.28
"bdi",2016,564.11
"cod",1990,875.75
"cod",1991,913.75
"cod",1992,955.07
"cod",1993,999.77
"cod",1994,1045.61
"cod",1995,1092.33
"cod",1996,1132.91
"cod",1997,1171.84
"cod",1998,1210.38
"cod",1999,1251.24
"cod",2000,1296.19
"cod",2001,1340.18
"cod",2002,1387.46
"cod",2003,1441.81
"cod",2004,1499.46
"cod",2005,1560.89
"cod",2006,1621.27
"cod",2007,1684.7
"cod",2008,1756.58
"cod",2009,1832.19
"cod",2010,1912.18
"cod",2011,1992.72
"cod",2012,2076.78
"cod",2013,2163.3
"cod",2014,2254.92
"cod",2015,2352.48
"cod",2016,2468.08
"ken",1990,397.98
"ken",1991,413.61
"ken",1992,430.98
"ken",1993,449.68
"ken",1994,469.48
"ken",1995,490.28
"ken",1996,509.89
"ken",1997,529.55
"ken",1998,549.75
"ken",1999,571.01
"ken",2000,593.54
"ken",2001,610.55
"ken",2002,629.08
"ken",2003,649.5
"ken",2004,671.16
"ken",2005,694.34
"ken",2006,718.62
"ken",2007,745.04
"ken",2008,775.32
"ken",2009,809.44
"ken",2010,849.13
"ken",2011,888.89
"ken",2012,933.79
"ken",2013,983.77
"ken",2014,1040.83
"ken",2015,1105.6
"ken",2016,1174.26
"rwa",1990,243.89
"rwa",1991,242.62
"rwa",1992,236.77
"rwa",1993,228.64
"rwa",1994,221.63
"rwa",1995,217.4
"rwa",1996,240.36
"rwa",1997,265.68
"rwa",1998,301.29
"rwa",1999,330.46
"rwa",2000,353.23
"rwa",2001,360.29
"rwa",2002,368.66
"rwa",2003,369.95
"rwa",2004,373.99
"rwa",2005,380.91
"rwa",2006,394.28
"rwa",2007,407.7
"rwa",2008,418.84
"rwa",2009,429.77
"rwa",2010,442.17
"rwa",2011,455.35
"rwa",2012,471.72
"rwa",2013,495.56
"rwa",2014,523.34
"rwa",2015,554.8
"rwa",2016,585.89
"ssd",1990,221.36
"ssd",1991,222.32
"ssd",1992,221.56
"ssd",1993,220.5
"ssd",1994,220.43
"ssd",1995,222.24
"ssd",1996,229.71
"ssd",1997,240.99
"ssd",1998,256.27
"ssd",1999,272.94
"ssd",2000,290.24
"ssd",2001,306.04
"ssd",2002,322.48
"ssd",2003,340.66
"ssd",2004,360.61
"ssd",2005,382.85
"ssd",2006,403.34
"ssd",2007,425.62
"ssd",2008,451.12
"ssd",2009,478.68
"ssd",2010,508.38
"ssd",2011,534.61
"ssd",2012,562.71
"ssd",2013,592.26
"ssd",2014,622.54
"ssd",2015,653.27
"ssd",2016,681.31
"tza",1990,1007
"tza",1991,1046.13
"tza",1992,1088.52
"tza",1993,1134.62
"tza",1994,1182.62
"tza",1995,1232.64
"tza",1996,1285.84
"tza",1997,1340.45
"tza",1998,1397.92
"tza",1999,1457.99
"tza",2000,1521.58
"tza",2001,1616.68
"tza",2002,1716.77
"tza",2003,1832.53
"tza",2004,1951.26
"tza",2005,2072.96
"tza",2006,2162.83
"tza",2007,2257.57
"tza",2008,2367.14
"tza",2009,2485.05
"tza",2010,2612.07
"tza",2011,2734.23
"tza",2012,2866.41
"tza",2013,2991.41
"tza",2014,3127.17
"tza",2015,3275.31
"tza",2016,3438.89
"uga",1990,1036.78
"uga",1991,1102.27
"uga",1992,1171.76
"uga",1993,1246.48
"uga",1994,1324.96
"uga",1995,1407.88
"uga",1996,1451.4
"uga",1997,1495.78
"uga",1998,1543.62
"uga",1999,1594.01
"uga",2000,1647.83
"uga",2001,1706.63
"uga",2002,1769.36
"uga",2003,1837.7
"uga",2004,1908.43
"uga",2005,1981.35
"uga",2006,2043.69
"uga",2007,2108.21
"uga",2008,2180.58
"uga",2009,2259.05
"uga",2010,2345.38
"uga",2011,2422.99
"uga",2012,2507.85
"uga",2013,2594.92
"uga",2014,2689.35
"uga",2015,2790.77
"uga",2016,2892.24
