"geo","time","pump_price_for_gasoline_us_per_liter"
"bdi",1991,0.63
"bdi",1992,0.59
"bdi",1995,0.52
"bdi",1998,0.72
"bdi",2000,1.01
"bdi",2002,0.58
"bdi",2004,1.04
"bdi",2006,1.2
"bdi",2008,1.39
"bdi",2010,1.43
"bdi",2012,1.47
"bdi",2014,1.53
"bdi",2016,1.21
"cod",1991,0.81
"cod",1992,0.74
"cod",1995,0.73
"cod",1998,0.5
"cod",2000,1
"cod",2002,0.7
"cod",2004,0.92
"cod",2006,0.94
"cod",2008,1.23
"cod",2010,1.28
"cod",2012,1.48
"cod",2014,1.68
"cod",2016,1.49
"ken",1991,0.53
"ken",1992,0.4
"ken",1995,0.56
"ken",1998,0.7
"ken",2000,0.71
"ken",2002,0.7
"ken",2004,0.92
"ken",2006,1.12
"ken",2008,1.2
"ken",2010,1.33
"ken",2012,1.37
"ken",2014,1.21
"ken",2016,0.95
"rwa",1991,0.81
"rwa",1992,0.93
"rwa",1998,0.72
"rwa",2000,0.89
"rwa",2002,0.84
"rwa",2004,0.98
"rwa",2006,1.11
"rwa",2008,1.37
"rwa",2010,1.63
"rwa",2012,1.73
"rwa",2014,1.41
"rwa",2016,1.17
"ssd",2006,1.76
"ssd",2008,1.59
"ssd",2010,1.5
"ssd",2012,1.97
"ssd",2014,1.98
"ssd",2016,0.28
"tza",1991,0.42
"tza",1992,0.43
"tza",1995,0.56
"tza",1998,0.63
"tza",2000,0.75
"tza",2002,0.67
"tza",2004,0.93
"tza",2006,1.04
"tza",2008,1.11
"tza",2010,1.22
"tza",2012,1.31
"tza",2014,1.29
"tza",2016,0.87
"uga",1991,0.69
"uga",1992,0.79
"uga",1995,0.98
"uga",1998,0.86
"uga",2000,0.86
"uga",2002,0.83
"uga",2004,1.02
"uga",2006,1.17
"uga",2008,1.3
"uga",2010,1.42
"uga",2014,1.4
"uga",2016,0.94
