"geo","time","renewable_water_cu_meters_per_person"
"bdi",1962,4332
"bdi",1967,3876
"bdi",1972,3535
"bdi",1977,3278
"bdi",1982,2877
"bdi",1987,2454
"bdi",1992,2127
"bdi",1997,1953
"bdi",2002,1751
"bdi",2007,1473
"bdi",2012,1239
"bdi",2014,1122
"cod",1962,79983
"cod",1967,69812
"cod",1972,60745
"cod",1977,52922
"cod",1982,46249
"cod",1987,40445
"cod",1992,33956
"cod",1997,28794
"cod",2002,25171
"cod",2007,21442
"cod",2012,18253
"cod",2014,16605
"ken",1962,3558
"ken",1967,3023
"ken",1972,2541
"ken",1977,2113
"ken",1982,1748
"ken",1987,1452
"ken",1992,1227
"ken",1997,1064
"ken",2002,939.1
"ken",2007,824.1
"ken",2012,721.6
"ken",2014,666.7
"rwa",1962,4359
"rwa",1967,3891
"rwa",1972,3338
"rwa",1977,2861
"rwa",1982,2424
"rwa",1987,1973
"rwa",1992,1981
"rwa",1997,2044
"rwa",2002,1558
"rwa",2007,1403
"rwa",2012,1230
"rwa",2014,1146
"ssd",2012,4508
"ssd",2014,4011
"tza",1962,9011
"tza",1967,7760
"tza",1972,6637
"tza",1977,5657
"tza",1982,4839
"tza",1987,4149
"tza",1992,3539
"tza",1997,3053
"tza",2002,2685
"tza",2007,2319
"tza",2012,1979
"tza",2014,1800
"uga",1962,8301
"uga",1967,7004
"uga",1972,6017
"uga",1977,5239
"uga",1982,4513
"uga",1987,3836
"uga",1992,3236
"uga",1997,2772
"uga",2002,2370
"uga",2007,2004
"uga",2012,1698
"uga",2014,1540
