"geo","time","residential_electricity_use_per_person"
"cod",1976,28.56
"cod",1977,30.22
"cod",1978,29.29
"cod",1979,31.67
"cod",1980,29.86
"cod",1981,31.88
"cod",1982,31
"cod",1983,33.84
"cod",1984,43.11
"cod",1985,49.62
"cod",1986,49.44
"cod",1987,48.2
"cod",1988,46.14
"cod",1989,41.76
"cod",1990,24.5
"cod",1991,29.12
"cod",1992,31.42
"cod",1993,35.17
"cod",1994,23.62
"cod",1995,22.75
"cod",1996,21.37
"cod",1997,21.18
"cod",1998,20.77
"cod",1999,21.15
"cod",2000,23.69
"cod",2001,22.75
"cod",2002,22.18
"cod",2003,23.16
"cod",2004,25.45
"cod",2005,25.71
"cod",2006,42
"cod",2007,31.81
"cod",2008,30.71
"ken",1971,15.22
"ken",1972,15.94
"ken",1973,16.11
"ken",1974,16.38
"ken",1975,17.42
"ken",1976,16.85
"ken",1977,17.11
"ken",1978,17.91
"ken",1979,28.69
"ken",1980,28.05
"ken",1981,29.26
"ken",1982,28.99
"ken",1983,29.32
"ken",1984,30.03
"ken",1985,30.26
"ken",1986,29.01
"ken",1987,35.43
"ken",1988,33.54
"ken",1989,32.21
"ken",1990,33.4
"ken",1991,34.12
"ken",1992,35.06
"ken",1993,35.92
"ken",1994,36.97
"ken",1995,30.01
"ken",1996,30.62
"ken",1997,32.1
"ken",1998,33.21
"ken",1999,30.16
"ken",2000,26.68
"ken",2001,29.33
"ken",2002,31.26
"ken",2003,32.65
"ken",2004,33.96
"ken",2005,35.27
"ken",2006,38.44
"ken",2007,41.99
"ken",2008,41.18
"tza",1971,9.063
"tza",1972,9.589
"tza",1973,10.07
"tza",1974,10.14
"tza",1975,10.28
"tza",1976,10.53
"tza",1977,10.57
"tza",1978,10.37
"tza",1979,11.12
"tza",1980,11.12
"tza",1981,11.42
"tza",1982,10.84
"tza",1983,10.33
"tza",1984,10.55
"tza",1985,11.07
"tza",1986,12.41
"tza",1987,12.55
"tza",1988,13.81
"tza",1989,13.83
"tza",1990,17.75
"tza",1991,17.33
"tza",1992,20.79
"tza",1993,19.83
"tza",1994,20.49
"tza",1995,22.4
"tza",1996,30.85
"tza",1997,33.34
"tza",1998,33.66
"tza",1999,34.93
"tza",2000,36.06
"tza",2001,30.98
"tza",2002,32.38
"tza",2003,29.93
"tza",2004,32.25
"tza",2005,24.48
"tza",2006,23.26
"tza",2007,37.24
"tza",2008,38.63
