"geo","time","residential_electricity_use_total"
"cod",1976,735100000
"cod",1977,800100000
"cod",1978,800100000
"cod",1979,893200000
"cod",1980,866200000
"cod",1981,950200000
"cod",1982,950200000
"cod",1983,1.064e+09
"cod",1984,1.394e+09
"cod",1985,1.654e+09
"cod",1986,1.699e+09
"cod",1987,1.71e+09
"cod",1988,1.69e+09
"cod",1989,1.579e+09
"cod",1990,957200000
"cod",1991,1.176e+09
"cod",1992,1.309e+09
"cod",1993,1.514e+09
"cod",1994,1.052e+09
"cod",1995,1.054e+09
"cod",1996,1.01e+09
"cod",1997,1.012e+09
"cod",1998,1.015e+09
"cod",1999,1.066e+09
"cod",2000,1.232e+09
"cod",2001,1.221e+09
"cod",2002,1.228e+09
"cod",2003,1.323e+09
"cod",2004,1.499e+09
"cod",2005,1.562e+09
"cod",2006,2.631e+09
"cod",2007,2.055e+09
"cod",2008,2.045e+09
"ken",1971,1.77e+08
"ken",1972,1.92e+08
"ken",1973,2.01e+08
"ken",1974,2.12e+08
"ken",1975,2.34e+08
"ken",1976,2.35e+08
"ken",1977,2.48e+08
"ken",1978,2.7e+08
"ken",1979,450100000
"ken",1980,458100000
"ken",1981,497100000
"ken",1982,512100000
"ken",1983,538100000
"ken",1984,572100000
"ken",1985,598100000
"ken",1986,594100000
"ken",1987,751100000
"ken",1988,735100000
"ken",1989,729100000
"ken",1990,780100000
"ken",1991,823100000
"ken",1992,877200000
"ken",1993,927200000
"ken",1994,977200000
"ken",1995,812100000
"ken",1996,847200000
"ken",1997,907200000
"ken",1998,957200000
"ken",1999,886200000
"ken",2000,800100000
"ken",2001,899200000
"ken",2002,981200000
"ken",2003,1.05e+09
"ken",2004,1.12e+09
"ken",2005,1.193e+09
"ken",2006,1.334e+09
"ken",2007,1.495e+09
"ken",2008,1.504e+09
"tza",1971,1.29e+08
"tza",1972,1.41e+08
"tza",1973,1.53e+08
"tza",1974,1.59e+08
"tza",1975,1.66e+08
"tza",1976,1.75e+08
"tza",1977,1.81e+08
"tza",1978,1.83e+08
"tza",1979,2.02e+08
"tza",1980,2.08e+08
"tza",1981,2.2e+08
"tza",1982,2.15e+08
"tza",1983,2.11e+08
"tza",1984,2.22e+08
"tza",1985,2.4e+08
"tza",1986,2.77e+08
"tza",1987,289100000
"tza",1988,328100000
"tza",1989,338100000
"tza",1990,446100000
"tza",1991,448100000
"tza",1992,553100000
"tza",1993,545100000
"tza",1994,585100000
"tza",1995,660100000
"tza",1996,927200000
"tza",1997,1.023e+09
"tza",1998,1.059e+09
"tza",1999,1.126e+09
"tza",2000,1.192e+09
"tza",2001,1.048e+09
"tza",2002,1.12e+09
"tza",2003,1.058e+09
"tza",2004,1.163e+09
"tza",2005,900200000
"tza",2006,871200000
"tza",2007,1.42e+09
"tza",2008,1.501e+09
