"geo","time","residential_energy_use_percent"
"cod",1971,66.1
"cod",1972,66.54
"cod",1973,66.67
"cod",1974,66.57
"cod",1975,66.86
"cod",1976,68.34
"cod",1977,68.31
"cod",1978,68.54
"cod",1979,68.06
"cod",1980,69.09
"cod",1981,69.11
"cod",1982,71.17
"cod",1983,68.88
"cod",1984,69.59
"cod",1985,70.38
"cod",1986,71.27
"cod",1987,70.74
"cod",1988,70.46
"cod",1989,70.69
"cod",1990,72.64
"cod",1991,73.72
"cod",1992,74.24
"cod",1993,74.54
"cod",1994,75.04
"cod",1995,75.13
"cod",1996,75.28
"cod",1997,75.39
"cod",1998,75.26
"cod",1999,75.38
"cod",2000,75.82
"cod",2001,76.09
"cod",2002,76.14
"cod",2003,75.97
"cod",2004,75.97
"cod",2005,75.69
"cod",2006,75.83
"cod",2007,75.35
"cod",2008,75.22
"cod",2009,75.24
"cod",2010,75.16
"ken",1971,75.15
"ken",1972,74.8
"ken",1973,74.97
"ken",1974,74.93
"ken",1975,76.1
"ken",1976,75.35
"ken",1977,73.77
"ken",1978,74.69
"ken",1979,75.59
"ken",1980,75.45
"ken",1981,75.73
"ken",1982,77.51
"ken",1983,78.75
"ken",1984,76.82
"ken",1985,76.64
"ken",1986,76.17
"ken",1987,76.17
"ken",1988,77.38
"ken",1989,77.32
"ken",1990,77.49
"ken",1991,78.46
"ken",1992,78.95
"ken",1993,79.44
"ken",1994,80.11
"ken",1995,79.94
"ken",1996,79.34
"ken",1997,80.46
"ken",1998,82.48
"ken",1999,83.87
"ken",2000,84.53
"ken",2001,82.86
"ken",2002,82.56
"ken",2003,83.4
"ken",2004,83.3
"ken",2005,82.19
"ken",2006,79.98
"ken",2007,80.15
"ken",2008,80.67
"ken",2009,78.89
"ken",2010,76.48
"tza",1971,77.31
"tza",1972,76.91
"tza",1973,76.68
"tza",1974,77.25
"tza",1975,77.5
"tza",1976,77.18
"tza",1977,77.57
"tza",1978,77.45
"tza",1979,77.24
"tza",1980,77.52
"tza",1981,77.6
"tza",1982,77.88
"tza",1983,77.9
"tza",1984,78.03
"tza",1985,77.85
"tza",1986,78.13
"tza",1987,78.11
"tza",1988,78.16
"tza",1989,78.17
"tza",1990,78.08
"tza",1991,78.15
"tza",1992,78.21
"tza",1993,78.04
"tza",1994,78.12
"tza",1995,77.55
"tza",1996,77.13
"tza",1997,78.45
"tza",1998,77.05
"tza",1999,78.09
"tza",2000,77.97
"tza",2001,77.11
"tza",2002,76.23
"tza",2003,75.94
"tza",2004,75.26
"tza",2005,74.2
"tza",2006,73.67
"tza",2007,73.23
"tza",2008,72.63
"tza",2009,72.88
"tza",2010,72.41
