"geo","time","self_employed_percent_of_employment"
"bdi",1991,94.405
"bdi",1992,94.342
"bdi",1993,94.39
"bdi",1994,93.904
"bdi",1995,94.15
"bdi",1996,95.116
"bdi",1997,94.295
"bdi",1998,94.264
"bdi",1999,94.261
"bdi",2000,94.338
"bdi",2001,94.135
"bdi",2002,94.019
"bdi",2003,94.172
"bdi",2004,94.046
"bdi",2005,93.999
"bdi",2006,93.89
"bdi",2007,92.999
"bdi",2008,93.317
"bdi",2009,93.307
"bdi",2010,93.282
"bdi",2011,93.237
"bdi",2012,93.24
"bdi",2013,93.127
"bdi",2014,93.014
"bdi",2015,93.566
"bdi",2016,93.227
"bdi",2017,93.262
"bdi",2018,93.269
"bdi",2019,93.26
"bdi",2020,93.25
"bdi",2021,93.24
"bdi",2022,93.229
"cod",1991,64.457
"cod",1992,64.352
"cod",1993,64.91
"cod",1994,63.719
"cod",1995,63.202
"cod",1996,62.17
"cod",1997,63.354
"cod",1998,63.847
"cod",1999,63.11
"cod",2000,63.162
"cod",2001,62.992
"cod",2002,62.386
"cod",2003,61.824
"cod",2004,60.781
"cod",2005,60.817
"cod",2006,60.549
"cod",2007,60.172
"cod",2008,59.533
"cod",2009,59.829
"cod",2010,59.004
"cod",2011,58.478
"cod",2012,58.084
"cod",2013,57.364
"cod",2014,56.725
"cod",2015,56.933
"cod",2016,57.365
"cod",2017,57.307
"cod",2018,57.25
"cod",2019,57.184
"cod",2020,57.108
"cod",2021,57.026
"cod",2022,56.941
"ken",1991,68.145
"ken",1992,68.061
"ken",1993,67.756
"ken",1994,67.683
"ken",1995,66.818
"ken",1996,67.295
"ken",1997,67.4
"ken",1998,66.955
"ken",1999,66.755
"ken",2000,66.766
"ken",2001,66.152
"ken",2002,66.172
"ken",2003,65.697
"ken",2004,65.284
"ken",2005,64.966
"ken",2006,65.251
"ken",2007,64.792
"ken",2008,65.106
"ken",2009,64.655
"ken",2010,63.811
"ken",2011,63.836
"ken",2012,63.617
"ken",2013,63.008
"ken",2014,62.572
"ken",2015,62.3
"ken",2016,62.082
"ken",2017,61.974
"ken",2018,61.837
"ken",2019,61.696
"ken",2020,61.559
"ken",2021,61.423
"ken",2022,61.285
"rwa",1991,92.579
"rwa",1992,92.285
"rwa",1993,92.742
"rwa",1994,94.524
"rwa",1995,93.403
"rwa",1996,93.619
"rwa",1997,93.695
"rwa",1998,93.51
"rwa",1999,92.891
"rwa",2000,92.669
"rwa",2001,92.626
"rwa",2002,92.134
"rwa",2003,86.493
"rwa",2004,86.413
"rwa",2005,85.174
"rwa",2006,84.658
"rwa",2007,83.281
"rwa",2008,82.22
"rwa",2009,82.327
"rwa",2010,81.719
"rwa",2011,81.5
"rwa",2012,81.314
"rwa",2013,81.177
"rwa",2014,80.924
"rwa",2015,80.338
"rwa",2016,80.522
"rwa",2017,80.503
"rwa",2018,80.456
"rwa",2019,80.405
"rwa",2020,80.352
"rwa",2021,80.299
"rwa",2022,80.246
"ssd",1991,59.47
"ssd",1992,59.926
"ssd",1993,59.648
"ssd",1994,59.674
"ssd",1995,58.728
"ssd",1996,58.42
"ssd",1997,57.891
"ssd",1998,57.93
"ssd",1999,57.647
"ssd",2000,57.463
"ssd",2001,57.072
"ssd",2002,56.601
"ssd",2003,56.622
"ssd",2004,56.056
"ssd",2005,55.726
"ssd",2006,55.441
"ssd",2007,55.001
"ssd",2008,54.675
"ssd",2009,51.027
"ssd",2010,51.808
"ssd",2011,55.236
"ssd",2012,64.297
"ssd",2013,53.092
"ssd",2014,54.247
"ssd",2015,55.389
"ssd",2016,58.237
"ssd",2017,58.148
"ssd",2018,58.036
"ssd",2019,57.921
"ssd",2020,57.804
"ssd",2021,57.687
"ssd",2022,57.573
"tza",1991,91.417
"tza",1992,95.109
"tza",1993,95.146
"tza",1994,94.829
"tza",1995,95.046
"tza",1996,95.101
"tza",1997,94.942
"tza",1998,93.433
"tza",1999,93.407
"tza",2000,93.245
"tza",2001,93.068
"tza",2002,90.122
"tza",2003,90.043
"tza",2004,89.983
"tza",2005,89.193
"tza",2006,89.253
"tza",2007,87.303
"tza",2008,87.509
"tza",2009,87.399
"tza",2010,87.32
"tza",2011,87.242
"tza",2012,82.704
"tza",2013,82.473
"tza",2014,86.536
"tza",2015,86.442
"tza",2016,86.337
"tza",2017,86.316
"tza",2018,86.253
"tza",2019,86.19
"tza",2020,86.125
"tza",2021,86.064
"tza",2022,86.003
"uga",1991,91.214
"uga",1992,90.993
"uga",1993,90.892
"uga",1994,90.556
"uga",1995,90.221
"uga",1996,89.33
"uga",1997,88.72
"uga",1998,88.675
"uga",1999,87.932
"uga",2000,86.463
"uga",2001,86.386
"uga",2002,85.396
"uga",2003,84.709
"uga",2004,80.555
"uga",2005,81.519
"uga",2006,80.8
"uga",2007,80.282
"uga",2008,79.782
"uga",2009,80.764
"uga",2010,79.846
"uga",2011,79.291
"uga",2012,79.694
"uga",2013,79.288
"uga",2014,78.867
"uga",2015,78.368
"uga",2016,77.924
"uga",2017,77.798
"uga",2018,77.734
"uga",2019,77.668
"uga",2020,77.602
"uga",2021,77.534
"uga",2022,77.475
