"geo","time","services_percent_of_gdp"
"cod",1994,26.78401
"cod",1995,25.792
"cod",1996,33.52092
"cod",1997,29.92625
"cod",1998,30.98629
"cod",1999,28.29447
"cod",2000,44.51342
"cod",2001,34.545
"cod",2002,38.0516
"cod",2003,41.98881
"cod",2004,40.17398
"cod",2005,43.40486
"cod",2006,44.51535
"cod",2007,43.56058
"cod",2008,38.72671
"cod",2009,38.35327
"cod",2010,35.37742
"cod",2011,33.11421
"cod",2012,33.18206
"cod",2013,32.33238
"cod",2014,31.70146
"cod",2015,33.10437
"cod",2016,33.82744
"cod",2017,34.08068
"ken",1960,40.31563
"ken",1961,41.34002
"ken",1962,39.54972
"ken",1963,40.12237
"ken",1964,40.23828
"ken",1965,42.80021
"ken",1966,40.6468
"ken",1967,41.06314
"ken",1968,42.27014
"ken",1969,42.51128
"ken",1970,42.47721
"ken",1971,43.30384
"ken",1972,40.63121
"ken",1973,39.36809
"ken",1974,38.88564
"ken",1975,40.28328
"ken",1976,38.24229
"ken",1977,35.34061
"ken",1978,37.34543
"ken",1979,39.74766
"ken",1980,39.6995
"ken",1981,40.50245
"ken",1982,40.54219
"ken",1983,40.50824
"ken",1984,40.92978
"ken",1985,42.41893
"ken",1986,42.13461
"ken",1987,43.02867
"ken",1988,43.15347
"ken",1989,43.68093
"ken",1990,44.11669
"ken",1991,45.10011
"ken",1992,45.60127
"ken",1993,43.86652
"ken",1994,41.71
"ken",1995,44.72917
"ken",1996,45.55348
"ken",1997,45.98858
"ken",1998,45.54928
"ken",1999,45.10117
"ken",2000,45.00851
"ken",2001,45.73097
"ken",2002,47.44435
"ken",2003,47.46418
"ken",2004,47.76373
"ken",2005,47.85937
"ken",2006,50.35668
"ken",2007,50.22765
"ken",2008,50.12477
"ken",2009,49.31683
"ken",2010,48.10602
"ken",2011,47.07766
"ken",2012,47.80114
"ken",2013,48.00803
"ken",2014,47.97578
"ken",2015,46.21641
"ken",2016,44.7406
"ken",2017,45.37852
"rwa",1965,18.3548
"rwa",1966,18.36271
"rwa",1967,24.40211
"rwa",1968,25.22184
"rwa",1969,24.82302
"rwa",1970,29.78627
"rwa",1971,30.13945
"rwa",1972,31.01321
"rwa",1973,30.2459
"rwa",1974,31.6597
"rwa",1975,31.81732
"rwa",1976,31.88944
"rwa",1977,32.33282
"rwa",1978,35.4596
"rwa",1979,32.22419
"rwa",1980,32.60487
"rwa",1981,38.47032
"rwa",1982,38.48195
"rwa",1983,37.71347
"rwa",1984,35.92429
"rwa",1985,35.47835
"rwa",1986,39.38974
"rwa",1987,44.45946
"rwa",1988,43.64239
"rwa",1989,42.27094
"rwa",1990,42.82983
"rwa",1991,46.92724
"rwa",1992,48.05895
"rwa",1993,47.93028
"rwa",1994,29.07117
"rwa",1995,40.02836
"rwa",1996,34.72489
"rwa",1997,35.42898
"rwa",1998,35.77982
"rwa",1999,45.10413
"rwa",2000,46.87124
"rwa",2001,44.47101
"rwa",2002,46.22396
"rwa",2003,44.33488
"rwa",2004,43.57386
"rwa",2005,44.06274
"rwa",2006,44.54792
"rwa",2007,48.08601
"rwa",2008,49.24613
"rwa",2009,48.74515
"rwa",2010,49.38152
"rwa",2011,46.98163
"rwa",2012,47.53036
"rwa",2013,47.73445
"rwa",2014,47.16289
"rwa",2015,47.868
"rwa",2016,47.29258
"rwa",2017,46.38416
"tza",1990,33.29497
"tza",1991,31.85663
"tza",1992,33.34604
"tza",1993,33.84067
"tza",1994,36.87173
"tza",1995,35.51369
"tza",1996,34.59456
"tza",1997,35.42771
"tza",1998,43.02659
"tza",1999,43.64113
"tza",2000,44.26417
"tza",2001,44.61362
"tza",2002,43.34338
"tza",2003,41.87251
"tza",2004,41.15393
"tza",2005,46.54864
"tza",2006,45.38472
"tza",2007,47.41237
"tza",2008,45.01234
"tza",2009,45.45139
"tza",2010,44.22587
"tza",2011,42.72757
"tza",2012,41.85394
"tza",2013,41.01599
"tza",2014,40.90123
"tza",2015,39.99219
"tza",2016,39.2123
"tza",2017,37.5033
"uga",1960,33.70487
"uga",1961,33.73772
"uga",1962,34.8155
"uga",1963,32.76855
"uga",1964,31.47039
"uga",1965,32.13042
"uga",1966,32.8593
"uga",1967,32.82675
"uga",1968,32.61808
"uga",1969,31.42446
"uga",1970,30.85473
"uga",1971,29.46755
"uga",1972,30.48826
"uga",1973,28.33169
"uga",1974,25.7302
"uga",1975,19.2362
"uga",1976,18.84934
"uga",1977,18.8141
"uga",1978,20.40384
"uga",1979,30.10951
"uga",1980,23.39769
"uga",1981,34.77155
"uga",1982,32.56028
"uga",1983,30.39726
"uga",1984,31.15304
"uga",1985,34.28478
"uga",1986,31.10826
"uga",1987,32.00042
"uga",1988,31.68083
"uga",1989,31.13084
"uga",1990,30.48031
"uga",1991,32.54275
"uga",1992,33.63237
"uga",1993,33.13131
"uga",1994,33.48835
"uga",1995,33.30673
"uga",1996,35.16017
"uga",1997,36.73972
"uga",1998,36.22998
"uga",1999,37.82271
"uga",2000,44.67028
"uga",2001,44.77966
"uga",2002,47.74139
"uga",2003,46.53787
"uga",2004,52.03235
"uga",2005,45.31225
"uga",2006,47.11979
"uga",2007,46.9261
"uga",2008,46.89588
"uga",2009,46.22875
"uga",2010,48.48445
"uga",2011,47.56058
"uga",2012,45.79338
"uga",2013,46.7224
"uga",2014,47.13017
"uga",2015,47.93046
"uga",2016,47.5726
"uga",2017,47.11705
