"geo","time","sex_ratio_0_14_years"
"bdi",1950,95.90282
"bdi",1955,97.36158
"bdi",1960,98.49655
"bdi",1965,99.3159
"bdi",1970,99.31594
"bdi",1975,99.10822
"bdi",1980,98.9465
"bdi",1985,98.83803
"bdi",1990,99.76186
"bdi",1995,100.11735
"bdi",2000,99.34737
"bdi",2005,98.9229
"bdi",2010,98.79263
"bdi",2015,99.94559
"bdi",2020,100.5679
"bdi",2025,100.78167
"bdi",2030,100.76832
"bdi",2035,100.79984
"bdi",2040,100.85238
"bdi",2045,100.9029
"bdi",2050,100.93003
"bdi",2055,101.02807
"bdi",2060,101.17025
"bdi",2065,101.35521
"bdi",2070,101.52132
"bdi",2075,101.6809
"bdi",2080,101.84478
"bdi",2085,101.9794
"bdi",2090,102.089
"bdi",2095,102.18354
"bdi",2100,102.28223
"cod",1950,95.43464
"cod",1955,97.61452
"cod",1960,99.11258
"cod",1965,99.98612
"cod",1970,100.1704
"cod",1975,100.36184
"cod",1980,100.52463
"cod",1985,100.68718
"cod",1990,100.82326
"cod",1995,100.96544
"cod",2000,101.01191
"cod",2005,101.1455
"cod",2010,101.34968
"cod",2015,101.62295
"cod",2020,101.75821
"cod",2025,101.79578
"cod",2030,101.77365
"cod",2035,101.74144
"cod",2040,101.69974
"cod",2045,101.6663
"cod",2050,101.649
"cod",2055,101.6866
"cod",2060,101.77929
"cod",2065,101.89731
"cod",2070,102.02191
"cod",2075,102.15165
"cod",2080,102.27684
"cod",2085,102.38682
"cod",2090,102.48784
"cod",2095,102.57271
"cod",2100,102.64268
"ken",1950,100.47457
"ken",1955,99.95091
"ken",1960,99.7262
"ken",1965,99.48168
"ken",1970,99.6672
"ken",1975,99.95941
"ken",1980,100.41288
"ken",1985,100.82703
"ken",1990,101.07497
"ken",1995,101.18323
"ken",2000,101.25856
"ken",2005,101.3465
"ken",2010,101.56498
"ken",2015,101.71566
"ken",2020,101.84157
"ken",2025,101.93652
"ken",2030,102.04893
"ken",2035,102.14287
"ken",2040,102.1926
"ken",2045,102.24477
"ken",2050,102.31505
"ken",2055,102.39567
"ken",2060,102.46157
"ken",2065,102.50719
"ken",2070,102.54004
"ken",2075,102.56553
"ken",2080,102.58652
"ken",2085,102.60552
"ken",2090,102.62309
"ken",2095,102.64063
"ken",2100,102.65709
"rwa",1950,101.17092
"rwa",1955,99.31448
"rwa",1960,98.29884
"rwa",1965,97.77264
"rwa",1970,97.92617
"rwa",1975,98.02256
"rwa",1980,98.25615
"rwa",1985,98.54466
"rwa",1990,98.68255
"rwa",1995,95.4866
"rwa",2000,98.90241
"rwa",2005,98.51012
"rwa",2010,99.59302
"rwa",2015,99.81909
"rwa",2020,100.22495
"rwa",2025,100.8728
"rwa",2030,101.4022
"rwa",2035,101.80197
"rwa",2040,101.943
"rwa",2045,102.04611
"rwa",2050,102.14375
"rwa",2055,102.26068
"rwa",2060,102.38734
"rwa",2065,102.51037
"rwa",2070,102.61176
"rwa",2075,102.66911
"rwa",2080,102.68979
"rwa",2085,102.69063
"rwa",2090,102.70585
"rwa",2095,102.71596
"rwa",2100,102.7267
"ssd",1950,102.62321
"ssd",1955,100.92443
"ssd",1960,99.76311
"ssd",1965,99.15997
"ssd",1970,99.66
"ssd",1975,100.04649
"ssd",1980,100.33937
"ssd",1985,100.59163
"ssd",1990,100.88058
"ssd",1995,101.25067
"ssd",2000,101.6549
"ssd",2005,102.01823
"ssd",2010,102.30343
"ssd",2015,102.60117
"ssd",2020,102.67091
"ssd",2025,102.65917
"ssd",2030,102.63442
"ssd",2035,102.68633
"ssd",2040,102.74255
"ssd",2045,102.84209
"ssd",2050,102.94454
"ssd",2055,103.06097
"ssd",2060,103.12229
"ssd",2065,103.17321
"ssd",2070,103.21346
"ssd",2075,103.23662
"ssd",2080,103.24681
"ssd",2085,103.26612
"ssd",2090,103.31067
"ssd",2095,103.38489
"ssd",2100,103.46965
"tza",1950,97.2813
"tza",1955,98.14581
"tza",1960,98.97837
"tza",1965,99.6993
"tza",1970,99.91052
"tza",1975,100.11905
"tza",1980,100.35746
"tza",1985,100.63459
"tza",1990,100.78892
"tza",1995,100.84905
"tza",2000,101.03973
"tza",2005,99.57177
"tza",2010,100.68404
"tza",2015,101.04083
"tza",2020,101.7928
"tza",2025,101.77497
"tza",2030,101.75195
"tza",2035,101.85905
"tza",2040,101.96937
"tza",2045,102.05724
"tza",2050,102.14899
"tza",2055,102.24412
"tza",2060,102.34195
"tza",2065,102.43376
"tza",2070,102.49506
"tza",2075,102.52848
"tza",2080,102.55206
"tza",2085,102.56525
"tza",2090,102.58915
"tza",2095,102.60696
"tza",2100,102.62377
"uga",1950,101.3233
"uga",1955,100.60107
"uga",1960,100.10519
"uga",1965,99.95976
"uga",1970,100.3671
"uga",1975,100.67487
"uga",1980,100.8296
"uga",1985,100.87652
"uga",1990,100.92863
"uga",1995,100.98143
"uga",2000,101.0542
"uga",2005,101.18788
"uga",2010,101.44477
"uga",2015,101.62259
"uga",2020,101.56918
"uga",2025,101.47305
"uga",2030,101.4077
"uga",2035,101.44933
"uga",2040,101.52133
"uga",2045,101.65559
"uga",2050,101.84477
"uga",2055,102.01946
"uga",2060,102.15762
"uga",2065,102.25317
"uga",2070,102.32231
"uga",2075,102.37815
"uga",2080,102.42911
"uga",2085,102.4736
"uga",2090,102.5143
"uga",2095,102.55255
"uga",2100,102.58662
