"geo","time","sex_ratio_above_50_years"
"bdi",1950,81.36277
"bdi",1955,80.38552
"bdi",1960,79.85647
"bdi",1965,80.04765
"bdi",1970,80.14588
"bdi",1975,82.53332
"bdi",1980,81.36048
"bdi",1985,80.95253
"bdi",1990,81.32474
"bdi",1995,78.5776
"bdi",2000,84.1009
"bdi",2005,90.3367
"bdi",2010,94.94353
"bdi",2015,93.9759
"bdi",2020,91.70913
"bdi",2025,90.60531
"bdi",2030,91.22403
"bdi",2035,89.70896
"bdi",2040,87.24741
"bdi",2045,86.46246
"bdi",2050,86.52341
"bdi",2055,86.68757
"bdi",2060,87.14017
"bdi",2065,87.63435
"bdi",2070,87.88946
"bdi",2075,87.78482
"bdi",2080,87.3682
"bdi",2085,86.94814
"bdi",2090,86.56118
"bdi",2095,86.25023
"bdi",2100,86.06707
"cod",1950,70.88156
"cod",1955,70.48089
"cod",1960,71.45226
"cod",1965,72.70815
"cod",1970,74.17702
"cod",1975,75.74836
"cod",1980,77.41923
"cod",1985,79.16956
"cod",1990,80.88518
"cod",1995,82.68039
"cod",2000,84.43647
"cod",2005,86.38955
"cod",2010,88.09507
"cod",2015,89.52374
"cod",2020,90.6116
"cod",2025,91.40419
"cod",2030,91.95733
"cod",2035,92.33549
"cod",2040,92.57307
"cod",2045,92.6499
"cod",2050,92.53856
"cod",2055,92.30279
"cod",2060,92.02455
"cod",2065,91.69371
"cod",2070,91.26958
"cod",2075,90.81206
"cod",2080,90.40618
"cod",2085,90.06018
"cod",2090,89.79659
"cod",2095,89.6556
"cod",2100,89.68564
"ken",1950,84.01904
"ken",1955,87.26722
"ken",1960,92.08678
"ken",1965,95.86991
"ken",1970,97.87723
"ken",1975,99.11628
"ken",1980,98.72896
"ken",1985,97.17279
"ken",1990,94.69382
"ken",1995,92.21869
"ken",2000,89.31017
"ken",2005,86.70919
"ken",2010,85.17931
"ken",2015,84.70677
"ken",2020,85.44873
"ken",2025,86.86818
"ken",2030,88.16638
"ken",2035,89.14044
"ken",2040,89.87339
"ken",2045,90.33735
"ken",2050,90.71737
"ken",2055,91.00089
"ken",2060,91.22997
"ken",2065,91.29043
"ken",2070,91.29417
"ken",2075,91.3521
"ken",2080,91.44313
"ken",2085,91.53067
"ken",2090,91.60281
"ken",2095,91.68471
"ken",2100,91.79475
"rwa",1950,87.0198
"rwa",1955,85.03994
"rwa",1960,81.74648
"rwa",1965,76.93019
"rwa",1970,76.46084
"rwa",1975,79.35459
"rwa",1980,83.99393
"rwa",1985,87.01458
"rwa",1990,88.98839
"rwa",1995,80.64768
"rwa",2000,80.89235
"rwa",2005,81.82093
"rwa",2010,84.76942
"rwa",2015,89.18788
"rwa",2020,90.50718
"rwa",2025,88.65053
"rwa",2030,87.43931
"rwa",2035,85.25292
"rwa",2040,86.49719
"rwa",2045,85.71868
"rwa",2050,85.79969
"rwa",2055,85.92027
"rwa",2060,86.22356
"rwa",2065,86.5605
"rwa",2070,86.8643
"rwa",2075,87.25248
"rwa",2080,87.64403
"rwa",2085,88.02524
"rwa",2090,88.35596
"rwa",2095,88.63976
"rwa",2100,88.90678
"ssd",1950,109.12964
"ssd",1955,103.29898
"ssd",1960,99.4823
"ssd",1965,96.61271
"ssd",1970,95.34465
"ssd",1975,94.72365
"ssd",1980,93.58032
"ssd",1985,92.07007
"ssd",1990,91.63073
"ssd",1995,91.68085
"ssd",2000,91.67269
"ssd",2005,90.83786
"ssd",2010,90.7155
"ssd",2015,91.08435
"ssd",2020,91.74314
"ssd",2025,92.42481
"ssd",2030,92.94088
"ssd",2035,93.35107
"ssd",2040,93.71629
"ssd",2045,93.97275
"ssd",2050,94.05797
"ssd",2055,93.87414
"ssd",2060,93.49077
"ssd",2065,92.95039
"ssd",2070,92.22063
"ssd",2075,91.50288
"ssd",2080,90.74939
"ssd",2085,89.99796
"ssd",2090,89.29636
"ssd",2095,88.72072
"ssd",2100,88.3163
"tza",1950,84.53052
"tza",1955,84.75115
"tza",1960,85.03918
"tza",1965,85.37113
"tza",1970,85.70067
"tza",1975,86.04775
"tza",1980,86.36038
"tza",1985,86.55996
"tza",1990,86.32474
"tza",1995,85.52616
"tza",2000,84.4955
"tza",2005,86.96002
"tza",2010,86.65402
"tza",2015,86.15042
"tza",2020,87.50274
"tza",2025,89.09907
"tza",2030,89.72186
"tza",2035,89.49472
"tza",2040,88.87894
"tza",2045,88.63768
"tza",2050,89.34635
"tza",2055,89.32335
"tza",2060,90.01261
"tza",2065,90.6841
"tza",2070,91.10927
"tza",2075,91.46333
"tza",2080,91.80238
"tza",2085,92.08875
"tza",2090,92.33152
"tza",2095,92.53299
"tza",2100,92.70526
"uga",1950,92.45154
"uga",1955,91.41068
"uga",1960,90.82831
"uga",1965,90.86179
"uga",1970,91.1249
"uga",1975,90.97906
"uga",1980,90.83137
"uga",1985,90.38698
"uga",1990,88.83852
"uga",1995,85.96316
"uga",2000,82.39426
"uga",2005,79.24664
"uga",2010,78.02892
"uga",2015,78.6037
"uga",2020,81.32621
"uga",2025,84.55476
"uga",2030,87.07171
"uga",2035,88.89525
"uga",2040,90.14075
"uga",2045,90.98915
"uga",2050,91.52209
"uga",2055,91.98698
"uga",2060,92.40229
"uga",2065,92.74216
"uga",2070,92.98074
"uga",2075,93.25579
"uga",2080,93.52183
"uga",2085,93.74824
"uga",2090,93.96222
"uga",2095,94.16878
"uga",2100,94.43111
