"geo","time","sex_ratio_all_age_groups"
"bdi",1950,91.88306
"bdi",1955,92.61245
"bdi",1960,93.31612
"bdi",1965,93.99749
"bdi",1970,94.51178
"bdi",1975,94.15523
"bdi",1980,94.09358
"bdi",1985,94.16053
"bdi",1990,95.36873
"bdi",1995,94.76409
"bdi",2000,96.34043
"bdi",2005,96.76549
"bdi",2010,96.48142
"bdi",2015,96.74531
"bdi",2020,97.11056
"bdi",2025,97.35325
"bdi",2030,97.51547
"bdi",2035,97.63545
"bdi",2040,97.73177
"bdi",2045,97.80146
"bdi",2050,97.83334
"bdi",2055,97.82119
"bdi",2060,97.76306
"bdi",2065,97.68549
"bdi",2070,97.59282
"bdi",2075,97.4734
"bdi",2080,97.32007
"bdi",2085,97.14817
"bdi",2090,96.95991
"bdi",2095,96.77861
"bdi",2100,96.63209
"cod",1950,88.11902
"cod",1955,89.86678
"cod",1960,91.44635
"cod",1965,92.83696
"cod",1970,94.04708
"cod",1975,95.1017
"cod",1980,95.99535
"cod",1985,96.76782
"cod",1990,97.41206
"cod",1995,97.95832
"cod",2000,98.36805
"cod",2005,98.75831
"cod",2010,99.13452
"cod",2015,99.46475
"cod",2020,99.68552
"cod",2025,99.81806
"cod",2030,99.87729
"cod",2035,99.87349
"cod",2040,99.81887
"cod",2045,99.71809
"cod",2050,99.58083
"cod",2055,99.41121
"cod",2060,99.22492
"cod",2065,99.02257
"cod",2070,98.80625
"cod",2075,98.58356
"cod",2080,98.36303
"cod",2085,98.14448
"cod",2090,97.94306
"cod",2095,97.77365
"cod",2100,97.65934
"ken",1950,101.73589
"ken",1955,101.10424
"ken",1960,100.61135
"ken",1965,99.97357
"ken",1970,99.52658
"ken",1975,99.25214
"ken",1980,99.18671
"ken",1985,99.20954
"ken",1990,99.11483
"ken",1995,98.85754
"ken",2000,98.65958
"ken",2005,98.73728
"ken",2010,98.8345
"ken",2015,98.81216
"ken",2020,98.8052
"ken",2025,98.81637
"ken",2030,98.86936
"ken",2035,98.93328
"ken",2040,98.9802
"ken",2045,99.0112
"ken",2050,99.00862
"ken",2055,98.97306
"ken",2060,98.90951
"ken",2065,98.8208
"ken",2070,98.70492
"ken",2075,98.59311
"ken",2080,98.4823
"ken",2085,98.36938
"ken",2090,98.25813
"ken",2095,98.157
"ken",2100,98.07138
"rwa",1950,96.64004
"rwa",1955,96.42725
"rwa",1960,96.37098
"rwa",1965,96.24797
"rwa",1970,96.40183
"rwa",1975,96.50367
"rwa",1980,96.71693
"rwa",1985,96.97881
"rwa",1990,97.1073
"rwa",1995,94.20996
"rwa",2000,95.2374
"rwa",2005,95.5994
"rwa",2010,95.93067
"rwa",2015,96.16947
"rwa",2020,96.27649
"rwa",2025,96.43
"rwa",2030,96.54353
"rwa",2035,96.61561
"rwa",2040,96.64358
"rwa",2045,96.63792
"rwa",2050,96.60838
"rwa",2055,96.56951
"rwa",2060,96.53689
"rwa",2065,96.50494
"rwa",2070,96.46535
"rwa",2075,96.42592
"rwa",2080,96.38573
"rwa",2085,96.33175
"rwa",2090,96.26503
"rwa",2095,96.2059
"rwa",2100,96.17495
"ssd",1950,104.07803
"ssd",1955,102.16746
"ssd",1960,100.91819
"ssd",1965,100.05075
"ssd",1970,99.48157
"ssd",1975,99.13096
"ssd",1980,98.92224
"ssd",1985,98.81352
"ssd",1990,98.83117
"ssd",1995,98.99092
"ssd",2000,99.2468
"ssd",2005,99.57485
"ssd",2010,99.94649
"ssd",2015,100.30362
"ssd",2020,100.56742
"ssd",2025,100.76344
"ssd",2030,100.89791
"ssd",2035,100.97376
"ssd",2040,100.98835
"ssd",2045,100.94869
"ssd",2050,100.85002
"ssd",2055,100.70017
"ssd",2060,100.49038
"ssd",2065,100.24289
"ssd",2070,99.961
"ssd",2075,99.66333
"ssd",2080,99.34402
"ssd",2085,99.01796
"ssd",2090,98.6967
"ssd",2095,98.399
"ssd",2100,98.14308
"tza",1950,95.22919
"tza",1955,95.624
"tza",1960,96.02178
"tza",1965,96.39007
"tza",1970,96.75915
"tza",1975,97.12518
"tza",1980,97.47486
"tza",1985,97.7793
"tza",1990,97.88847
"tza",1995,97.85888
"tza",2000,97.97613
"tza",2005,97.34981
"tza",2010,97.43281
"tza",2015,97.70229
"tza",2020,98.04676
"tza",2025,98.35691
"tza",2030,98.63531
"tza",2035,98.85799
"tza",2040,99.01616
"tza",2045,99.11877
"tza",2050,99.19195
"tza",2055,99.28866
"tza",2060,99.37075
"tza",2065,99.44142
"tza",2070,99.48347
"tza",2075,99.49617
"tza",2080,99.4915
"tza",2085,99.4663
"tza",2090,99.42497
"tza",2095,99.37369
"tza",2100,99.31779
"uga",1950,99.48761
"uga",1955,99.0489
"uga",1960,98.83937
"uga",1965,98.76812
"uga",1970,98.82903
"uga",1975,98.92457
"uga",1980,98.99987
"uga",1985,98.99109
"uga",1990,98.58816
"uga",1995,97.97333
"uga",2000,97.77257
"uga",2005,98.07179
"uga",2010,98.62919
"uga",2015,98.90652
"uga",2020,99.05536
"uga",2025,99.19366
"uga",2030,99.31304
"uga",2035,99.39088
"uga",2040,99.44595
"uga",2045,99.4799
"uga",2050,99.50464
"uga",2055,99.52474
"uga",2060,99.53822
"uga",2065,99.56009
"uga",2070,99.59511
"uga",2075,99.63759
"uga",2080,99.68009
"uga",2085,99.70137
"uga",2090,99.7027
"uga",2095,99.6897
"uga",2100,99.68688
