"geo","time","stomach_cancer_deaths_per_100000_men"
"bdi",1990,20.13
"bdi",1991,19.87
"bdi",1992,19.65
"bdi",1993,19.58
"bdi",1994,19.56
"bdi",1995,19.79
"bdi",1996,19.37
"bdi",1997,18.74
"bdi",1998,18.16
"bdi",1999,16.89
"bdi",2000,16.3
"bdi",2001,15.03
"bdi",2002,14.44
"bdi",2003,13.97
"bdi",2004,13.81
"bdi",2005,13.69
"bdi",2006,13.39
"bdi",2007,13.14
"bdi",2008,12.86
"bdi",2009,12.53
"bdi",2010,12.51
"bdi",2011,12.51
"bdi",2012,12.46
"bdi",2013,12.33
"bdi",2014,12.21
"bdi",2015,12.08
"bdi",2016,11.96
"cod",1990,14.63
"cod",1991,14.71
"cod",1992,14.69
"cod",1993,14.39
"cod",1994,14.47
"cod",1995,14.64
"cod",1996,14.98
"cod",1997,14.62
"cod",1998,14.66
"cod",1999,14.47
"cod",2000,14.28
"cod",2001,14.24
"cod",2002,13.85
"cod",2003,14.14
"cod",2004,13.66
"cod",2005,13.38
"cod",2006,13.25
"cod",2007,13.16
"cod",2008,13.35
"cod",2009,13.29
"cod",2010,13.16
"cod",2011,13.11
"cod",2012,13.03
"cod",2013,12.76
"cod",2014,12.57
"cod",2015,12.41
"cod",2016,12.25
"ken",1990,13.81
"ken",1991,14.14
"ken",1992,14.63
"ken",1993,14.96
"ken",1994,14.98
"ken",1995,15.01
"ken",1996,15.26
"ken",1997,15.36
"ken",1998,15.85
"ken",1999,15.63
"ken",2000,15.97
"ken",2001,15.06
"ken",2002,15.51
"ken",2003,15.69
"ken",2004,15.63
"ken",2005,15.41
"ken",2006,15.27
"ken",2007,15.12
"ken",2008,14.96
"ken",2009,14.83
"ken",2010,14.6
"ken",2011,14.6
"ken",2012,14.55
"ken",2013,14.31
"ken",2014,14.19
"ken",2015,14.05
"ken",2016,14.01
"rwa",1990,15.16
"rwa",1991,15.67
"rwa",1992,16.33
"rwa",1993,16.78
"rwa",1994,17.43
"rwa",1995,18.04
"rwa",1996,18.02
"rwa",1997,17.97
"rwa",1998,17.38
"rwa",1999,15.88
"rwa",2000,14.55
"rwa",2001,13.39
"rwa",2002,12.76
"rwa",2003,12.2
"rwa",2004,11.84
"rwa",2005,11.46
"rwa",2006,11.31
"rwa",2007,11.09
"rwa",2008,10.8
"rwa",2009,10.52
"rwa",2010,10.24
"rwa",2011,9.99
"rwa",2012,9.76
"rwa",2013,9.59
"rwa",2014,9.42
"rwa",2015,9.29
"rwa",2016,9.21
"ssd",1990,10.57
"ssd",1991,10.56
"ssd",1992,10.82
"ssd",1993,11.17
"ssd",1994,11.46
"ssd",1995,11.73
"ssd",1996,11.89
"ssd",1997,11.79
"ssd",1998,11.83
"ssd",1999,11.61
"ssd",2000,11.33
"ssd",2001,10.85
"ssd",2002,10.52
"ssd",2003,10.42
"ssd",2004,10.44
"ssd",2005,10.49
"ssd",2006,10.59
"ssd",2007,10.56
"ssd",2008,10.41
"ssd",2009,10.23
"ssd",2010,9.97
"ssd",2011,9.81
"ssd",2012,9.85
"ssd",2013,9.86
"ssd",2014,9.9
"ssd",2015,9.92
"ssd",2016,9.94
"tza",1990,14.62
"tza",1991,14.49
"tza",1992,14.59
"tza",1993,14.52
"tza",1994,14.73
"tza",1995,14.37
"tza",1996,14.24
"tza",1997,14.06
"tza",1998,14.02
"tza",1999,13.97
"tza",2000,13.65
"tza",2001,13.21
"tza",2002,12.94
"tza",2003,12.75
"tza",2004,12.65
"tza",2005,12.67
"tza",2006,12.55
"tza",2007,12.32
"tza",2008,12.21
"tza",2009,12.12
"tza",2010,12.08
"tza",2011,11.95
"tza",2012,11.87
"tza",2013,11.81
"tza",2014,11.59
"tza",2015,11.43
"tza",2016,11.31
"uga",1990,14.57
"uga",1991,14.73
"uga",1992,14.78
"uga",1993,15.35
"uga",1994,15.45
"uga",1995,15.49
"uga",1996,14.57
"uga",1997,13.63
"uga",1998,12.94
"uga",1999,12.72
"uga",2000,12.57
"uga",2001,12.02
"uga",2002,12.09
"uga",2003,11.89
"uga",2004,11.85
"uga",2005,11.56
"uga",2006,11.56
"uga",2007,11.53
"uga",2008,11.29
"uga",2009,11.13
"uga",2010,10.66
"uga",2011,10.45
"uga",2012,10.17
"uga",2013,10.12
"uga",2014,10.04
"uga",2015,9.89
"uga",2016,9.8
