"geo","time","stomach_cancer_deaths_per_100000_women"
"bdi",1990,12.85
"bdi",1991,12.85
"bdi",1992,12.87
"bdi",1993,12.89
"bdi",1994,12.93
"bdi",1995,12.98
"bdi",1996,13.12
"bdi",1997,12.92
"bdi",1998,12.75
"bdi",1999,12.21
"bdi",2000,11.77
"bdi",2001,11
"bdi",2002,10.42
"bdi",2003,9.99
"bdi",2004,9.7
"bdi",2005,9.38
"bdi",2006,9.03
"bdi",2007,8.64
"bdi",2008,8.37
"bdi",2009,8.17
"bdi",2010,8.09
"bdi",2011,8.04
"bdi",2012,7.96
"bdi",2013,7.86
"bdi",2014,7.76
"bdi",2015,7.66
"bdi",2016,7.56
"cod",1990,8.34
"cod",1991,8.36
"cod",1992,8.32
"cod",1993,8.2
"cod",1994,8.28
"cod",1995,8.4
"cod",1996,9.05
"cod",1997,8.3
"cod",1998,8.42
"cod",1999,8.14
"cod",2000,8.12
"cod",2001,8.38
"cod",2002,8.24
"cod",2003,8.36
"cod",2004,8.15
"cod",2005,7.95
"cod",2006,7.98
"cod",2007,8.05
"cod",2008,8.05
"cod",2009,7.94
"cod",2010,7.78
"cod",2011,7.7
"cod",2012,7.66
"cod",2013,7.47
"cod",2014,7.32
"cod",2015,7.18
"cod",2016,7.05
"ken",1990,9.96
"ken",1991,10.02
"ken",1992,10.27
"ken",1993,10.39
"ken",1994,10.61
"ken",1995,10.59
"ken",1996,10.34
"ken",1997,10.54
"ken",1998,10.48
"ken",1999,10.13
"ken",2000,9.96
"ken",2001,10.22
"ken",2002,10.08
"ken",2003,10.05
"ken",2004,9.74
"ken",2005,9.29
"ken",2006,8.92
"ken",2007,8.75
"ken",2008,8.64
"ken",2009,8.5
"ken",2010,8.36
"ken",2011,8.26
"ken",2012,8.1
"ken",2013,7.98
"ken",2014,7.87
"ken",2015,7.78
"ken",2016,7.78
"rwa",1990,10.48
"rwa",1991,10.81
"rwa",1992,10.55
"rwa",1993,10.35
"rwa",1994,10.35
"rwa",1995,10.31
"rwa",1996,10.28
"rwa",1997,10.11
"rwa",1998,9.96
"rwa",1999,9.55
"rwa",2000,8.89
"rwa",2001,8.18
"rwa",2002,7.5
"rwa",2003,6.98
"rwa",2004,6.49
"rwa",2005,6.04
"rwa",2006,5.81
"rwa",2007,5.56
"rwa",2008,5.42
"rwa",2009,5.34
"rwa",2010,5.3
"rwa",2011,5.2
"rwa",2012,5.07
"rwa",2013,5.04
"rwa",2014,4.98
"rwa",2015,4.93
"rwa",2016,4.91
"ssd",1990,5.78
"ssd",1991,5.83
"ssd",1992,6.02
"ssd",1993,6.22
"ssd",1994,6.42
"ssd",1995,6.6
"ssd",1996,6.72
"ssd",1997,6.7
"ssd",1998,6.76
"ssd",1999,6.65
"ssd",2000,6.47
"ssd",2001,6.17
"ssd",2002,5.94
"ssd",2003,5.86
"ssd",2004,5.81
"ssd",2005,5.76
"ssd",2006,5.74
"ssd",2007,5.69
"ssd",2008,5.59
"ssd",2009,5.5
"ssd",2010,5.38
"ssd",2011,5.32
"ssd",2012,5.35
"ssd",2013,5.39
"ssd",2014,5.44
"ssd",2015,5.48
"ssd",2016,5.52
"tza",1990,8.87
"tza",1991,8.79
"tza",1992,8.93
"tza",1993,8.99
"tza",1994,9.23
"tza",1995,9.32
"tza",1996,9.28
"tza",1997,9.37
"tza",1998,9.51
"tza",1999,9.16
"tza",2000,8.7
"tza",2001,8.09
"tza",2002,7.61
"tza",2003,7.53
"tza",2004,7.29
"tza",2005,7.1
"tza",2006,6.92
"tza",2007,6.8
"tza",2008,6.65
"tza",2009,6.56
"tza",2010,6.41
"tza",2011,6.31
"tza",2012,6.24
"tza",2013,6.28
"tza",2014,6.22
"tza",2015,6.15
"tza",2016,6.04
"uga",1990,8.14
"uga",1991,8.12
"uga",1992,8.42
"uga",1993,8.93
"uga",1994,9.28
"uga",1995,9.05
"uga",1996,8.6
"uga",1997,8.4
"uga",1998,8.38
"uga",1999,8.33
"uga",2000,8.5
"uga",2001,8.34
"uga",2002,8.17
"uga",2003,7.86
"uga",2004,7.67
"uga",2005,7.17
"uga",2006,6.82
"uga",2007,6.41
"uga",2008,5.98
"uga",2009,5.72
"uga",2010,5.52
"uga",2011,5.37
"uga",2012,5.24
"uga",2013,5.23
"uga",2014,5.17
"uga",2015,5.06
"uga",2016,4.99
