"geo","time","stomach_cancer_new_cases_per_100000_men"
"bdi",1990,17.72
"bdi",1991,17.6
"bdi",1992,17.48
"bdi",1993,17.47
"bdi",1994,17.48
"bdi",1995,17.69
"bdi",1996,17.38
"bdi",1997,16.87
"bdi",1998,16.38
"bdi",1999,15.46
"bdi",2000,14.95
"bdi",2001,13.82
"bdi",2002,13.16
"bdi",2003,12.6
"bdi",2004,12.22
"bdi",2005,11.93
"bdi",2006,11.48
"bdi",2007,11.12
"bdi",2008,10.77
"bdi",2009,10.43
"bdi",2010,10.27
"bdi",2011,10.14
"bdi",2012,10.02
"bdi",2013,9.89
"bdi",2014,9.77
"bdi",2015,9.69
"bdi",2016,9.63
"cod",1990,13.24
"cod",1991,13.26
"cod",1992,13.26
"cod",1993,13.07
"cod",1994,13.24
"cod",1995,13.34
"cod",1996,13.68
"cod",1997,13.49
"cod",1998,13.52
"cod",1999,13.32
"cod",2000,13.27
"cod",2001,13.15
"cod",2002,12.77
"cod",2003,12.92
"cod",2004,12.5
"cod",2005,12.21
"cod",2006,12.04
"cod",2007,11.93
"cod",2008,11.96
"cod",2009,11.82
"cod",2010,11.69
"cod",2011,11.54
"cod",2012,11.34
"cod",2013,11.04
"cod",2014,10.78
"cod",2015,10.53
"cod",2016,10.33
"ken",1990,14.38
"ken",1991,14.48
"ken",1992,14.71
"ken",1993,14.84
"ken",1994,14.75
"ken",1995,14.69
"ken",1996,14.82
"ken",1997,14.88
"ken",1998,15.22
"ken",1999,15.12
"ken",2000,15.35
"ken",2001,14.48
"ken",2002,14.89
"ken",2003,14.95
"ken",2004,14.92
"ken",2005,14.71
"ken",2006,14.54
"ken",2007,14.34
"ken",2008,14.14
"ken",2009,13.96
"ken",2010,13.69
"ken",2011,13.5
"ken",2012,13.34
"ken",2013,13.06
"ken",2014,12.87
"ken",2015,12.66
"ken",2016,12.46
"rwa",1990,14.4
"rwa",1991,14.86
"rwa",1992,15.65
"rwa",1993,16.32
"rwa",1994,17.15
"rwa",1995,17.92
"rwa",1996,17.77
"rwa",1997,17.42
"rwa",1998,16.43
"rwa",1999,14.71
"rwa",2000,13.17
"rwa",2001,11.78
"rwa",2002,10.87
"rwa",2003,10.06
"rwa",2004,9.45
"rwa",2005,8.94
"rwa",2006,8.58
"rwa",2007,8.28
"rwa",2008,7.99
"rwa",2009,7.72
"rwa",2010,7.49
"rwa",2011,7.3
"rwa",2012,7.14
"rwa",2013,7.02
"rwa",2014,6.9
"rwa",2015,6.8
"rwa",2016,6.74
"ssd",1990,10.25
"ssd",1991,10.26
"ssd",1992,10.28
"ssd",1993,10.31
"ssd",1994,10.35
"ssd",1995,10.41
"ssd",1996,10.4
"ssd",1997,10.39
"ssd",1998,10.37
"ssd",1999,10.23
"ssd",2000,10.09
"ssd",2001,9.92
"ssd",2002,9.78
"ssd",2003,9.65
"ssd",2004,9.52
"ssd",2005,9.4
"ssd",2006,9.28
"ssd",2007,9.15
"ssd",2008,9.04
"ssd",2009,8.95
"ssd",2010,8.87
"ssd",2011,8.82
"ssd",2012,8.78
"ssd",2013,8.72
"ssd",2014,8.69
"ssd",2015,8.66
"ssd",2016,8.63
"tza",1990,11.14
"tza",1991,11.06
"tza",1992,11.13
"tza",1993,11.07
"tza",1994,11.19
"tza",1995,10.97
"tza",1996,10.84
"tza",1997,10.69
"tza",1998,10.61
"tza",1999,10.56
"tza",2000,10.35
"tza",2001,10.06
"tza",2002,9.84
"tza",2003,9.63
"tza",2004,9.5
"tza",2005,9.45
"tza",2006,9.28
"tza",2007,9.1
"tza",2008,8.99
"tza",2009,8.9
"tza",2010,8.85
"tza",2011,8.7
"tza",2012,8.59
"tza",2013,8.48
"tza",2014,8.3
"tza",2015,8.16
"tza",2016,8.05
"uga",1990,12
"uga",1991,12.03
"uga",1992,12.18
"uga",1993,12.69
"uga",1994,12.79
"uga",1995,12.89
"uga",1996,12.1
"uga",1997,11.37
"uga",1998,10.82
"uga",1999,10.71
"uga",2000,10.64
"uga",2001,10.11
"uga",2002,10.21
"uga",2003,10.04
"uga",2004,9.97
"uga",2005,9.69
"uga",2006,9.56
"uga",2007,9.43
"uga",2008,9.14
"uga",2009,8.91
"uga",2010,8.51
"uga",2011,8.24
"uga",2012,7.94
"uga",2013,7.81
"uga",2014,7.7
"uga",2015,7.58
"uga",2016,7.49
