"geo","time","stomach_cancer_new_cases_per_100000_women"
"bdi",1990,11.61
"bdi",1991,11.65
"bdi",1992,11.7
"bdi",1993,11.75
"bdi",1994,11.8
"bdi",1995,11.85
"bdi",1996,11.96
"bdi",1997,11.81
"bdi",1998,11.68
"bdi",1999,11.33
"bdi",2000,10.99
"bdi",2001,10.32
"bdi",2002,9.75
"bdi",2003,9.28
"bdi",2004,8.91
"bdi",2005,8.54
"bdi",2006,8.13
"bdi",2007,7.74
"bdi",2008,7.43
"bdi",2009,7.22
"bdi",2010,7.07
"bdi",2011,6.95
"bdi",2012,6.84
"bdi",2013,6.74
"bdi",2014,6.64
"bdi",2015,6.56
"bdi",2016,6.5
"cod",1990,7.63
"cod",1991,7.6
"cod",1992,7.56
"cod",1993,7.5
"cod",1994,7.59
"cod",1995,7.65
"cod",1996,8.14
"cod",1997,7.63
"cod",1998,7.7
"cod",1999,7.44
"cod",2000,7.46
"cod",2001,7.58
"cod",2002,7.43
"cod",2003,7.46
"cod",2004,7.27
"cod",2005,7.09
"cod",2006,7.07
"cod",2007,7.11
"cod",2008,7.06
"cod",2009,6.95
"cod",2010,6.81
"cod",2011,6.69
"cod",2012,6.58
"cod",2013,6.37
"cod",2014,6.19
"cod",2015,6.01
"cod",2016,5.85
"ken",1990,11.09
"ken",1991,11.01
"ken",1992,11.1
"ken",1993,11.1
"ken",1994,11.18
"ken",1995,11.07
"ken",1996,10.8
"ken",1997,10.9
"ken",1998,10.81
"ken",1999,10.54
"ken",2000,10.34
"ken",2001,10.67
"ken",2002,10.52
"ken",2003,10.43
"ken",2004,10.17
"ken",2005,9.78
"ken",2006,9.43
"ken",2007,9.24
"ken",2008,9.1
"ken",2009,8.94
"ken",2010,8.77
"ken",2011,8.59
"ken",2012,8.4
"ken",2013,8.24
"ken",2014,8.1
"ken",2015,7.97
"ken",2016,7.83
"rwa",1990,9.76
"rwa",1991,10.02
"rwa",1992,9.9
"rwa",1993,9.86
"rwa",1994,9.97
"rwa",1995,10.03
"rwa",1996,9.94
"rwa",1997,9.65
"rwa",1998,9.28
"rwa",1999,8.72
"rwa",2000,7.97
"rwa",2001,7.19
"rwa",2002,6.48
"rwa",2003,5.93
"rwa",2004,5.43
"rwa",2005,5
"rwa",2006,4.73
"rwa",2007,4.49
"rwa",2008,4.34
"rwa",2009,4.23
"rwa",2010,4.16
"rwa",2011,4.07
"rwa",2012,3.96
"rwa",2013,3.92
"rwa",2014,3.86
"rwa",2015,3.82
"rwa",2016,3.79
"ssd",1990,5.78
"ssd",1991,5.82
"ssd",1992,5.87
"ssd",1993,5.93
"ssd",1994,6
"ssd",1995,6.07
"ssd",1996,6.09
"ssd",1997,6.12
"ssd",1998,6.13
"ssd",1999,6.05
"ssd",2000,5.93
"ssd",2001,5.79
"ssd",2002,5.67
"ssd",2003,5.56
"ssd",2004,5.44
"ssd",2005,5.33
"ssd",2006,5.22
"ssd",2007,5.12
"ssd",2008,5.05
"ssd",2009,4.99
"ssd",2010,4.95
"ssd",2011,4.93
"ssd",2012,4.91
"ssd",2013,4.9
"ssd",2014,4.9
"ssd",2015,4.9
"ssd",2016,4.9
"tza",1990,6.62
"tza",1991,6.56
"tza",1992,6.64
"tza",1993,6.67
"tza",1994,6.8
"tza",1995,6.86
"tza",1996,6.82
"tza",1997,6.85
"tza",1998,6.91
"tza",1999,6.71
"tza",2000,6.43
"tza",2001,6.08
"tza",2002,5.77
"tza",2003,5.68
"tza",2004,5.5
"tza",2005,5.36
"tza",2006,5.2
"tza",2007,5.1
"tza",2008,4.98
"tza",2009,4.9
"tza",2010,4.79
"tza",2011,4.69
"tza",2012,4.61
"tza",2013,4.58
"tza",2014,4.52
"tza",2015,4.44
"tza",2016,4.34
"uga",1990,6.81
"uga",1991,6.7
"uga",1992,6.99
"uga",1993,7.49
"uga",1994,7.83
"uga",1995,7.72
"uga",1996,7.38
"uga",1997,7.3
"uga",1998,7.35
"uga",1999,7.44
"uga",2000,7.68
"uga",2001,7.57
"uga",2002,7.48
"uga",2003,7.22
"uga",2004,7.02
"uga",2005,6.52
"uga",2006,6.13
"uga",2007,5.71
"uga",2008,5.29
"uga",2009,5.01
"uga",2010,4.79
"uga",2011,4.6
"uga",2012,4.45
"uga",2013,4.37
"uga",2014,4.29
"uga",2015,4.19
"uga",2016,4.12
