"geo","time","stomach_cancer_number_of_female_deaths"
"bdi",1990,147.65
"bdi",1991,149.93
"bdi",1992,152.77
"bdi",1993,155.58
"bdi",1994,158.58
"bdi",1995,161.62
"bdi",1996,165.1
"bdi",1997,163.14
"bdi",1998,161.69
"bdi",1999,156.01
"bdi",2000,151.95
"bdi",2001,143.81
"bdi",2002,138.84
"bdi",2003,136.45
"bdi",2004,136.33
"bdi",2005,135.67
"bdi",2006,133.89
"bdi",2007,131.51
"bdi",2008,130.89
"bdi",2009,131.94
"bdi",2010,135.46
"bdi",2011,138.87
"bdi",2012,142.12
"bdi",2013,145.2
"bdi",2014,148.67
"bdi",2015,152.23
"bdi",2016,156.16
"cod",1990,601.48
"cod",1991,622.71
"cod",1992,639.69
"cod",1993,651.72
"cod",1994,679.19
"cod",1995,712.84
"cod",1996,790.27
"cod",1997,734.24
"cod",1998,761.24
"cod",1999,752.28
"cod",2000,769.88
"cod",2001,814.96
"cod",2002,821.59
"cod",2003,858.6
"cod",2004,859.48
"cod",2005,862.4
"cod",2006,888.75
"cod",2007,921.94
"cod",2008,949.02
"cod",2009,964.71
"cod",2010,973.99
"cod",2011,990.24
"cod",2012,1013.96
"cod",2013,1017.13
"cod",2014,1026.61
"cod",2015,1039.02
"cod",2016,1052.08
"ken",1990,382.88
"ken",1991,396.79
"ken",1992,420.67
"ken",1993,441.04
"ken",1994,466.87
"ken",1995,482.93
"ken",1996,487.08
"ken",1997,512.44
"ken",1998,525.62
"ken",1999,523.67
"ken",2000,530.54
"ken",2001,560.1
"ken",2002,567.86
"ken",2003,581.34
"ken",2004,578.46
"ken",2005,568.04
"ken",2006,557.53
"ken",2007,561.88
"ken",2008,572.04
"ken",2009,581.51
"ken",2010,593.8
"ken",2011,607.3
"ken",2012,618.16
"ken",2013,633.72
"ken",2014,652.32
"ken",2015,673.28
"ken",2016,698.41
"rwa",1990,126.21
"rwa",1991,127.1
"rwa",1992,118.88
"rwa",1993,111.65
"rwa",1994,108.47
"rwa",1995,107.03
"rwa",1996,114.03
"rwa",1997,120.54
"rwa",1998,129.9
"rwa",1999,134.11
"rwa",2000,132.16
"rwa",2001,125.61
"rwa",2002,119.1
"rwa",2003,113.16
"rwa",2004,107.78
"rwa",2005,103.07
"rwa",2006,102.3
"rwa",2007,100.92
"rwa",2008,101.42
"rwa",2009,103.06
"rwa",2010,105.71
"rwa",2011,106.96
"rwa",2012,107.81
"rwa",2013,111.92
"rwa",2014,115.74
"rwa",2015,120
"rwa",2016,124.24
"ssd",1990,64.84
"ssd",1991,65.11
"ssd",1992,66.29
"ssd",1993,67.55
"ssd",1994,69.34
"ssd",1995,71.52
"ssd",1996,74.48
"ssd",1997,76.69
"ssd",1998,81.5
"ssd",1999,84.51
"ssd",2000,86.5
"ssd",2001,85.59
"ssd",2002,85.54
"ssd",2003,88.14
"ssd",2004,91.14
"ssd",2005,94.36
"ssd",2006,98.1
"ssd",2007,101.5
"ssd",2008,104.43
"ssd",2009,107.89
"ssd",2010,110.91
"ssd",2011,114.14
"ssd",2012,119.87
"ssd",2013,125.82
"ssd",2014,132.42
"ssd",2015,139.01
"ssd",2016,144.94
"tza",1990,424.22
"tza",1991,433.2
"tza",1992,454.53
"tza",1993,473.84
"tza",1994,503.72
"tza",1995,526.19
"tza",1996,537.75
"tza",1997,557.18
"tza",1998,581.46
"tza",1999,573.64
"tza",2000,557.49
"tza",2001,528.11
"tza",2002,506.15
"tza",2003,512.52
"tza",2004,507.92
"tza",2005,508.23
"tza",2006,511.68
"tza",2007,519.75
"tza",2008,526.92
"tza",2009,539.12
"tza",2010,544.35
"tza",2011,553.46
"tza",2012,564.82
"tza",2013,587.37
"tza",2014,602.96
"tza",2015,616.82
"tza",2016,627.45
"uga",1990,248.3
"uga",1991,255.67
"uga",1992,275.05
"uga",1993,303.78
"uga",1994,326.51
"uga",1995,327.72
"uga",1996,318.3
"uga",1997,316.86
"uga",1998,323.16
"uga",1999,329.09
"uga",2000,345.07
"uga",2001,346.93
"uga",2002,348.19
"uga",2003,343.48
"uga",2004,344.71
"uga",2005,330.53
"uga",2006,321.94
"uga",2007,309.95
"uga",2008,295.63
"uga",2009,290.71
"uga",2010,288.65
"uga",2011,288.78
"uga",2012,290.11
"uga",2013,298.01
"uga",2014,303.93
"uga",2015,307.5
"uga",2016,312.07
