"geo","time","stomach_cancer_number_of_male_deaths"
"bdi",1990,179.13
"bdi",1991,178.94
"bdi",1992,178.95
"bdi",1993,180.14
"bdi",1994,181.7
"bdi",1995,185.8
"bdi",1996,184.5
"bdi",1997,180.83
"bdi",1998,178.2
"bdi",1999,168.82
"bdi",2000,167.28
"bdi",2001,157.46
"bdi",2002,155.71
"bdi",2003,156.06
"bdi",2004,160.4
"bdi",2005,165.58
"bdi",2006,167.54
"bdi",2007,170.13
"bdi",2008,172.6
"bdi",2009,174.78
"bdi",2010,182.29
"bdi",2011,188.42
"bdi",2012,194.4
"bdi",2013,198.87
"bdi",2014,204
"bdi",2015,209.16
"bdi",2016,214.75
"cod",1990,798.28
"cod",1991,833.82
"cod",1992,865.29
"cod",1993,876.2
"cod",1994,917.71
"cod",1995,967.82
"cod",1996,1026.87
"cod",1997,1020.76
"cod",1998,1051.71
"cod",1999,1066
"cod",2000,1084.96
"cod",2001,1112.97
"cod",2002,1110.09
"cod",2003,1177.83
"cod",2004,1169.76
"cod",2005,1181.38
"cod",2006,1205.03
"cod",2007,1235.71
"cod",2008,1302.59
"cod",2009,1342.06
"cod",2010,1376.99
"cod",2011,1417.1
"cod",2012,1454.95
"cod",2013,1469.61
"cod",2014,1496.62
"cod",2015,1527.31
"cod",2016,1560.7
"ken",1990,494.9
"ken",1991,520.4
"ken",1992,554.96
"ken",1993,585.34
"ken",1994,604.11
"ken",1995,623.38
"ken",1996,651.56
"ken",1997,672.68
"ken",1998,713.63
"ken",1999,721.47
"ken",2000,760.48
"ken",2001,730.23
"ken",2002,774.83
"ken",2003,809.17
"ken",2004,830.69
"ken",2005,842.8
"ken",2006,856.9
"ken",2007,872.2
"ken",2008,889.98
"ken",2009,911.25
"ken",2010,927.21
"ken",2011,955.96
"ken",2012,983.68
"ken",2013,999.48
"ken",2014,1027.15
"ken",2015,1056.96
"ken",2016,1091.27
"rwa",1990,142.26
"rwa",1991,143.46
"rwa",1992,143.22
"rwa",1993,139.74
"rwa",1994,139.12
"rwa",1995,140.24
"rwa",1996,152.41
"rwa",1997,165.92
"rwa",1998,176.96
"rwa",1999,173.72
"rwa",2000,168.17
"rwa",2001,157.93
"rwa",2002,154.08
"rwa",2003,148.06
"rwa",2004,144.84
"rwa",2005,141.9
"rwa",2006,142.9
"rwa",2007,143.08
"rwa",2008,141.5
"rwa",2009,140.19
"rwa",2010,139.44
"rwa",2011,138.78
"rwa",2012,139.2
"rwa",2013,141.91
"rwa",2014,145.26
"rwa",2015,149.55
"rwa",2016,154.44
"ssd",1990,100.33
"ssd",1991,99.96
"ssd",1992,101.17
"ssd",1993,102.78
"ssd",1994,104.64
"ssd",1995,107.39
"ssd",1996,111.28
"ssd",1997,113.82
"ssd",1998,120.32
"ssd",1999,124.58
"ssd",2000,128.3
"ssd",2001,127.58
"ssd",2002,128.61
"ssd",2003,133.26
"ssd",2004,139.56
"ssd",2005,146.53
"ssd",2006,154.52
"ssd",2007,161.14
"ssd",2008,166.5
"ssd",2009,172.21
"ssd",2010,176.77
"ssd",2011,181.94
"ssd",2012,191.32
"ssd",2013,200.46
"ssd",2014,210.57
"ssd",2015,220.36
"ssd",2016,229.21
"tza",1990,559.22
"tza",1991,572.7
"tza",1992,597.61
"tza",1993,616.28
"tza",1994,649.8
"tza",1995,653.68
"tza",1996,665.43
"tza",1997,674.07
"tza",1998,691.23
"tza",1999,710.21
"tza",2000,712.54
"tza",2001,717.31
"tza",2002,731.34
"tza",2003,754.58
"tza",2004,783.51
"tza",2005,821.83
"tza",2006,839.27
"tza",2007,850.47
"tza",2008,874.95
"tza",2009,902.05
"tza",2010,935.35
"tza",2011,956.42
"tza",2012,982.65
"tza",2013,1007.82
"tza",2014,1018.43
"tza",2015,1036.98
"tza",2016,1062.18
"uga",1990,372.74
"uga",1991,389.66
"uga",1992,401.82
"uga",1993,432.17
"uga",1994,447.22
"uga",1995,459.72
"uga",1996,440.96
"uga",1997,418.87
"uga",1998,406.31
"uga",1999,408.32
"uga",2000,414.31
"uga",2001,404.48
"uga",2002,419.94
"uga",2003,425.7
"uga",2004,437.62
"uga",2005,439.52
"uga",2006,451.65
"uga",2007,463.38
"uga",2008,466.12
"uga",2009,472.88
"uga",2010,465.85
"uga",2011,469.56
"uga",2012,470.54
"uga",2013,482.52
"uga",2014,493.61
"uga",2015,501.85
"uga",2016,513.79
