"geo","time","stomach_cancer_number_of_new_female_cases"
"bdi",1990,140.54
"bdi",1991,143.39
"bdi",1992,146.53
"bdi",1993,149.82
"bdi",1994,153.02
"bdi",1995,156.19
"bdi",1996,159.03
"bdi",1997,157.79
"bdi",1998,156.88
"bdi",1999,153.19
"bdi",2000,150.15
"bdi",2001,142.95
"bdi",2002,137.89
"bdi",2003,134.83
"bdi",2004,133.28
"bdi",2005,131.62
"bdi",2006,128.52
"bdi",2007,125.53
"bdi",2008,124.12
"bdi",2009,124.6
"bdi",2010,126.49
"bdi",2011,128.41
"bdi",2012,130.74
"bdi",2013,133.46
"bdi",2014,136.41
"bdi",2015,140.05
"bdi",2016,144.18
"cod",1990,594.56
"cod",1991,610.81
"cod",1992,627.88
"cod",1993,644.78
"cod",1994,675.85
"cod",1995,702.86
"cod",1996,767.96
"cod",1997,732.38
"cod",1998,754.15
"cod",1999,743.46
"cod",2000,763.75
"cod",2001,794.16
"cod",2002,797.35
"cod",2003,823.75
"cod",2004,825.54
"cod",2005,828.37
"cod",2006,848.82
"cod",2007,878.37
"cod",2008,898.86
"cod",2009,911.78
"cod",2010,922.18
"cod",2011,931.01
"cod",2012,941.55
"cod",2013,938
"cod",2014,937.66
"cod",2015,938.9
"cod",2016,942.85
"ken",1990,443.57
"ken",1991,454.02
"ken",1992,473.49
"ken",1993,490.98
"ken",1994,512.57
"ken",1995,526.37
"ken",1996,530.66
"ken",1997,553.04
"ken",1998,565.52
"ken",1999,568.23
"ken",2000,573.87
"ken",2001,608.94
"ken",2002,616.94
"ken",2003,627.43
"ken",2004,628.63
"ken",2005,621.78
"ken",2006,613.95
"ken",2007,617.53
"ken",2008,627.58
"ken",2009,637.72
"ken",2010,649.52
"ken",2011,658.88
"ken",2012,669.11
"ken",2013,683.79
"ken",2014,701.73
"ken",2015,721.01
"ken",2016,739.14
"rwa",1990,127.31
"rwa",1991,127.83
"rwa",1992,121.36
"rwa",1993,116.08
"rwa",1994,114.63
"rwa",1995,114.98
"rwa",1996,121.32
"rwa",1997,126.37
"rwa",1998,131.83
"rwa",1999,132.51
"rwa",2000,127.69
"rwa",2001,119.12
"rwa",2002,111.1
"rwa",2003,104.28
"rwa",2004,98
"rwa",2005,92.79
"rwa",2006,90.4
"rwa",2007,88.39
"rwa",2008,87.98
"rwa",2009,88.38
"rwa",2010,89.93
"rwa",2011,90.66
"rwa",2012,91.44
"rwa",2013,94.46
"rwa",2014,97.3
"rwa",2015,100.49
"rwa",2016,103.64
"ssd",1990,70.55
"ssd",1991,70.52
"ssd",1992,70.23
"ssd",1993,69.94
"ssd",1994,70.32
"ssd",1995,71.4
"ssd",1996,73.35
"ssd",1997,76.52
"ssd",1998,80.64
"ssd",1999,83.67
"ssd",2000,86.13
"ssd",2001,87.42
"ssd",2002,88.88
"ssd",2003,90.68
"ssd",2004,92.47
"ssd",2005,94.59
"ssd",2006,96.33
"ssd",2007,98.61
"ssd",2008,101.75
"ssd",2009,105.36
"ssd",2010,109.55
"ssd",2011,113.6
"ssd",2012,117.97
"ssd",2013,122.74
"ssd",2014,127.88
"ssd",2015,133.24
"ssd",2016,137.84
"tza",1990,338.71
"tza",1991,345.67
"tza",1992,361.1
"tza",1993,374.82
"tza",1994,395.6
"tza",1995,412.54
"tza",1996,420.47
"tza",1997,433.28
"tza",1998,448.93
"tza",1999,447.1
"tza",2000,439.22
"tza",2001,423.11
"tza",2002,410.06
"tza",2003,412.82
"tza",2004,410.34
"tza",2005,411.54
"tza",2006,411.39
"tza",2007,416.26
"tza",2008,421.11
"tza",2009,429.57
"tza",2010,433.68
"tza",2011,438.09
"tza",2012,444.3
"tza",2013,455.99
"tza",2014,464.86
"tza",2015,472.27
"tza",2016,477.82
"uga",1990,226.23
"uga",1991,228.86
"uga",1992,247.86
"uga",1993,275.76
"uga",1994,297.98
"uga",1995,302.38
"uga",1996,295.27
"uga",1997,298.16
"uga",1998,306.62
"uga",1999,317.64
"uga",2000,336.53
"uga",2001,339.8
"uga",2002,344.56
"uga",2003,341.59
"uga",2004,341.12
"uga",2005,325.46
"uga",2006,313.14
"uga",2007,298.43
"uga",2008,283.1
"uga",2009,275.23
"uga",2010,271.04
"uga",2011,267.59
"uga",2012,266.41
"uga",2013,269.31
"uga",2014,272.79
"uga",2015,275.48
"uga",2016,278.65
