"geo","time","stomach_cancer_number_of_new_male_cases"
"bdi",1990,167.42
"bdi",1991,168.49
"bdi",1992,169.42
"bdi",1993,171.13
"bdi",1994,173.02
"bdi",1995,177.01
"bdi",1996,176.4
"bdi",1997,173.68
"bdi",1998,171.49
"bdi",1999,165.04
"bdi",2000,163.77
"bdi",2001,154.78
"bdi",2002,151.75
"bdi",2003,150.53
"bdi",2004,151.76
"bdi",2005,154.05
"bdi",2006,153.28
"bdi",2007,153.86
"bdi",2008,154.52
"bdi",2009,155.69
"bdi",2010,160.14
"bdi",2011,163.39
"bdi",2012,167.3
"bdi",2013,171.06
"bdi",2014,175.23
"bdi",2015,180.32
"bdi",2016,185.9
"cod",1990,776.73
"cod",1991,806.65
"cod",1992,838.41
"cod",1993,856.24
"cod",1994,904.66
"cod",1995,948.15
"cod",1996,1005.59
"cod",1997,1013.05
"cod",1998,1040.73
"cod",1999,1051.28
"cod",2000,1077.8
"cod",2001,1096.52
"cod",2002,1091.43
"cod",2003,1144.23
"cod",2004,1138.28
"cod",2005,1146.94
"cod",2006,1163.51
"cod",2007,1189.88
"cod",2008,1237.82
"cod",2009,1266.57
"cod",2010,1297.43
"cod",2011,1322.64
"cod",2012,1341.55
"cod",2013,1347.39
"cod",2014,1358.78
"cod",2015,1373.24
"cod",2016,1391.95
"ken",1990,537.9
"ken",1991,555.91
"ken",1992,581.58
"ken",1993,604.92
"ken",1994,619.9
"ken",1995,635.83
"ken",1996,658.69
"ken",1997,677.77
"ken",1998,712.06
"ken",1999,725.14
"ken",2000,757.96
"ken",2001,728.56
"ken",2002,771.42
"ken",2003,798.44
"ken",2004,821.05
"ken",2005,833.91
"ken",2006,846.12
"ken",2007,858.57
"ken",2008,873.51
"ken",2009,891.92
"ken",2010,904.53
"ken",2011,921.16
"ken",2012,940.97
"ken",2013,952.77
"ken",2014,974.08
"ken",2015,996.87
"ken",2016,1019.5
"rwa",1990,149.82
"rwa",1991,150.61
"rwa",1992,151.73
"rwa",1993,150.12
"rwa",1994,151.14
"rwa",1995,154.03
"rwa",1996,164.75
"rwa",1997,175.2
"rwa",1998,179.95
"rwa",1999,171.75
"rwa",2000,161.46
"rwa",2001,147.25
"rwa",2002,138.88
"rwa",2003,129.65
"rwa",2004,123
"rwa",2005,117.61
"rwa",2006,115.05
"rwa",2007,113.27
"rwa",2008,111
"rwa",2009,109.22
"rwa",2010,108.63
"rwa",2011,108.5
"rwa",2012,109.36
"rwa",2013,111.78
"rwa",2014,114.59
"rwa",2015,117.94
"rwa",2016,121.65
"ssd",1990,103.28
"ssd",1991,102.89
"ssd",1992,101.87
"ssd",1993,100.98
"ssd",1994,100.73
"ssd",1995,101.7
"ssd",1996,104.15
"ssd",1997,108.24
"ssd",1998,113.57
"ssd",1999,118.1
"ssd",2000,122.54
"ssd",2001,125.28
"ssd",2002,128.36
"ssd",2003,131.81
"ssd",2004,135.65
"ssd",2005,140.08
"ssd",2006,144.06
"ssd",2007,148.43
"ssd",2008,153.77
"ssd",2009,159.76
"ssd",2010,166.42
"ssd",2011,173.08
"ssd",2012,180.08
"ssd",2013,187.22
"ssd",2014,194.87
"ssd",2015,202.8
"ssd",2016,209.57
"tza",1990,452.07
"tza",1991,463.48
"tza",1992,483.06
"tza",1993,497.27
"tza",1994,522.12
"tza",1995,528.49
"tza",1996,537.01
"tza",1997,543.59
"tza",1998,555.26
"tza",1999,570.05
"tza",2000,573.82
"tza",2001,579.77
"tza",2002,589.14
"tza",2003,601.42
"tza",2004,618.09
"tza",2005,641.12
"tza",2006,648.43
"tza",2007,655.65
"tza",2008,671.67
"tza",2009,689.88
"tza",2010,712.15
"tza",2011,722.61
"tza",2012,737.43
"tza",2013,749.9
"tza",2014,756.65
"tza",2015,768.4
"tza",2016,783.91
"uga",1990,334.7
"uga",1991,345.21
"uga",1992,359.37
"uga",1993,386.66
"uga",1994,399.31
"uga",1995,412.19
"uga",1996,393.89
"uga",1997,376.34
"uga",1998,365.39
"uga",1999,370.26
"uga",2000,376.98
"uga",2001,365.26
"uga",2002,381.13
"uga",2003,386.36
"uga",2004,395.03
"uga",2005,394.66
"uga",2006,399.62
"uga",2007,404.48
"uga",2008,402.53
"uga",2009,403.43
"uga",2010,396.14
"uga",2011,393.82
"uga",2012,390.91
"uga",2013,395.83
"uga",2014,402.79
"uga",2015,409.29
"uga",2016,417.79
