"geo","time","subsistence_incomes_per_person"
"bdi",1800,0.9816
"bdi",1820,0.9816
"bdi",1913,0.7759
"bdi",1950,0.7066
"bdi",1951,0.7341
"bdi",1952,0.7441
"bdi",1953,0.7608
"bdi",1954,0.7886
"bdi",1955,0.7997
"bdi",1956,0.8158
"bdi",1957,0.8324
"bdi",1958,0.8407
"bdi",1959,0.8735
"bdi",1960,0.8705
"bdi",1961,0.7309
"bdi",1962,0.779
"bdi",1963,0.7985
"bdi",1964,0.8248
"bdi",1965,0.8335
"bdi",1966,0.8497
"bdi",1967,0.9057
"bdi",1968,0.8772
"bdi",1969,0.8511
"bdi",1970,1.06
"bdi",1971,1.12
"bdi",1972,1.018
"bdi",1973,1.088
"bdi",1974,1.063
"bdi",1975,1.049
"bdi",1976,1.11
"bdi",1977,1.22
"bdi",1978,1.177
"bdi",1979,1.145
"bdi",1980,1.184
"bdi",1981,1.26
"bdi",1982,1.227
"bdi",1983,1.235
"bdi",1984,1.205
"bdi",1985,1.318
"bdi",1986,1.342
"bdi",1987,1.364
"bdi",1988,1.378
"bdi",1989,1.367
"bdi",1990,1.383
"bdi",1991,1.418
"bdi",1992,1.385
"bdi",1993,1.344
"bdi",1994,1.283
"bdi",1995,1.112
"bdi",1996,1.015
"bdi",1997,1.016
"bdi",1998,1.039
"bdi",1999,0.9987
"bdi",2000,0.9732
"bdi",2001,0.966
"bdi",2002,0.979
"bdi",2003,0.9367
"bdi",2004,0.9468
"bdi",2005,0.9212
"bdi",2006,0.9495
"bdi",2007,0.9641
"bdi",2008,0.988
"bdi",2009,1.002
"cod",1800,0.8641
"cod",1820,0.8641
"cod",1913,1.335
"cod",1950,1.459
"cod",1951,1.599
"cod",1952,1.712
"cod",1953,1.774
"cod",1954,1.845
"cod",1955,1.879
"cod",1956,1.966
"cod",1957,1.987
"cod",1958,1.889
"cod",1959,1.914
"cod",1960,1.915
"cod",1961,1.671
"cod",1962,1.966
"cod",1963,2.007
"cod",1964,1.914
"cod",1965,1.89
"cod",1966,1.967
"cod",1967,1.889
"cod",1968,1.911
"cod",1969,2.029
"cod",1970,1.968
"cod",1971,2.037
"cod",1972,1.984
"cod",1973,2.096
"cod",1974,2.11
"cod",1975,1.948
"cod",1976,1.786
"cod",1977,1.745
"cod",1978,1.596
"cod",1979,1.544
"cod",1980,1.532
"cod",1981,1.526
"cod",1982,1.478
"cod",1983,1.46
"cod",1984,1.499
"cod",1985,1.46
"cod",1986,1.483
"cod",1987,1.475
"cod",1988,1.437
"cod",1989,1.383
"cod",1990,1.306
"cod",1991,1.157
"cod",1992,1.02
"cod",1993,0.8676
"cod",1994,0.8189
"cod",1995,0.8053
"cod",1996,0.7943
"cod",1997,0.7533
"cod",1998,0.7365
"cod",1999,0.6945
"cod",2000,0.6413
"cod",2001,0.6182
"cod",2002,0.6302
"cod",2003,0.6568
"cod",2004,0.6897
"cod",2005,0.7237
"cod",2006,0.7419
"cod",2007,0.7653
"cod",2008,0.7881
"cod",2009,0.7868
"ken",1800,1.125
"ken",1820,1.125
"ken",1913,1.738
"ken",1950,1.825
"ken",1951,2.164
"ken",1952,1.872
"ken",1953,1.775
"ken",1954,1.927
"ken",1955,2.014
"ken",1956,2.065
"ken",1957,2.071
"ken",1958,2.033
"ken",1959,2.02
"ken",1960,2.035
"ken",1961,1.926
"ken",1962,1.967
"ken",1963,2.002
"ken",1964,2.128
"ken",1965,2.084
"ken",1966,2.277
"ken",1967,2.317
"ken",1968,2.405
"ken",1969,2.471
"ken",1970,2.567
"ken",1971,2.639
"ken",1972,2.681
"ken",1973,2.721
"ken",1974,2.753
"ken",1975,2.642
"ken",1976,2.647
"ken",1977,2.78
"ken",1978,2.914
"ken",1979,2.906
"ken",1980,2.948
"ken",1981,2.899
"ken",1982,2.957
"ken",1983,2.863
"ken",1984,2.806
"ken",1985,2.821
"ken",1986,2.918
"ken",1987,2.987
"ken",1988,3.062
"ken",1989,3.1
"ken",1990,3.134
"ken",1991,3.077
"ken",1992,2.943
"ken",1993,2.864
"ken",1994,2.873
"ken",1995,2.929
"ken",1996,2.985
"ken",1997,2.984
