"geo","time","sugar_per_person_g_per_day"
"ken",1961,37.59
"ken",1962,38.91
"ken",1963,36.66
"ken",1964,36.67
"ken",1965,38.59
"ken",1966,39.61
"ken",1967,39.87
"ken",1968,40.37
"ken",1969,41.88
"ken",1970,44.63
"ken",1971,50.03
"ken",1972,50.62
"ken",1973,53.89
"ken",1974,54.18
"ken",1975,45.86
"ken",1976,36.04
"ken",1977,44.92
"ken",1978,47.49
"ken",1979,51.76
"ken",1980,57.37
"ken",1981,67.58
"ken",1982,61.76
"ken",1983,55.82
"ken",1984,67.07
"ken",1985,70.17
"ken",1986,75.15
"ken",1987,64.57
"ken",1988,60.21
"ken",1989,65.49
"ken",1990,58.1
"ken",1991,55.46
"ken",1992,52.76
"ken",1993,48.45
"ken",1994,50.22
"ken",1995,50.02
"ken",1996,44.77
"ken",1997,41.37
"ken",1998,49.28
"ken",1999,49.14
"ken",2000,57.27
"ken",2001,53.89
"ken",2002,52.31
"ken",2003,51.83
"ken",2004,51.72
"ken",2005,52.33
"ken",2006,51.05
"ken",2007,49.33
"ken",2008,48.34
"ken",2009,47.02
"ken",2010,46.75
"ken",2011,45.49
"ken",2012,44.39
"ken",2013,43.67
"rwa",1961,0
"rwa",1962,0
"rwa",1963,0.09
"rwa",1964,0.44
"rwa",1965,0.83
"rwa",1966,1.68
"rwa",1967,2.72
"rwa",1968,3.76
"rwa",1969,3.4
"rwa",1970,2.63
"rwa",1971,1.39
"rwa",1972,1.07
"rwa",1973,1
"rwa",1974,1.41
"rwa",1975,1.24
"rwa",1976,1.71
"rwa",1977,1.67
"rwa",1978,2.39
"rwa",1979,3.75
"rwa",1980,5.29
"rwa",1981,5.14
"rwa",1982,4.73
"rwa",1983,4.22
"rwa",1984,5.55
"rwa",1985,4.9
"rwa",1986,4.72
"rwa",1987,4.99
"rwa",1988,5.47
"rwa",1989,5.48
"rwa",1990,4.61
"rwa",1991,4.68
"rwa",1992,4.72
"rwa",1993,5.35
"rwa",1994,4.89
"rwa",1995,4.61
"rwa",1996,5.14
"rwa",1997,9.94
"rwa",1998,9.65
"rwa",1999,7.18
"rwa",2000,3.97
"rwa",2001,7.64
"rwa",2002,6.02
"rwa",2003,5.48
"rwa",2004,3.29
"rwa",2005,5.21
"rwa",2006,8.2
"rwa",2007,10.01
"rwa",2008,8.79
"rwa",2009,11.88
"rwa",2010,14.93
"rwa",2011,14.31
"rwa",2012,18.9
"rwa",2013,14.09
"tza",1961,18.97
"tza",1962,21.11
"tza",1963,18.88
"tza",1964,19.34
"tza",1965,19.41
"tza",1966,20.35
"tza",1967,20.31
"tza",1968,21.19
"tza",1969,21.66
"tza",1970,24.76
"tza",1971,27.83
"tza",1972,30.25
"tza",1973,29.11
"tza",1974,23.34
"tza",1975,17.91
"tza",1976,19.08
"tza",1977,19.18
"tza",1978,22.74
"tza",1979,18.23
"tza",1980,19.05
"tza",1981,17.4
"tza",1982,17.48
"tza",1983,16.95
"tza",1984,17.58
"tza",1985,17.45
"tza",1986,16.93
"tza",1987,13.59
"tza",1988,12.79
"tza",1989,12.9
"tza",1990,12.26
"tza",1991,16.98
"tza",1992,17.83
"tza",1993,16.77
"tza",1994,15.43
"tza",1995,17.06
"tza",1996,22.34
"tza",1997,20.12
"tza",1998,18.81
"tza",1999,22.04
"tza",2000,22.04
"tza",2001,21.81
"tza",2002,21.47
"tza",2003,24.45
"tza",2004,24.11
"tza",2005,26.69
"tza",2006,26.26
"tza",2007,27.19
"tza",2008,26.25
"tza",2009,26.84
"tza",2010,28.56
"tza",2011,29.33
"tza",2012,29.81
"tza",2013,27.96
"uga",1961,29.64
"uga",1962,30.97
"uga",1963,33.07
"uga",1964,32.44
"uga",1965,38.78
"uga",1966,44.32
"uga",1967,39.38
"uga",1968,42.94
"uga",1969,36.9
"uga",1970,36.3
"uga",1971,41.3
"uga",1972,34.43
"uga",1973,24.37
"uga",1974,13.64
"uga",1975,8.27
"uga",1976,6.26
"uga",1977,4.91
"uga",1978,5.67
"uga",1979,6.6
"uga",1980,6.79
"uga",1981,5.19
"uga",1982,5.48
"uga",1983,5.3
"uga",1984,4.48
"uga",1985,4.58
"uga",1986,6.61
"uga",1987,11.01
"uga",1988,6.28
"uga",1989,8.02
"uga",1990,8.6
"uga",1991,9.87
"uga",1992,11.02
"uga",1993,10.77
"uga",1994,15.38
"uga",1995,18.37
"uga",1996,17.24
"uga",1997,19.61
"uga",1998,19.24
"uga",1999,19.47
"uga",2000,22.66
"uga",2001,21.46
"uga",2002,22.93
"uga",2003,24.09
"uga",2004,26.85
"uga",2005,25.1
"uga",2006,25.85
"uga",2007,25.68
"uga",2008,26.83
"uga",2009,29.35
"uga",2010,28.94
"uga",2011,25.94
"uga",2012,25.29
"uga",2013,32.39
