"geo","time","suicide_total_deaths"
"bdi",1990,597.06
"bdi",1991,610.64
"bdi",1992,624.88
"bdi",1993,641.47
"bdi",1994,662.98
"bdi",1995,681.43
"bdi",1996,686.14
"bdi",1997,673.65
"bdi",1998,661.25
"bdi",1999,641.53
"bdi",2000,636.25
"bdi",2001,632.02
"bdi",2002,635.99
"bdi",2003,644.81
"bdi",2004,661.26
"bdi",2005,684.19
"bdi",2006,678.75
"bdi",2007,695.81
"bdi",2008,701.01
"bdi",2009,695.1
"bdi",2010,713.06
"bdi",2011,733.91
"bdi",2012,751.13
"bdi",2013,766.98
"bdi",2014,774.49
"bdi",2015,794.77
"bdi",2016,820.66
"cod",1990,1935.66
"cod",1991,2035.6
"cod",1992,2101.86
"cod",1993,2123.97
"cod",1994,2201.9
"cod",1995,2329.51
"cod",1996,2478.36
"cod",1997,2424.53
"cod",1998,2511.44
"cod",1999,2585.27
"cod",2000,2669.19
"cod",2001,2760.1
"cod",2002,2782.73
"cod",2003,2965.17
"cod",2004,2961.91
"cod",2005,3018.47
"cod",2006,3118.08
"cod",2007,3209.11
"cod",2008,3377.66
"cod",2009,3480.06
"cod",2010,3597.11
"cod",2011,3745.12
"cod",2012,3912.2
"cod",2013,4021.44
"cod",2014,4164.4
"cod",2015,4323.39
"cod",2016,4463.21
"ken",1990,848.44
"ken",1991,899.12
"ken",1992,964.31
"ken",1993,1023.26
"ken",1994,1076.19
"ken",1995,1123.76
"ken",1996,1182.85
"ken",1997,1240.82
"ken",1998,1319.2
"ken",1999,1344.69
"ken",2000,1420.06
"ken",2001,1439.66
"ken",2002,1497.77
"ken",2003,1565.92
"ken",2004,1603.37
"ken",2005,1630.04
"ken",2006,1642.34
"ken",2007,1663.59
"ken",2008,1692.33
"ken",2009,1727.99
"ken",2010,1769.61
"ken",2011,1834.41
"ken",2012,1896.25
"ken",2013,1931.23
"ken",2014,1983.21
"ken",2015,2041.61
"ken",2016,2109.54
"rwa",1990,581.36
"rwa",1991,593.03
"rwa",1992,581.82
"rwa",1993,567.79
"rwa",1994,565.62
"rwa",1995,576.23
"rwa",1996,600.37
"rwa",1997,638.6
"rwa",1998,682.29
"rwa",1999,703.83
"rwa",2000,708.11
"rwa",2001,687.12
"rwa",2002,667.33
"rwa",2003,644.73
"rwa",2004,632.61
"rwa",2005,625.19
"rwa",2006,624.58
"rwa",2007,623.74
"rwa",2008,618.83
"rwa",2009,614.66
"rwa",2010,614.76
"rwa",2011,626.06
"rwa",2012,631.79
"rwa",2013,645.15
"rwa",2014,662.08
"rwa",2015,677.62
"rwa",2016,697.93
"ssd",1990,182.4
"ssd",1991,180.96
"ssd",1992,182.18
"ssd",1993,183.12
"ssd",1994,185.18
"ssd",1995,189.02
"ssd",1996,194.34
"ssd",1997,194
"ssd",1998,204.83
"ssd",1999,213.4
"ssd",2000,221.89
"ssd",2001,219.58
"ssd",2002,222.14
"ssd",2003,233.94
"ssd",2004,247.87
"ssd",2005,261.03
"ssd",2006,280.04
"ssd",2007,295.55
"ssd",2008,307.45
"ssd",2009,321.49
"ssd",2010,333.07
"ssd",2011,345.29
"ssd",2012,366.58
"ssd",2013,389.54
"ssd",2014,412.5
"ssd",2015,435.01
"ssd",2016,454.94
"tza",1990,1481.86
"tza",1991,1525.16
"tza",1992,1591.51
"tza",1993,1653.51
"tza",1994,1744.72
"tza",1995,1783.34
"tza",1996,1825.86
"tza",1997,1867.04
"tza",1998,1931.79
"tza",1999,1977.21
"tza",2000,1991.27
"tza",2001,1988.9
"tza",2002,1974.07
"tza",2003,2001.95
"tza",2004,2020.17
"tza",2005,2114.44
"tza",2006,2175.83
"tza",2007,2231.27
"tza",2008,2307.06
"tza",2009,2391.85
"tza",2010,2490.55
"tza",2011,2581.36
"tza",2012,2696.31
"tza",2013,2822.38
"tza",2014,2910.82
"tza",2015,3017.73
"tza",2016,3120.33
"uga",1990,1758.65
"uga",1991,1903.41
"uga",1992,1970.14
"uga",1993,2063.43
"uga",1994,2162.81
"uga",1995,2235.61
"uga",1996,2335.03
"uga",1997,2383.52
"uga",1998,2498.21
"uga",1999,2588.06
"uga",2000,2727.22
"uga",2001,2774.5
"uga",2002,2779.61
"uga",2003,2807.38
"uga",2004,2862.69
"uga",2005,2916.22
"uga",2006,2972.61
"uga",2007,3008.95
"uga",2008,3023.05
"uga",2009,3056.54
"uga",2010,3069.27
"uga",2011,3110.89
"uga",2012,3154.03
"uga",2013,3227.21
"uga",2014,3253.1
"uga",2015,3273.56
"uga",2016,3322.53
