"geo","time","sulfur_emissions_per_person_kg"
"bdi",1850,0.00026
"bdi",1851,0.00026
"bdi",1852,0.00051
"bdi",1853,0.00077
"bdi",1854,0.00101
"bdi",1855,0.00126
"bdi",1856,0.00149
"bdi",1857,0.00173
"bdi",1858,0.00196
"bdi",1859,0.00219
"bdi",1860,0.00241
"bdi",1861,0.00475
"bdi",1862,0.00705
"bdi",1863,0.00932
"bdi",1864,0.01154
"bdi",1865,0.01374
"bdi",1866,0.01589
"bdi",1867,0.01802
"bdi",1868,0.02011
"bdi",1869,0.02217
"bdi",1870,0.0242
"bdi",1871,0.02619
"bdi",1872,0.02825
"bdi",1873,0.03027
"bdi",1874,0.03227
"bdi",1875,0.03423
"bdi",1876,0.03617
"bdi",1877,0.03808
"bdi",1878,0.03996
"bdi",1879,0.04181
"bdi",1880,0.04364
"bdi",1881,0.04907
"bdi",1882,0.04542
"bdi",1883,0.04539
"bdi",1884,0.04537
"bdi",1885,0.04958
"bdi",1886,0.05373
"bdi",1887,0.05783
"bdi",1888,0.06206
"bdi",1889,0.06853
"bdi",1890,0.07196
"bdi",1891,0.06022
"bdi",1892,0.07718
"bdi",1893,0.06698
"bdi",1894,0.08272
"bdi",1895,0.07256
"bdi",1896,0.08108
"bdi",1897,0.09078
"bdi",1898,0.09327
"bdi",1899,0.09349
"bdi",1900,0.111
"bdi",1901,0.1202
"bdi",1902,0.06295
"bdi",1903,0.06849
"bdi",1904,0.08085
"bdi",1905,0.08728
"bdi",1906,0.08481
"bdi",1907,0.0913
"bdi",1908,0.119
"bdi",1909,0.1084
"bdi",1910,0.1286
"bdi",1911,0.1111
"bdi",1912,0.1266
"bdi",1913,0.1438
"bdi",1914,0.1545
"bdi",1915,0.1757
"bdi",1916,0.1921
"bdi",1917,0.1641
"bdi",1918,0.1751
"bdi",1919,0.1905
"bdi",1920,0.1988
"bdi",1921,0.2713
"bdi",1922,0.2781
"bdi",1923,0.3388
"bdi",1924,0.3556
"bdi",1925,0.3505
"bdi",1926,0.3423
"bdi",1927,0.3723
"bdi",1928,0.3842
"bdi",1929,0.4299
"bdi",1930,0.4656
"bdi",1931,0.3818
"bdi",1932,0.3166
"bdi",1933,0.3801
"bdi",1934,0.4564
"bdi",1935,0.4866
"bdi",1936,0.5021
"bdi",1937,0.6365
"bdi",1938,0.6086
"bdi",1939,0.645
"bdi",1940,0.5967
"bdi",1941,0.6122
"bdi",1942,0.621
"bdi",1943,0.6199
"bdi",1944,0.5992
"bdi",1945,0.5913
"bdi",1946,0.5701
"bdi",1947,0.5995
"bdi",1948,0.6942
"bdi",1949,0.7152
"bdi",1950,0.744
"bdi",1951,0.7284
"bdi",1952,0.7882
"bdi",1953,0.8105
"bdi",1954,0.8183
"bdi",1955,0.8491
"bdi",1956,0.9205
"bdi",1957,0.9254
"bdi",1958,0.9292
"bdi",1959,0.9507
"bdi",1960,0.8657
"bdi",1961,0.8493
"bdi",1962,0.8427
"bdi",1963,0.8462
"bdi",1964,0.8427
"bdi",1965,0.8398
"bdi",1966,0.8367
"bdi",1967,0.8339
"bdi",1968,0.8319
"bdi",1969,0.8306
"bdi",1970,0.8269
"bdi",1971,0.8149
"bdi",1972,0.8001
"bdi",1973,0.8233
"bdi",1974,0.8346
"bdi",1975,0.7559
"bdi",1976,0.7085
"bdi",1977,0.7468
"bdi",1978,0.6986
"bdi",1979,0.6987
"bdi",1980,0.7125
"bdi",1981,0.6817
"bdi",1982,0.6455
"bdi",1983,0.5926
"bdi",1984,0.5911
"bdi",1985,0.5753
"bdi",1986,0.5685
"bdi",1987,0.5577
"bdi",1988,0.5544
"bdi",1989,0.5453
"bdi",1990,0.5352
"bdi",1991,0.5288
"bdi",1992,0.5188
"bdi",1993,0.5405
"bdi",1994,0.5407
"bdi",1995,0.5074
"bdi",1996,0.5088
"bdi",1997,0.5098
"bdi",1998,0.4998
"bdi",1999,0.4869
"bdi",2000,0.4759
"cod",1850,0
"cod",1851,0
"cod",1852,1e-05
"cod",1853,1e-05
"cod",1854,1e-05
"cod",1855,1e-05
"cod",1856,2e-05
"cod",1857,2e-05
"cod",1858,2e-05
"cod",1859,2e-05
"cod",1860,3e-05
"cod",1861,5e-05
