"geo","time","surface_area_sq_km"
"bdi",1961,27830
"bdi",1962,27830
"bdi",1963,27830
"bdi",1964,27830
"bdi",1965,27830
"bdi",1966,27830
"bdi",1967,27830
"bdi",1968,27830
"bdi",1969,27830
"bdi",1970,27830
"bdi",1971,27830
"bdi",1972,27830
"bdi",1973,27830
"bdi",1974,27830
"bdi",1975,27830
"bdi",1976,27830
"bdi",1977,27830
"bdi",1978,27830
"bdi",1979,27830
"bdi",1980,27830
"bdi",1981,27830
"bdi",1982,27830
"bdi",1983,27830
"bdi",1984,27830
"bdi",1985,27830
"bdi",1986,27830
"bdi",1987,27830
"bdi",1988,27830
"bdi",1989,27830
"bdi",1990,27830
"bdi",1991,27830
"bdi",1992,27830
"bdi",1993,27830
"bdi",1994,27830
"bdi",1995,27830
"bdi",1996,27830
"bdi",1997,27830
"bdi",1998,27830
"bdi",1999,27830
"bdi",2000,27830
"bdi",2001,27830
"bdi",2002,27830
"bdi",2003,27830
"bdi",2004,27830
"bdi",2005,27830
"bdi",2006,27830
"bdi",2007,27830
"bdi",2008,27830
"bdi",2009,27830
"bdi",2010,27830
"bdi",2011,27830
"bdi",2012,27830
"bdi",2013,27830
"bdi",2014,27830
"bdi",2015,27830
"bdi",2016,27830
"bdi",2017,27830
"cod",1961,2344860
"cod",1962,2344860
"cod",1963,2344860
"cod",1964,2344860
"cod",1965,2344860
"cod",1966,2344860
"cod",1967,2344860
"cod",1968,2344860
"cod",1969,2344860
"cod",1970,2344860
"cod",1971,2344860
"cod",1972,2344860
"cod",1973,2344860
"cod",1974,2344860
"cod",1975,2344860
"cod",1976,2344860
"cod",1977,2344860
"cod",1978,2344860
"cod",1979,2344860
"cod",1980,2344860
"cod",1981,2344860
"cod",1982,2344860
"cod",1983,2344860
"cod",1984,2344860
"cod",1985,2344860
"cod",1986,2344860
"cod",1987,2344860
"cod",1988,2344860
"cod",1989,2344860
"cod",1990,2344860
"cod",1991,2344860
"cod",1992,2344860
"cod",1993,2344860
"cod",1994,2344860
"cod",1995,2344860
"cod",1996,2344860
"cod",1997,2344860
"cod",1998,2344860
"cod",1999,2344860
"cod",2000,2344860
"cod",2001,2344860
"cod",2002,2344860
"cod",2003,2344860
"cod",2004,2344860
"cod",2005,2344860
"cod",2006,2344860
"cod",2007,2344860
"cod",2008,2344860
"cod",2009,2344860
"cod",2010,2344860
"cod",2011,2344860
"cod",2012,2344860
"cod",2013,2344860
"cod",2014,2344860
"cod",2015,2344860
"cod",2016,2344860
"cod",2017,2344860
"ken",1961,580370
"ken",1962,580370
"ken",1963,580370
"ken",1964,580370
"ken",1965,580370
"ken",1966,580370
"ken",1967,580370
"ken",1968,580370
"ken",1969,580370
"ken",1970,580370
"ken",1971,580370
"ken",1972,580370
"ken",1973,580370
"ken",1974,580370
"ken",1975,580370
"ken",1976,580370
"ken",1977,580370
"ken",1978,580370
"ken",1979,580370
"ken",1980,580370
"ken",1981,580370
"ken",1982,580370
"ken",1983,580370
"ken",1984,580370
"ken",1985,580370
"ken",1986,580370
"ken",1987,580370
"ken",1988,580370
"ken",1989,580370
"ken",1990,580370
"ken",1991,580370
"ken",1992,580370
"ken",1993,580370
"ken",1994,580370
"ken",1995,580370
"ken",1996,580370
"ken",1997,580370
"ken",1998,580370
"ken",1999,580370
"ken",2000,580370
"ken",2001,580370
"ken",2002,580370
"ken",2003,580370
"ken",2004,580370
"ken",2005,580370
"ken",2006,580370
"ken",2007,580370
"ken",2008,580370
"ken",2009,580370
"ken",2010,580370
"ken",2011,580370
"ken",2012,580370
"ken",2013,580370
"ken",2014,580370
"ken",2015,580370
"ken",2016,580370
"ken",2017,580370
"rwa",1961,26340
"rwa",1962,26340
"rwa",1963,26340
"rwa",1964,26340
"rwa",1965,26340
"rwa",1966,26340
"rwa",1967,26340
"rwa",1968,26340
"rwa",1969,26340
"rwa",1970,26340
"rwa",1971,26340
"rwa",1972,26340
"rwa",1973,26340
"rwa",1974,26340
"rwa",1975,26340
"rwa",1976,26340
"rwa",1977,26340
"rwa",1978,26340
"rwa",1979,26340
"rwa",1980,26340
"rwa",1981,26340
"rwa",1982,26340
"rwa",1983,26340
"rwa",1984,26340
"rwa",1985,26340
"rwa",1986,26340
"rwa",1987,26340
"rwa",1988,26340
"rwa",1989,26340
"rwa",1990,26340
"rwa",1991,26340
"rwa",1992,26340
"rwa",1993,26340
"rwa",1994,26340
"rwa",1995,26340
"rwa",1996,26340
"rwa",1997,26340
"rwa",1998,26340
"rwa",1999,26340
"rwa",2000,26340
"rwa",2001,26340
"rwa",2002,26340
"rwa",2003,26340
"rwa",2004,26340
"rwa",2005,26340
"rwa",2006,26340
"rwa",2007,26340
"rwa",2008,26340
"rwa",2009,26340
"rwa",2010,26340
"rwa",2011,26340
"rwa",2012,26340
"rwa",2013,26340
"rwa",2014,26340
"rwa",2015,26340
"rwa",2016,26340
"rwa",2017,26340
"ssd",2011,644330
"ssd",2012,644330
"ssd",2013,644330
"ssd",2014,644330
"ssd",2015,644330
"ssd",2016,644330
"ssd",2017,644330
"tza",1961,947300
"tza",1962,947300
"tza",1963,947300
"tza",1964,947300
"tza",1965,947300
"tza",1966,947300
"tza",1967,947300
"tza",1968,947300
"tza",1969,947300
"tza",1970,947300
"tza",1971,947300
"tza",1972,947300
"tza",1973,947300
"tza",1974,947300
"tza",1975,947300
"tza",1976,947300
"tza",1977,947300
"tza",1978,947300
"tza",1979,947300
"tza",1980,947300
"tza",1981,947300
"tza",1982,947300
"tza",1983,947300
"tza",1984,947300
"tza",1985,947300
"tza",1986,947300
"tza",1987,947300
"tza",1988,947300
"tza",1989,947300
"tza",1990,947300
"tza",1991,947300
"tza",1992,947300
"tza",1993,947300
"tza",1994,947300
"tza",1995,947300
"tza",1996,947300
"tza",1997,947300
"tza",1998,947300
"tza",1999,947300
"tza",2000,947300
"tza",2001,947300
"tza",2002,947300
"tza",2003,947300
"tza",2004,947300
"tza",2005,947300
"tza",2006,947300
"tza",2007,947300
"tza",2008,947300
"tza",2009,947300
"tza",2010,947300
"tza",2011,947300
"tza",2012,947300
"tza",2013,947300
"tza",2014,947300
"tza",2015,947300
"tza",2016,947300
"tza",2017,947300
"uga",1961,241550
