"geo","time","surviving_kids_per_woman"
"bdi",1800,2.995
"bdi",1801,2.995
"bdi",1802,2.995
"bdi",1803,2.995
"bdi",1804,2.995
"bdi",1805,2.996
"bdi",1806,2.996
"bdi",1807,2.996
"bdi",1808,2.996
"bdi",1809,2.996
"bdi",1810,2.996
"bdi",1811,2.996
"bdi",1812,2.996
"bdi",1813,2.996
"bdi",1814,2.996
"bdi",1815,2.996
"bdi",1816,2.996
"bdi",1817,2.996
"bdi",1818,2.996
"bdi",1819,2.996
"bdi",1820,2.996
"bdi",1821,2.996
"bdi",1822,2.996
"bdi",1823,2.996
"bdi",1824,2.996
"bdi",1825,2.996
"bdi",1826,2.996
"bdi",1827,2.996
"bdi",1828,2.996
"bdi",1829,2.996
"bdi",1830,2.996
"bdi",1831,2.996
"bdi",1832,2.996
"bdi",1833,2.997
"bdi",1834,2.997
"bdi",1835,2.997
"bdi",1836,2.997
"bdi",1837,2.997
"bdi",1838,2.997
"bdi",1839,2.997
"bdi",1840,2.997
"bdi",1841,2.997
"bdi",1842,2.997
"bdi",1843,2.997
"bdi",1844,2.997
"bdi",1845,2.997
"bdi",1846,2.997
"bdi",1847,2.997
"bdi",1848,2.997
"bdi",1849,2.997
"bdi",1850,2.997
"bdi",1851,2.997
"bdi",1852,2.997
"bdi",1853,2.997
"bdi",1854,2.997
"bdi",1855,2.997
"bdi",1856,2.997
"bdi",1857,2.997
"bdi",1858,2.997
"bdi",1859,2.997
"bdi",1860,2.997
"bdi",1861,2.998
"bdi",1862,2.998
"bdi",1863,2.998
"bdi",1864,2.998
"bdi",1865,2.998
"bdi",1866,2.998
"bdi",1867,2.998
"bdi",1868,2.998
"bdi",1869,2.998
"bdi",1870,2.998
"bdi",1871,2.998
"bdi",1872,2.998
"bdi",1873,2.998
"bdi",1874,2.998
"bdi",1875,2.998
"bdi",1876,2.998
"bdi",1877,2.998
"bdi",1878,2.998
"bdi",1879,2.998
"bdi",1880,2.998
"bdi",1881,2.998
"bdi",1882,2.998
"bdi",1883,2.998
"bdi",1884,2.998
"bdi",1885,2.998
"bdi",1886,2.998
"bdi",1887,2.998
"bdi",1888,2.998
"bdi",1889,2.998
"bdi",1890,2.999
"bdi",1891,2.999
"bdi",1892,2.999
"bdi",1893,2.999
"bdi",1894,2.999
"bdi",1895,2.999
"bdi",1896,2.999
"bdi",1897,2.999
"bdi",1898,2.999
"bdi",1899,2.999
"bdi",1900,2.999
"bdi",1901,2.999
"bdi",1902,2.999
"bdi",1903,2.999
"bdi",1904,2.999
"bdi",1905,2.999
"bdi",1906,2.999
"bdi",1907,2.999
"bdi",1908,2.999
"bdi",1909,2.999
"bdi",1910,2.999
"bdi",1911,2.999
"bdi",1912,2.999
"bdi",1913,2.999
"bdi",1914,2.999
"bdi",1915,2.999
"bdi",1916,2.999
"bdi",1917,2.999
"bdi",1918,3
"bdi",1919,3
"bdi",1920,3
"bdi",1921,3
"bdi",1922,3
"bdi",1923,3
"bdi",1924,3
"bdi",1925,3
"bdi",1926,3
"bdi",1927,2.999
"bdi",1928,2.999
"bdi",1929,2.999
"bdi",1930,2.999
"bdi",1931,2.999
"bdi",1932,2.999
"bdi",1933,2.998
"bdi",1934,2.998
"bdi",1935,2.998
"bdi",1936,2.998
"bdi",1937,2.998
"bdi",1938,2.997
"bdi",1939,2.997
"bdi",1940,2.997
"bdi",1941,2.997
"bdi",1942,2.997
"bdi",1943,2.997
"bdi",1944,2.996
"bdi",1945,2.996
"bdi",1946,3.104
"bdi",1947,3.211
"bdi",1948,3.423
"bdi",1949,3.528
"bdi",1950,3.631
"bdi",1951,3.734
"bdi",1952,3.734
"bdi",1953,3.734
"bdi",1954,3.734
"bdi",1955,3.835
"bdi",1956,3.835
"bdi",1957,3.835
"bdi",1958,3.936
"bdi",1959,3.936
"bdi",1960,3.936
"bdi",1961,4.035
"bdi",1962,4.035
"bdi",1963,4.035
"bdi",1964,4.133
"bdi",1965,4.133
"bdi",1966,4.133
"bdi",1967,4.133
"bdi",1968,4.133
"bdi",1969,4.23
"bdi",1970,4.23
"bdi",1971,4.237
"bdi",1972,4.237
"bdi",1973,4.243
"bdi",1974,4.339
"bdi",1975,4.339
"bdi",1976,4.333
"bdi",1977,4.415
"bdi",1978,4.389
"bdi",1979,4.455
"bdi",1980,4.415
"bdi",1981,4.382
"bdi",1982,4.438
"bdi",1983,4.41
"bdi",1984,4.397
"bdi",1985,4.39
"bdi",1986,4.397
"bdi",1987,4.397
"bdi",1988,4.316
"bdi",1989,4.322
"bdi",1990,4.233
"bdi",1991,4.22
"bdi",1992,4.116
"bdi",1993,4.091
"bdi",1994,4.059
"bdi",1995,4.021
"bdi",1996,3.964
"bdi",1997,3.907
"bdi",1998,3.837
"bdi",1999,3.836
"bdi",2000,3.752
"bdi",2001,3.66
"bdi",2002,3.638
"bdi",2003,3.539
"bdi",2004,3.439
"bdi",2005,3.408
"bdi",2006,3.306
"bdi",2007,3.275
"bdi",2008,3.178
"bdi",2009,3.088
"bdi",2010,3.056
"bdi",2020,2.491
"bdi",2030,2.117
"bdi",2050,1.766
"bdi",2099,1.754
"cod",1800,2.639
"cod",1801,2.639
"cod",1802,2.639
"cod",1803,2.639
"cod",1804,2.639
"cod",1805,2.639
"cod",1806,2.639
"cod",1807,2.639
"cod",1808,2.639
"cod",1809,2.639
"cod",1810,2.639
"cod",1811,2.639
"cod",1812,2.639
"cod",1813,2.639
"cod",1814,2.639
"cod",1815,2.639
"cod",1816,2.639
"cod",1817,2.639
"cod",1818,2.639
"cod",1819,2.639
"cod",1820,2.639
"cod",1821,2.639
"cod",1822,2.639
"cod",1823,2.639
"cod",1824,2.639
"cod",1825,2.639
"cod",1826,2.639
"cod",1827,2.639
"cod",1828,2.639
"cod",1829,2.639
"cod",1830,2.639
"cod",1831,2.639
"cod",1832,2.639
"cod",1833,2.639
"cod",1834,2.639
"cod",1835,2.639
"cod",1836,2.639
"cod",1837,2.639
"cod",1838,2.639
"cod",1839,2.639
"cod",1840,2.639
"cod",1841,2.639
"cod",1842,2.639
"cod",1843,2.639
"cod",1844,2.639
"cod",1845,2.639
"cod",1846,2.639
"cod",1847,2.639
"cod",1848,2.639
"cod",1849,2.639
"cod",1850,2.639
"cod",1851,2.639
"cod",1852,2.639
"cod",1853,2.639
"cod",1854,2.639
"cod",1855,2.639
"cod",1856,2.639
"cod",1857,2.639
"cod",1858,2.639
"cod",1859,2.639
"cod",1860,2.639
"cod",1861,2.639
"cod",1862,2.639
"cod",1863,2.639
"cod",1864,2.639
"cod",1865,2.639
"cod",1866,2.639
"cod",1867,2.639
"cod",1868,2.639
"cod",1869,2.639
"cod",1870,2.639
"cod",1871,2.639
"cod",1872,2.639
"cod",1873,2.639
"cod",1874,2.639
"cod",1875,2.639
"cod",1876,2.639
"cod",1877,2.639
"cod",1878,2.639
"cod",1879,2.639
"cod",1880,2.639
"cod",1881,2.639
"cod",1882,2.639
"cod",1883,2.639
"cod",1884,2.639
"cod",1885,2.639
"cod",1886,2.639
"cod",1887,2.639
"cod",1888,2.639
"cod",1889,2.639
"cod",1890,2.639
"cod",1891,2.639
"cod",1892,2.639
"cod",1893,2.639
"cod",1894,2.639
"cod",1895,2.639
"cod",1896,2.639
"cod",1897,2.639
"cod",1898,2.639
"cod",1899,2.639
"cod",1900,2.639
"cod",1901,2.639
"cod",1902,2.639
"cod",1903,2.639
"cod",1904,2.639
"cod",1905,2.639
"cod",1906,2.639
"cod",1907,2.639
"cod",1908,2.639
"cod",1909,2.639
"cod",1910,2.639
"cod",1911,2.639
"cod",1912,2.639
"cod",1913,2.639
"cod",1914,2.639
"cod",1915,2.639
"cod",1916,2.639
"cod",1917,2.639
"cod",1918,2.639
"cod",1919,2.639
"cod",1920,2.639
"cod",1921,2.639
"cod",1922,2.639
"cod",1923,2.639
"cod",1924,2.639
"cod",1925,2.639
"cod",1926,2.639
"cod",1927,2.639
"cod",1928,2.639
"cod",1929,2.639
"cod",1930,2.639
