"geo","time","tax_revenue_percent_of_gdp"
"bdi",1991,15.14266
"bdi",1992,15.12278
"bdi",1993,14.92892
"bdi",1994,15.61605
"bdi",1995,16.67821
"bdi",1996,13.439
"bdi",1997,11.42036
"bdi",1998,13.8543
"bdi",1999,13.16565
"bdi",2010,13.89199
"bdi",2011,14.74166
"bdi",2012,13.68091
"bdi",2013,12.18157
"cod",1990,9.29068
"cod",1991,4.144
"cod",1992,2.72687
"cod",1993,3.40809
"cod",1994,2.65118
"cod",1995,4.93162
"cod",1996,4.76005
"cod",1997,4.05375
"cod",1998,5.34976
"cod",1999,3.4598
"cod",2000,0.7797
"cod",2001,2.75246
"cod",2002,4.23547
"cod",2003,4.0402
"cod",2004,5.27674
"cod",2005,5.92061
"cod",2006,6.82822
"cod",2007,6.99219
"cod",2008,8.96688
"cod",2009,7.89217
"cod",2010,8.35045
"ken",2014,16.87698
"ken",2015,16.25664
"ken",2016,15.79845
"rwa",1973,8.63115
"rwa",1974,10.18131
"rwa",1975,7.52132
"rwa",1976,9.90626
"rwa",1977,10.90186
"rwa",1978,9.71992
"rwa",1979,11.70219
"rwa",1980,10.46764
"rwa",1989,10.82693
"rwa",1990,8.78381
"rwa",1991,9.26006
"rwa",1992,9.04826
"rwa",2014,13.31803
"rwa",2015,13.7001
"rwa",2016,14.78965
"tza",2014,11.86588
"uga",2015,12.92853
"uga",2016,13.48636
