"geo","time","tb_programme_dots_population_coverage_percent"
"bdi",1995,100
"bdi",1996,100
"bdi",1997,100
"bdi",1998,6
"bdi",1999,100
"bdi",2001,90
"bdi",2002,91
"bdi",2003,100
"bdi",2004,100
"bdi",2005,100
"bdi",2006,100
"bdi",2007,100
"cod",1995,47
"cod",1996,51
"cod",1997,60
"cod",1998,60
"cod",1999,62
"cod",2000,70
"cod",2001,70
"cod",2002,70
"cod",2003,75
"cod",2004,75
"cod",2005,100
"cod",2006,100
"cod",2007,100
"ken",1995,15
"ken",1996,100
"ken",1997,100
"ken",1998,100
"ken",1999,100
"ken",2000,100
"ken",2001,100
"ken",2002,100
"ken",2003,100
"ken",2004,100
"ken",2005,100
"ken",2006,100
"ken",2007,100
"rwa",1995,100
"rwa",1996,100
"rwa",1997,100
"rwa",1998,100
"rwa",1999,100
"rwa",2000,100
"rwa",2001,100
"rwa",2002,100
"rwa",2003,100
"rwa",2004,100
"rwa",2005,100
"rwa",2006,100
"rwa",2007,100
"tza",1995,98
"tza",1996,100
"tza",1997,100
"tza",1998,100
"tza",1999,100
"tza",2000,100
"tza",2001,100
"tza",2002,100
"tza",2003,100
"tza",2004,100
"tza",2005,100
"tza",2006,100
"tza",2007,100
"uga",1996,0
"uga",1997,100
"uga",1998,100
"uga",1999,100
"uga",2000,100
"uga",2001,100
"uga",2002,100
"uga",2003,100
"uga",2004,100
"uga",2005,100
"uga",2006,100
"uga",2007,100
