"geo","time","tb_with_hivplus_deaths_per_100000_estimated"
"bdi",1990,11.7
"bdi",1991,16.9
"bdi",1992,25.8
"bdi",1993,32.1
"bdi",1994,34.5
"bdi",1995,35.8
"bdi",1996,37.1
"bdi",1997,36
"bdi",1998,44.1
"bdi",1999,39.8
"bdi",2000,41.4
"bdi",2001,44.9
"bdi",2002,46.3
"bdi",2003,45.6
"bdi",2004,43.4
"bdi",2005,41.1
"bdi",2006,37.8
"bdi",2007,34.4
"cod",1990,3.9
"cod",1991,4.3
"cod",1992,4.6
"cod",1993,4.9
"cod",1994,5.2
"cod",1995,5.6
"cod",1996,5.7
"cod",1997,6.4
"cod",1998,6.5
"cod",1999,7.3
"cod",2000,8.2
"cod",2001,9
"cod",2002,9.8
"cod",2003,10
"cod",2004,10.1
"cod",2005,10
"cod",2006,9.9
"cod",2007,9.6
"ken",1990,14.3
"ken",1991,17
"ken",1992,22.6
"ken",1993,29
"ken",1994,36.5
"ken",1995,45.9
"ken",1996,52.6
"ken",1997,63.1
"ken",1998,70.7
"ken",1999,76.9
"ken",2000,84.3
"ken",2001,76.1
"ken",2002,72.9
"ken",2003,68.8
"ken",2004,65.4
"ken",2005,58.5
"ken",2006,45.4
"ken",2007,38.9
"rwa",1990,52.2
"rwa",1991,56
"rwa",1992,57.6
"rwa",1993,59.1
"rwa",1994,60.7
"rwa",1995,62.1
"rwa",1996,63.5
"rwa",1997,64.8
"rwa",1998,67.7
"rwa",1999,72.2
"rwa",2000,78.4
"rwa",2001,84.5
"rwa",2002,87.4
"rwa",2003,87.2
"rwa",2004,85.3
"rwa",2005,79.7
"rwa",2006,73.2
"rwa",2007,70.2
"tza",1990,23
"tza",1991,28
"tza",1992,32.7
"tza",1993,37
"tza",1994,41.6
"tza",1995,45.8
"tza",1996,49.5
"tza",1997,54
"tza",1998,55.1
"tza",1999,57.4
"tza",2000,59.4
"tza",2001,57.6
"tza",2002,59.9
"tza",2003,58.6
"tza",2004,56.5
"tza",2005,54.6
"tza",2006,52.2
"tza",2007,49
"uga",1990,51.7
"uga",1991,79.8
"uga",1992,86.5
"uga",1993,93.3
"uga",1994,94.8
"uga",1995,97
"uga",1996,93.4
"uga",1997,70.6
"uga",1998,70.6
"uga",1999,66.9
"uga",2000,69.1
"uga",2001,66.8
"uga",2002,68.9
"uga",2003,70.2
"uga",2004,66
"uga",2005,62.8
"uga",2006,57.3
"uga",2007,52.2
